724.3333333333334
4/4
FullName,CommonName,Len,Offset
Chord {B in octave 1 | F in octave 3} 16th,B1-tritone,0.25,12.0
Chord {A in octave 2 | A in octave 3 | D in octave 4} Eighth,D4-interval class 5,0.5,27.5
Chord {B in octave 1 | E-flat in octave 2} Eighth Triplet (1/3 QL),E-2-interval class 4,1/3,36.0
Chord {D in octave 2 | B in octave 1} Eighth,B1-interval class 3,0.5,48.0
Chord {G in octave 4 | C-sharp in octave 5 | B-flat in octave 4 | E-flat in octave 4 | E in octave 5 | A in octave 2 | G in octave 3} Eighth Triplet (1/3 QL),A2-Stravinsky's Petrouchka-chord,1/3,62.0
Chord {E in octave 4 | F in octave 3} 16th,F3-interval class 1,0.25,188/3
Chord {B in octave 1 | E-flat in octave 2} Eighth Triplet (1/3 QL),E-2-interval class 4,1/3,68.0
Chord {E-flat in octave 2 | B in octave 1} Eighth Triplet (1/3 QL),E-2-interval class 4,1/3,76.0
Chord {A in octave 5 | C in octave 5 | G in octave 3 | F in octave 3 | C-sharp in octave 4} 16th,F3-enigmatic pentachord,0.25,78.5
Chord {B in octave 1 | D in octave 2} Eighth,B1-interval class 3,0.5,80.0
Chord {F in octave 5 | C in octave 5 | C-sharp in octave 4} Quarter,F5-incomplete major-seventh chord,1.0,84.0
Chord {B in octave 1 | D in octave 2} Eighth,B1-interval class 3,0.5,88.0
Chord {B in octave 1 | B-flat in octave 4 | E in octave 3} Eighth,E3-tritone-fourth,0.5,92.0
Chord {B in octave 1 | C-sharp in octave 3} 16th,C#3-interval class 2,0.25,100.0
Chord {D in octave 4 | E-flat in octave 4} 16th,E-4-interval class 1,0.25,105.75
Chord {E-flat in octave 3 | G-sharp in octave 2} 16th,E-3-interval class 5,0.25,107.0
Chord {D in octave 4 | C in octave 4} Double Dotted Whole,D4-interval class 2,7.0,323/3
Chord {E-flat in octave 3 | G-sharp in octave 2} 16th,E-3-interval class 5,0.25,115.0
Chord {E-flat in octave 3 | G-sharp in octave 2} 16th,E-3-interval class 5,0.25,117.0
Chord {E-flat in octave 3 | G-sharp in octave 2} 16th,E-3-interval class 5,0.25,119.0
Chord {E-flat in octave 4 | B-flat in octave 3 | C in octave 5 | G-sharp in octave 4 | E in octave 3} Eighth Triplet (1/3 QL),C5-enigmatic pentachord,1/3,119.5
Chord {F-sharp in octave 4 | C-sharp in octave 4} Eighth Triplet (1/3 QL),F#4-interval class 5,1/3,122.75
Chord {E-flat in octave 3 | G-sharp in octave 2} 16th,E-3-interval class 5,0.25,124.75
Chord {B-flat in octave 4 | D in octave 5 | B-flat in octave 3 | D in octave 4} Dotted Eighth,B-4-interval class 4,0.75,383/3
Chord {E-flat in octave 3 | G-sharp in octave 2} 16th,E-3-interval class 5,0.25,129.0
Chord {E-flat in octave 3 | G-sharp in octave 2} 16th,E-3-interval class 5,0.25,131.0
Chord {B-flat in octave 2 | E in octave 5} Eighth,E5-tritone,0.5,135.5
Chord {B in octave 4 | E in octave 5} Double Dotted Quarter,E5-interval class 5,1.75,137.0
Chord {B in octave 1 | D in octave 2} Eighth Triplet (1/3 QL),B1-interval class 3,1/3,144.0
Chord {D in octave 2 | B in octave 1} Eighth,B1-interval class 3,0.5,152.0
Chord {G in octave 4 | E in octave 5 | C-sharp in octave 5 | B-flat in octave 4} Eighth Triplet (1/3 QL),C#5-diminished seventh chord,1/3,158.0
Chord {B in octave 1 | G in octave 3} 16th,G3-interval class 4,0.25,162.5
Chord {B in octave 1 | G in octave 3} 16th,G3-interval class 4,0.25,163.5
Chord {E-flat in octave 3 | G-sharp in octave 2} Eighth Triplet (1/3 QL),E-3-interval class 5,1/3,165.0
Chord {E in octave 2 | B-flat in octave 3} 16th,E2-tritone,0.25,512/3
Chord {B in octave 1 | G in octave 3} 16th,G3-interval class 4,0.25,515/3
Chord {E-flat in octave 3 | G-sharp in octave 2} 16th,E-3-interval class 5,0.25,173.0
Chord {E-flat in octave 3 | G-sharp in octave 2} 16th,E-3-interval class 5,0.25,175.0
Chord {B-flat in octave 3 | B in octave 1 | F in octave 4 | C-sharp in octave 3} 16th,B-3-all-interval tetrachord,0.25,536/3
Chord {E-flat in octave 3 | G-sharp in octave 2} 16th,E-3-interval class 5,0.25,179.0
Chord {B in octave 1 | G in octave 3} 16th,G3-interval class 4,0.25,179.5
Chord {E-flat in octave 3 | G-sharp in octave 2} 16th,E-3-interval class 5,0.25,181.0
Chord {E-flat in octave 3 | D in octave 4} Zero,E-3-interval class 1,0.0,551/3
Chord {A in octave 4 | G in octave 2 | G in octave 2} Whole tied to Double Dotted Quarter (5 3/4 total QL),A4-interval class 2,5.75,563/3
Chord {E-flat in octave 3 | G-sharp in octave 2} 16th,E-3-interval class 5,0.25,195.0
Chord {G in octave 3 | B in octave 1} 16th,G3-interval class 4,0.25,195.5
Chord {E-flat in octave 3 | G-sharp in octave 2} 16th,E-3-interval class 5,0.25,203.0
Chord {G in octave 3 | B in octave 1} 16th,G3-interval class 4,0.25,611/3
Chord {G-sharp in octave 2 | E-flat in octave 3} 16th,E-3-interval class 5,0.25,207.0
Chord {B in octave 1 | E-flat in octave 3} 16th,E-3-interval class 4,0.25,211.0
Chord {G in octave 3 | B in octave 1} 16th,G3-interval class 4,0.25,211.5
Chord {G-sharp in octave 2 | B in octave 3} Eighth Triplet (1/3 QL),G#2-interval class 3,1/3,229.25
Chord {C in octave 5 | F in octave 5 | C-sharp in octave 4 | F in octave 4 | G in octave 3} 16th,F5-minor-second quartal tetrachord,0.25,229.75
Chord {E in octave 5 | B in octave 4 | B in octave 3} 16th,E5-interval class 5,0.25,695/3
Chord {B in octave 3 | G-sharp in octave 2} 16th,G#2-interval class 3,0.25,239.0
Chord {B in octave 4 | G in octave 4} Eighth Triplet (1/3 QL),G4-interval class 4,1/3,719/3
Chord {G-sharp in octave 2 | B in octave 3} 16th,G#2-interval class 3,0.25,240.75
Chord {F in octave 3 | B in octave 3 | E in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),E4-tritone-fourth,5/3,241.0
Chord {B in octave 3 | G-sharp in octave 2} 16th,G#2-interval class 3,0.25,243.0
Chord {B in octave 3 | G-sharp in octave 2} 16th,G#2-interval class 3,0.25,245.0
Chord {B in octave 3 | G-sharp in octave 2} 16th,G#2-interval class 3,0.25,247.0
Chord {B in octave 4 | G in octave 4} Half tied to 16th (2 1/4 total QL),G4-interval class 4,2.25,743/3
Chord {C-sharp in octave 5 | B-flat in octave 4 | G in octave 4 | C-sharp in octave 4} Eighth Triplet (1/3 QL),C#5-diminished triad,1/3,254.0
Chord {G-sharp in octave 2 | B in octave 3} 16th,G#2-interval class 3,0.25,254.75
Chord {B-flat in octave 3 | E in octave 4} Eighth Triplet (1/3 QL),E4-tritone,1/3,773/3
Chord {B in octave 3 | G-sharp in octave 2} 16th,G#2-interval class 3,0.25,258.75
Chord {B in octave 3 | G in octave 4 | E in octave 4} 16th,E4-minor triad,0.25,791/3
Chord {B in octave 3 | G-sharp in octave 2} 16th,G#2-interval class 3,0.25,265.0
Chord {B in octave 4 | G in octave 4 | D in octave 2 | B in octave 3} 16th,G4-major triad,0.25,797/3
Chord {D in octave 2 | E in octave 4 | F in octave 3} 16th,D2-minor trichord,0.25,815/3
Chord {A in octave 4 | C in octave 5 | F in octave 3 | E in octave 4 | B in octave 3} Dotted Eighth,F3-Hirajoshi pentatonic,0.75,818/3
Chord {B in octave 3 | G-sharp in octave 2} 16th,G#2-interval class 3,0.25,277.0
Chord {F in octave 5 | E-flat in octave 2 | F in octave 4 | C-sharp in octave 4 | G in octave 3} 16th,C#4-whole-tone tetramirror,0.25,833/3
Chord {E in octave 5 | B in octave 4 | E in octave 4 | F in octave 3 | B in octave 3} Whole Tuplet of 12/7ths (2 1/3 QL),E5-tritone-fourth,7/3,279.5
Chord {B in octave 3 | G-sharp in octave 2} 16th,G#2-interval class 3,0.25,283.0
Chord {B in octave 3 | D in octave 4} 16th,B3-interval class 3,0.25,284.0
Chord {B in octave 4 | G in octave 4 | D in octave 5 | E-flat in octave 4 | A in octave 3} Quarter tied to 16th (1 1/4 total QL),E-4-enigmatic pentachord,1.25,292.0
Chord {A in octave 4 | C in octave 5 | F-sharp in octave 4 | F in octave 4} 16th,F#4-major-diminished tetrachord,0.25,887/3
Chord {B in octave 3 | G-sharp in octave 2} 16th,G#2-interval class 3,0.25,297.0
Chord {B-flat in octave 4 | F-sharp in octave 4} Eighth Triplet (1/3 QL),B-4-interval class 4,1/3,893/3
Chord {B in octave 3 | G-sharp in octave 2} 16th,G#2-interval class 3,0.25,299.0
Chord {B in octave 3 | G-sharp in octave 2} 16th,G#2-interval class 3,0.25,305.0
Chord {B-flat in octave 4 | G in octave 4} Eighth Triplet (1/3 QL),G4-interval class 3,1/3,920/3
Chord {B in octave 3 | G-sharp in octave 2} 16th,G#2-interval class 3,0.25,307.0
Chord {B in octave 3 | C in octave 2} Zero,C2-interval class 1,0.0,923/3
Chord {B in octave 3 | G-sharp in octave 2} 16th,G#2-interval class 3,0.25,309.0
Chord {G-sharp in octave 2 | B in octave 3} 16th,G#2-interval class 3,0.25,311.0
Chord {B in octave 3 | G-sharp in octave 2} 16th,G#2-interval class 3,0.25,315.0
Chord {C in octave 2 | B in octave 3} Zero,C2-interval class 1,0.0,947/3
Chord {B in octave 3 | G-sharp in octave 2} 16th,G#2-interval class 3,0.25,317.0
Chord {A in octave 4 | B-flat in octave 3 | E in octave 3 | D in octave 4} Dotted Eighth,B-3-minor-second quartal tetrachord,0.75,959/3
Chord {B in octave 3 | G-sharp in octave 2} 16th,G#2-interval class 3,0.25,323.0
Chord {G-sharp in octave 2 | B in octave 3} 16th,G#2-interval class 3,0.25,327.0
Chord {F in octave 3 | E in octave 4 | B in octave 3 | B in octave 3 | B in octave 4 | E in octave 5} 16th,E4-tritone-fourth,0.25,328.0
Chord {B in octave 3 | G-sharp in octave 2} 16th,G#2-interval class 3,0.25,329.0
Chord {B in octave 4 | E in octave 5 | F in octave 3 | E in octave 4 | B in octave 3 | D in octave 2} 16th,B4-perfect-fourth diminished tetrachord,0.25,989/3
Chord {B in octave 3 | G-sharp in octave 2 | F in octave 3} 16th,G#2-diminished triad,0.25,331.0
Chord {G-sharp in octave 2 | B in octave 3} 16th,G#2-interval class 3,0.25,333.0
Chord {G-sharp in octave 2 | B in octave 3 | F in octave 3} 16th,G#2-diminished triad,0.25,334.75
Chord {B in octave 3 | G-sharp in octave 2 | F in octave 3} 16th,G#2-diminished triad,0.25,339.0
Chord {B in octave 3 | C in octave 5 | F in octave 5 | C-sharp in octave 4 | G in octave 3} 16th,G3-asssymetric pentamirror,0.25,340.0
Chord {F in octave 3 | G-sharp in octave 2 | B in octave 3} 16th,G#2-diminished triad,0.25,341.0
Chord {C-sharp in octave 4 | C in octave 5 | F in octave 5} 16th,F5-incomplete major-seventh chord,0.25,1025/3
Chord {F in octave 3 | G-sharp in octave 2 | B in octave 3} 16th,G#2-diminished triad,0.25,347.0
Chord {D in octave 5 | G in octave 4 | B-flat in octave 4 | E in octave 3 | D in octave 4} Eighth,E3-half-diminished seventh chord,0.5,348.0
Chord {G-sharp in octave 2 | B in octave 3} 16th,G#2-interval class 3,0.25,349.0
Chord {F in octave 3 | G-sharp in octave 2 | B in octave 3} 16th,G#2-diminished triad,0.25,351.0
Chord {E in octave 4 | F in octave 4} Double Dotted Quarter,F4-interval class 1,1.75,1055/3
Chord {B in octave 1 | G in octave 3} 16th,G3-interval class 4,0.25,1064/3
Chord {B in octave 1 | G in octave 3} 16th,G3-interval class 4,0.25,355.5
Chord {B in octave 3 | G-sharp in octave 2} 16th,G#2-interval class 3,0.25,357.0
Chord {G-sharp in octave 2 | B in octave 3} 16th,G#2-interval class 3,0.25,359.0
Chord {B in octave 3 | G-sharp in octave 2 | D in octave 2} 16th,G#2-diminished triad,0.25,361.0
Chord {G-sharp in octave 2 | B in octave 3} 16th,G#2-interval class 3,0.25,363.0
Chord {B in octave 3 | G-sharp in octave 2} 16th,G#2-interval class 3,0.25,365.0
Chord {E in octave 5 | F in octave 3 | D in octave 2} Eighth Triplet (1/3 QL),D2-minor trichord,1/3,1106/3
Chord {E in octave 4 | F in octave 3} 16th,F3-interval class 1,0.25,370.0
Chord {E-flat in octave 4 | B in octave 5} Eighth Triplet (1/3 QL),E-4-interval class 4,1/3,371.0
Chord {E-flat in octave 2 | F in octave 2} 16th,F2-interval class 2,0.25,1115/3
Chord {C in octave 6 | F in octave 5} Dotted Eighth,F5-interval class 5,0.75,374.0
Chord {G-sharp in octave 2 | B in octave 3} 16th,G#2-interval class 3,0.25,379.0
Chord {G-sharp in octave 2 | B in octave 3} 16th,G#2-interval class 3,0.25,381.0
Chord {E in octave 2 | B-flat in octave 5} 16th,E2-tritone,0.25,1145/3
Chord {G-sharp in octave 2 | B in octave 3} 16th,G#2-interval class 3,0.25,384.75
Chord {E in octave 4 | F in octave 3 | B in octave 3} Eighth Triplet (1/3 QL),E4-tritone-fourth,1/3,391.5
Chord {C-sharp in octave 2 | G-sharp in octave 2} Eighth Triplet (1/3 QL),C#2-interval class 5,1/3,393.0
Chord {C-sharp in octave 4 | A in octave 4 | F in octave 4 | G in octave 3} 16th,F4-augmented seventh chord,0.25,1190/3
Chord {G-sharp in octave 5 | C-sharp in octave 2} Eighth Triplet (1/3 QL),C#2-interval class 5,1/3,398.75
Chord {C in octave 5 | A in octave 4} Zero,A4-interval class 3,0.0,1202/3
Chord {B in octave 3 | G-sharp in octave 2} 16th,G#2-interval class 3,0.25,400.75
Chord {E-flat in octave 2 | A in octave 4 | G in octave 3 | F in octave 4 | C-sharp in octave 4} Zero,F4-whole-tone pentachord,0.0,1217/3
Chord {G-sharp in octave 5 | B in octave 3} 16th,G#5-interval class 3,0.25,406.75
Chord {E in octave 5 | B in octave 4 | B in octave 3 | F in octave 3 | E in octave 4} Quarter,E5-tritone-fourth,1.0,1229/3
Chord {B in octave 3 | G-sharp in octave 2} 16th,G#2-interval class 3,0.25,417.0
Chord {A in octave 4 | A in octave 3 | G in octave 3} Dotted Eighth,A4-interval class 2,0.75,417.5
Chord {B in octave 3 | G-sharp in octave 2 | D in octave 4} 16th,G#2-diminished triad,0.25,421.0
Chord {C in octave 4 | A in octave 4} Dotted Eighth,A4-interval class 3,0.75,1265/3
Chord {G-sharp in octave 2 | B in octave 3} 16th,G#2-interval class 3,0.25,422.75
Chord {B in octave 3 | G-sharp in octave 2} 16th,G#2-interval class 3,0.25,427.0
Chord {D in octave 4 | D in octave 4 | C in octave 4} Eighth Triplet (1/3 QL),D4-interval class 2,1/3,428.0
Chord {G-sharp in octave 2 | B in octave 3} 16th,G#2-interval class 3,0.25,429.0
Chord {F in octave 4 | C in octave 4} Eighth,F4-interval class 5,0.5,1289/3
Chord {A in octave 4 | B-flat in octave 3 | D in octave 4 | A in octave 3} Quarter Triplet (2/3 QL),B-3-incomplete major-seventh chord,2/3,433.5
Chord {A in octave 4 | B in octave 3} 16th,B3-interval class 2,0.25,436.0
Chord {E-flat in octave 5 | G-sharp in octave 2 | B in octave 3} 16th,E-5-minor triad,0.25,437.0
Chord {B in octave 3 | G-sharp in octave 2} 16th,G#2-interval class 3,0.25,439.0
Chord {C-sharp in octave 5 | B-flat in octave 4 | A in octave 4 | E in octave 5 | C-sharp in octave 4 | E in octave 3} Dotted Eighth,A4-major-diminished tetrachord,0.75,439.5
Chord {B in octave 3 | G-sharp in octave 2} 16th,G#2-interval class 3,0.25,441.0
Chord {B in octave 3 | G in octave 5} 16th,G5-interval class 4,0.25,442.0
Chord {B in octave 3 | G-sharp in octave 2 | G in octave 5} 16th,G#2-major-minor trichord,0.25,443.0
Chord {B in octave 3 | G-sharp in octave 2} 16th,G#2-interval class 3,0.25,444.75
Chord {B in octave 3 | G-sharp in octave 2} 16th,G#2-interval class 3,0.25,447.0
Chord {D in octave 2 | B in octave 3} 16th,B3-interval class 3,0.25,448.0
Chord {B in octave 3 | D in octave 2} 16th,B3-interval class 3,0.25,452.0
Chord {C-sharp in octave 4 | G in octave 3 | E in octave 4} 16th,C#4-diminished triad,0.25,1358/3
Chord {B in octave 3 | G-sharp in octave 2} 16th,G#2-interval class 3,0.25,453.0
Chord {F-sharp in octave 4 | E-flat in octave 2} Eighth Triplet (1/3 QL),F#4-interval class 3,1/3,1361/3
Chord {G-sharp in octave 2 | D in octave 2} 16th,G#2-tritone,0.25,455.0
