488.0
4/4
FullName,CommonName,Len,Offset
Chord {B-flat in octave 4 | F in octave 5} Whole tied to Double Dotted Quarter (5 3/4 total QL),B-4-interval class 5,5.75,0.0
Chord {F-sharp in octave 3 | B-flat in octave 4 | B in octave 3 | E-flat in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),E-4-major seventh chord,10/3,16.0
Chord {F-sharp in octave 4 | E in octave 3 | A in octave 3 | C-sharp in octave 4} Double Dotted Half,F#4-minor seventh chord,3.5,20.0
Chord {D in octave 4 | F-sharp in octave 5 | G in octave 4 | B in octave 4} Eighth,G4-major seventh chord,0.5,28.5
Chord {C-sharp in octave 4 | F in octave 5 | F-sharp in octave 4 | B-flat in octave 4} Half tied to 16th (2 1/4 total QL),B-4-major seventh chord,2.25,29.0
Chord {E in octave 4 | B-flat in octave 4} Whole tied to Double Dotted Quarter (5 3/4 total QL),E4-tritone,5.75,32.0
Chord {C-sharp in octave 4 | E-flat in octave 4 | F-sharp in octave 4 | B-flat in octave 4} Eighth,C#4-minor seventh chord,0.5,40.0
Chord {C-sharp in octave 4 | E-flat in octave 4 | F-sharp in octave 4 | B-flat in octave 4} Breve Triplet (5 1/3 QL),C#4-minor seventh chord,16/3,41.5
Chord {C-sharp in octave 4 | F in octave 5 | F-sharp in octave 4 | B-flat in octave 4} Quarter,B-4-major seventh chord,1.0,47.5
Chord {C-sharp in octave 4 | F in octave 5 | F-sharp in octave 4 | B-flat in octave 4} Breve Triplet (5 1/3 QL),B-4-major seventh chord,16/3,49.5
Chord {C-sharp in octave 4 | F in octave 4 | F-sharp in octave 4 | B-flat in octave 4} Double Dotted Whole,B-4-major seventh chord,7.0,55.5
Chord {B in octave 3 | E-flat in octave 5 | G-sharp in octave 4 | F-sharp in octave 4} Eighth Triplet (1/3 QL),E-5-minor seventh chord,1/3,66.5
Chord {F-sharp in octave 4 | E in octave 3 | A in octave 3 | C-sharp in octave 4} Whole,F#4-minor seventh chord,4.0,67.5
Chord {A in octave 3 | B in octave 4 | D in octave 4 | F in octave 4} Eighth,B4-half-diminished seventh chord,0.5,84.5
Chord {G-sharp in octave 3 | B-flat in octave 4 | C-sharp in octave 4 | E in octave 4} Half tied to 16th (2 1/4 total QL),C#4-half-diminished seventh chord,2.25,85.0
Chord {B-flat in octave 4 | E-flat in octave 5} Whole tied to Double Dotted Quarter (5 3/4 total QL),E-5-interval class 5,5.75,88.0
Chord {F in octave 3 | G-sharp in octave 4 | B-flat in octave 3 | C-sharp in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),G#4-minor seventh chord,10/3,96.0
Chord {F in octave 3 | G-sharp in octave 3 | B-flat in octave 3 | C-sharp in octave 4} Quarter tied to 16th (1 1/4 total QL),G#3-minor seventh chord,1.25,100.5
Chord {F in octave 3 | G-sharp in octave 4 | B-flat in octave 3 | C-sharp in octave 4} Eighth,G#4-minor seventh chord,0.5,102.5
Chord {E in octave 3 | F-sharp in octave 4 | B-flat in octave 3 | C-sharp in octave 4} Quarter,C#4-dominant seventh chord,1.0,103.0
Chord {B-flat in octave 3 | D in octave 5 | E in octave 4 | A in octave 4} Eighth,B-3-minor-second quartal tetrachord,0.5,108.5
Chord {A in octave 3 | C-sharp in octave 5 | E-flat in octave 4 | G-sharp in octave 4} Half tied to 16th (2 1/4 total QL),A3-minor-second quartal tetrachord,2.25,109.0
Chord {F in octave 4 | G-sharp in octave 4 | B-flat in octave 3 | C-sharp in octave 4} Whole tied to Half tied to Eighth (6 1/2 total QL),G#4-minor seventh chord,6.5,112.0
Chord {F in octave 4 | A in octave 4 | C-sharp in octave 4 | E in octave 5} Eighth,F4-augmented major tetrachord,0.5,124.5
Chord {E in octave 4 | G-sharp in octave 4 | C in octave 4 | E-flat in octave 5} Half tied to 16th (2 1/4 total QL),C4-augmented major tetrachord,2.25,125.0
Chord {E-flat in octave 4 | B in octave 4} Whole tied to Double Dotted Quarter (5 3/4 total QL),E-4-interval class 4,5.75,128.0
Chord {A in octave 3 | C-sharp in octave 5 | F-sharp in octave 4 | E in octave 4} Eighth Triplet (1/3 QL),F#4-minor seventh chord,1/3,138.5
Chord {F-sharp in octave 3 | B-flat in octave 4 | E-flat in octave 4 | C-sharp in octave 4} Eighth Triplet (1/3 QL),C#4-minor seventh chord,1/3,142.5
Chord {E in octave 5 | C in octave 4 | F-sharp in octave 4 | A in octave 4} Double Dotted Half,F#4-half-diminished seventh chord,3.5,144.0
Chord {G-sharp in octave 3 | B-flat in octave 4 | F in octave 4 | D in octave 4} Eighth Triplet (1/3 QL),G#3-dominant seventh chord,1/3,150.5
Chord {C-sharp in octave 4 | E-flat in octave 4 | F-sharp in octave 3 | B-flat in octave 4} Eighth,C#4-minor seventh chord,0.5,152.0
Chord {C-sharp in octave 4 | E-flat in octave 4 | F-sharp in octave 3 | B-flat in octave 4} Breve Triplet (5 1/3 QL),C#4-minor seventh chord,16/3,153.5
Chord {B-flat in octave 4 | F in octave 5} Whole tied to Double Dotted Quarter (5 3/4 total QL),B-4-interval class 5,5.75,160.0
Chord {C-sharp in octave 4 | F in octave 4 | F-sharp in octave 3 | B-flat in octave 4} Eighth,B-4-major seventh chord,0.5,168.0
Chord {C-sharp in octave 4 | F in octave 4 | F-sharp in octave 3 | B-flat in octave 4} Breve Triplet (5 1/3 QL),B-4-major seventh chord,16/3,169.5
Chord {G-sharp in octave 4 | F-sharp in octave 3 | B in octave 3 | E-flat in octave 4} Double Dotted Half,E-4-minor seventh chord,3.5,176.0
Chord {A in octave 3 | C-sharp in octave 5 | F-sharp in octave 4 | E in octave 4} Eighth Triplet (1/3 QL),F#4-minor seventh chord,1/3,182.5
Chord {C-sharp in octave 4 | E-flat in octave 4 | F-sharp in octave 3 | B-flat in octave 3} Whole tied to Half tied to Eighth (6 1/2 total QL),C#4-minor seventh chord,6.5,184.0
Chord {C-sharp in octave 4 | F in octave 4 | F-sharp in octave 3 | B-flat in octave 4} Whole tied to Half tied to Eighth (6 1/2 total QL),B-4-major seventh chord,6.5,200.0
Chord {B-flat in octave 4 | E-flat in octave 5} Whole tied to Double Dotted Quarter (5 3/4 total QL),E-5-interval class 5,5.75,208.0
Chord {C-sharp in octave 4 | E-flat in octave 4 | F-sharp in octave 3 | B-flat in octave 4} Whole tied to Half tied to Eighth (6 1/2 total QL),C#4-minor seventh chord,6.5,216.0
Chord {F-sharp in octave 3 | B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Whole,E-4-major seventh chord,4.0,223.5
Chord {E in octave 3 | G-sharp in octave 4 | A in octave 3 | C-sharp in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),A3-major seventh chord,10/3,228.0
Chord {C-sharp in octave 4 | E-flat in octave 4 | F-sharp in octave 3 | B-flat in octave 4} Whole tied to Half tied to Eighth (6 1/2 total QL),C#4-minor seventh chord,6.5,232.0
Chord {G-sharp in octave 3 | B-flat in octave 4 | C-sharp in octave 4 | E in octave 4} Whole tied to Half tied to Eighth (6 1/2 total QL),C#4-half-diminished seventh chord,6.5,240.0
Chord {B-flat in octave 4 | E-flat in octave 5} Whole tied to Double Dotted Quarter (5 3/4 total QL),E-5-interval class 5,5.75,248.0
Chord {B-flat in octave 3 | C-sharp in octave 5 | G-sharp in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),G#4-minor seventh chord,1/3,258.5
Chord {F in octave 3 | G-sharp in octave 3 | B-flat in octave 3 | C-sharp in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),G#3-minor seventh chord,5/3,260.0
Chord {F in octave 3 | G-sharp in octave 4 | B-flat in octave 3 | C-sharp in octave 4} Quarter,G#4-minor seventh chord,1.0,262.0
Chord {E in octave 3 | G-sharp in octave 4 | B-flat in octave 3 | E-flat in octave 4 | C in octave 4} Eighth,C4-enigmatic pentachord,0.5,263.5
Chord {F-sharp in octave 4 | A in octave 4 | B in octave 3 | D in octave 5} Eighth,B3-minor seventh chord,0.5,276.5
Chord {F in octave 4 | G-sharp in octave 4 | B-flat in octave 3 | C-sharp in octave 5} Half tied to 16th (2 1/4 total QL),G#4-minor seventh chord,2.25,277.0
