488.0
4/4
FullName,CommonName,Len,Offset
Chord {G in octave 3 | G in octave 4} 16th,G3-unison,0.25,1.75
Chord {F in octave 4 | B-flat in octave 4} 16th,B-4-interval class 5,0.25,4.0
Chord {C in octave 4 | F-sharp in octave 4} Eighth Triplet (1/3 QL),F#4-tritone,1/3,7.75
Chord {F-sharp in octave 4 | F in octave 4} Eighth,F#4-interval class 1,0.5,11.0
Chord {C in octave 4 | F-sharp in octave 4 | B-flat in octave 4 | F in octave 5} 16th,B-4-minor-second quartal tetrachord,0.25,12.0
Chord {F-sharp in octave 4 | E-flat in octave 4 | B-flat in octave 4 | C in octave 4 | F-sharp in octave 3} 16th,C4-half-diminished seventh chord,0.25,14.75
Chord {F-sharp in octave 4 | F-sharp in octave 3 | F in octave 4 | B-flat in octave 4 | C in octave 4} 16th,B-4-minor-second quartal tetrachord,0.25,15.5
Chord {C in octave 4 | C in octave 5} 16th,C4-unison,0.25,17.75
Chord {A in octave 4 | D in octave 5} 16th,D5-interval class 5,0.25,20.0
Chord {F in octave 3 | B in octave 3 | A in octave 4} Eighth,B3-incomplete half-diminished seventh chord,0.5,23.75
Chord {A in octave 3 | B in octave 3 | F in octave 3 | E in octave 4} 16th,F3-minor-second quartal tetrachord,0.25,28.0
Chord {D in octave 4 | B in octave 3 | F in octave 3 | A in octave 3} 16th,B3-half-diminished seventh chord,0.25,29.0
Chord {B-flat in octave 3 | E in octave 4} Eighth Triplet (1/3 QL),E4-tritone,1/3,31.75
Chord {E in octave 4 | D in octave 4} Eighth,E4-interval class 2,0.5,35.0
Chord {B-flat in octave 3 | E in octave 4 | A in octave 4 | D in octave 5} 16th,B-3-minor-second quartal tetrachord,0.25,36.0
Chord {E in octave 4 | D in octave 4 | A in octave 4 | B-flat in octave 3 | E in octave 3} 16th,B-3-minor-second quartal tetrachord,0.25,38.75
Chord {E in octave 4 | E in octave 3 | D in octave 4 | A in octave 4 | B-flat in octave 3} 16th,B-3-minor-second quartal tetrachord,0.25,39.5
Chord {D in octave 4 | E-flat in octave 3 | G in octave 4 | A in octave 3} 16th,E-3-minor-second quartal tetrachord,0.25,40.75
Chord {D in octave 4 | G in octave 4 | A in octave 3 | E-flat in octave 3} 16th,E-3-minor-second quartal tetrachord,0.25,124/3
Chord {F in octave 3 | D in octave 4} Eighth,D4-interval class 3,0.5,45.0
Chord {A in octave 3 | E-flat in octave 4} Eighth,A3-tritone,0.5,47.25
Chord {D in octave 3 | G in octave 3 | F in octave 4} 16th,G3-incomplete dominant-seventh chord,0.25,48.0
Chord {F in octave 3 | G in octave 3 | D in octave 3 | B-flat in octave 3} 16th,G3-minor seventh chord,0.25,52.0
Chord {B-flat in octave 3 | G in octave 3 | D in octave 3 | F in octave 3} 16th,G3-minor seventh chord,0.25,53.0
Chord {F in octave 3 | C in octave 4 | A in octave 4} 16th,F3-major triad,0.25,80.0
Chord {A in octave 3 | C in octave 4 | F in octave 3 | D in octave 4} 16th,D4-minor seventh chord,0.25,84.0
