396.0
4/4
FullName,CommonName,Len,Offset
Chord {G in octave 4 | D in octave 4 | E in octave 3 | A in octave 3} 16th,E3-quartal tetramirror,0.25,4.75
Chord {D in octave 4 | G in octave 4 | A in octave 3 | E in octave 3} 16th,E3-quartal tetramirror,0.25,6.0
Chord {D in octave 4 | G in octave 4} 16th,G4-interval class 5,0.25,8.0
Chord {E-flat in octave 4 | F in octave 2 | C in octave 4 | A in octave 3} 16th,F2-dominant seventh chord,0.25,10.0
Chord {C in octave 5 | A in octave 3 | D in octave 4} Dotted Half,D4-incomplete dominant-seventh chord,3.0,38/3
Chord {C in octave 4 | F in octave 4} 16th,F4-interval class 5,0.25,16.75
Chord {B-flat in octave 4 | G in octave 3 | C-sharp in octave 4} Quarter,C#4-diminished triad,1.0,56/3
Chord {G in octave 4 | C in octave 4 | G in octave 3} Double Dotted Quarter,C4-interval class 5,1.75,19.75
Chord {G-sharp in octave 2 | C in octave 4 | B-flat in octave 4} Quarter tied to 16th (1 1/4 total QL),C4-whole-tone trichord,1.25,22.0
Chord {F in octave 4 | E in octave 4} Eighth,F4-interval class 1,0.5,25.0
Chord {G-sharp in octave 4 | E-flat in octave 4 | F in octave 3 | B in octave 3} 16th,E-4-half-diminished seventh chord,0.25,26.75
Chord {C in octave 4 | E in octave 3 | B in octave 3} 16th,C4-incomplete major-seventh chord,0.25,28.0
Chord {D in octave 5 | B in octave 3 | G in octave 4} Dotted Eighth,G4-major triad,0.75,31.0
Chord {E in octave 5 | C in octave 4 | F in octave 4} Quarter tied to 16th (1 1/4 total QL),F4-incomplete major-seventh chord,1.25,98/3
Chord {F in octave 4 | D in octave 4} Eighth,D4-interval class 3,0.5,35.0
Chord {E in octave 4 | B in octave 3 | E in octave 3} Dotted Quarter,E4-interval class 5,1.5,36.0
Chord {C in octave 3 | B in octave 3 | G in octave 4} Quarter tied to 16th (1 1/4 total QL),C3-incomplete major-seventh chord,1.25,38.0
Chord {D in octave 4 | G in octave 4} 16th,G4-interval class 5,0.25,40.75
Chord {D in octave 4 | G in octave 4} 16th,G4-interval class 5,0.25,42.0
Chord {F in octave 4 | D in octave 4 | A in octave 3} Whole Tuplet of 12/11ths (3 2/3 QL),D4-minor triad,11/3,44.0
Chord {C-sharp in octave 4 | B-flat in octave 3} Eighth,C#4-interval class 3,0.5,49.0
