404.0
4/4
FullName,CommonName,Len,Offset
Chord {A in octave 4 | B-flat in octave 4} Zero,B-4-interval class 1,0.0,67.0
Chord {D in octave 4 | E in octave 4 | A in octave 3 | G in octave 4} 16th,E4-quartal tetramirror,0.25,12.0
Chord {E in octave 4 | G in octave 4} Eighth,E4-interval class 3,0.5,17.0
Chord {E in octave 4 | G in octave 4} 16th,E4-interval class 3,0.25,17.75
Chord {B in octave 3 | F-sharp in octave 4} 16th,B3-interval class 5,0.25,20.75
Chord {A in octave 3 | D in octave 4} Eighth Triplet (1/3 QL),D4-interval class 5,1/3,22.0
Chord {E in octave 4 | D in octave 4 | G in octave 3} Whole Tuplet of 12/11ths (3 2/3 QL),E4-incomplete minor-seventh chord,11/3,28.0
Chord {C-sharp in octave 4 | A in octave 2 | B in octave 3 | G in octave 3} 16th,A2-whole-tone tetramirror,0.25,32.0
Chord {A in octave 3 | E in octave 4} Eighth Triplet (1/3 QL),A3-interval class 5,1/3,33.75
Chord {D in octave 4 | A in octave 4} Eighth Triplet (1/3 QL),D4-interval class 5,1/3,35.75
Chord {A in octave 3 | C-sharp in octave 4 | G in octave 3 | F in octave 4} 16th,F4-augmented seventh chord,0.25,38.0
Chord {A in octave 4 | C in octave 4 | D in octave 4 | F in octave 3} 16th,D4-minor seventh chord,0.25,40.0
Chord {A in octave 4 | C in octave 4 | D in octave 4 | F in octave 3} Quarter,D4-minor seventh chord,1.0,41.0
Chord {B in octave 3 | F-sharp in octave 4} 16th,B3-interval class 5,0.25,44.0
Chord {F-sharp in octave 3 | D in octave 4 | A in octave 3} Eighth,D4-major triad,0.5,47.0
Chord {E in octave 2 | D in octave 3 | E in octave 3 | G-sharp in octave 3} Eighth,E2-incomplete dominant-seventh chord,0.5,47.75
Chord {G-sharp in octave 3 | F-sharp in octave 4 | E in octave 2 | D in octave 4} Eighth Triplet (1/3 QL),E2-whole-tone tetramirror,1/3,50.0
Chord {C in octave 4 | A in octave 2 | B in octave 3 | G in octave 3} 16th,A2-lydian tetrachord,0.25,52.0
Chord {D in octave 5 | C in octave 4 | F-sharp in octave 4} Quarter tied to 16th (1 1/4 total QL),D5-incomplete dominant-seventh chord,1.25,194/3
Chord {A in octave 4 | F in octave 4} Triple Dotted Half (3 3/4 QL),F4-interval class 4,3.75,67.75
Chord {B in octave 3 | F in octave 4} Half tied to Eighth (2 1/2 total QL),B3-tritone,2.5,71.75
Chord {B in octave 3 | G in octave 2 | F in octave 4 | A in octave 4} Eighth Triplet (1/3 QL),G2-whole-tone tetramirror,1/3,75.0
Chord {E in octave 4 | C in octave 4} Eighth,C4-interval class 4,0.5,77.0
Chord {G in octave 4 | B in octave 3} Eighth,G4-interval class 4,0.5,78.0
Chord {B in octave 3 | E in octave 4} Eighth Triplet (1/3 QL),E4-interval class 5,1/3,79.0
Chord {D in octave 4 | B in octave 3} Eighth,B3-interval class 3,0.5,85.0
Chord {F-sharp in octave 4 | A in octave 3} Eighth,F#4-interval class 3,0.5,86.0
Chord {A in octave 3 | D in octave 4} Eighth Triplet (1/3 QL),D4-interval class 5,1/3,87.0
Chord {D in octave 4 | D in octave 3 | G-sharp in octave 3} Double Dotted Quarter,G#3-tritone,1.75,87.75
Chord {E in octave 2 | G-sharp in octave 3 | F-sharp in octave 4} Quarter tied to 16th (1 1/4 total QL),E2-whole-tone trichord,1.25,90.0
Chord {B in octave 3 | E in octave 4} 16th,E4-interval class 5,0.25,92.0
Chord {E in octave 3 | D in octave 4 | G in octave 3} Eighth,E3-incomplete minor-seventh chord,0.5,95.0
Chord {C-sharp in octave 4 | B in octave 3} Eighth,C#4-interval class 2,0.5,97.0
Chord {C-sharp in octave 4 | A in octave 3} Eighth,A3-interval class 4,0.5,99.0
Chord {F in octave 4 | D in octave 4} Eighth,D4-interval class 3,0.5,101.0
Chord {D in octave 4 | C in octave 4} Eighth,D4-interval class 2,0.5,109.0
Chord {F in octave 4 | A in octave 3} Eighth,F4-interval class 4,0.5,110.0
Chord {A in octave 3 | D in octave 4} Eighth Triplet (1/3 QL),D4-interval class 5,1/3,111.0
Chord {F-sharp in octave 4 | A in octave 3 | C in octave 4 | E-flat in octave 3} 16th,F#4-diminished seventh chord,0.25,112.0
Chord {F-sharp in octave 4 | A in octave 3 | C in octave 4 | E-flat in octave 3} Quarter,F#4-diminished seventh chord,1.0,113.0
Chord {E in octave 4 | C in octave 3 | C in octave 4 | B in octave 3} 16th,C3-incomplete major-seventh chord,0.25,116.0
Chord {E in octave 4 | C in octave 4} Eighth,C4-interval class 4,0.5,119.0
Chord {B in octave 3 | E in octave 4} 16th,E4-interval class 5,0.25,120.75
Chord {B in octave 3 | C-sharp in octave 4 | G in octave 3 | E in octave 4} 16th,C#4-half-diminished seventh chord,0.25,122.0
Chord {E in octave 4 | A in octave 4} 16th,A4-interval class 5,0.25,124.75
Chord {C in octave 4 | F-sharp in octave 4} Eighth Triplet (1/3 QL),F#4-tritone,1/3,126.0
Chord {E in octave 5 | C in octave 4 | F in octave 4} Quarter tied to 16th (1 1/4 total QL),F4-incomplete major-seventh chord,1.25,386/3
Chord {F in octave 4 | G in octave 2 | D in octave 4 | B in octave 3} 16th,G2-dominant seventh chord,0.25,130.0
Chord {F in octave 4 | A in octave 3 | C-sharp in octave 3 | G in octave 3} 16th,F4-augmented seventh chord,0.25,134.75
Chord {D in octave 4 | F in octave 3 | B in octave 3} 16th,B3-diminished triad,0.25,138.0
Chord {E in octave 4 | C in octave 3 | D in octave 4 | A in octave 3} 16th,A3-perfect-fourth minor tetrachord,0.25,140.0
Chord {E in octave 3 | G in octave 4 | A in octave 3 | E in octave 4} 16th,A3-incomplete dominant-seventh chord,0.25,144.0
Chord {F-sharp in octave 4 | D in octave 4 | A in octave 3} Whole Tuplet of 12/11ths (3 2/3 QL),D4-major triad,11/3,148.0
Chord {F-sharp in octave 4 | D in octave 4 | G-sharp in octave 3} Whole Tuplet of 12/11ths (3 2/3 QL),G#3-incomplete half-diminished seventh chord,11/3,152.0
Chord {B in octave 3 | E in octave 4} 16th,E4-interval class 5,0.25,156.75
Chord {G in octave 3 | D in octave 4} Eighth Triplet (1/3 QL),G3-interval class 5,1/3,158.0
Chord {B in octave 4 | G in octave 3 | C-sharp in octave 4} Quarter tied to 16th (1 1/4 total QL),C#4-incomplete half-diminished seventh chord,1.25,482/3
Chord {B-flat in octave 3 | C-sharp in octave 3 | G in octave 3} 16th,C#3-diminished triad,0.25,162.0
Chord {D in octave 4 | A in octave 4} 16th,D4-interval class 5,0.25,164.75
Chord {B-flat in octave 3 | F in octave 4} 16th,B-3-interval class 5,0.25,166.75
Chord {E in octave 4 | F in octave 4 | C in octave 4 | A in octave 4} 16th,F4-major seventh chord,0.25,168.0
Chord {F-sharp in octave 4 | G-sharp in octave 3 | C-sharp in octave 4 | D in octave 3} 16th,D3-minor-second quartal tetrachord,0.25,176.0
Chord {F-sharp in octave 4 | G-sharp in octave 3 | C-sharp in octave 4 | D in octave 3} Quarter,D3-minor-second quartal tetrachord,1.0,177.0
Chord {E in octave 4 | B in octave 3 | C in octave 3 | G in octave 3} 16th,C3-major seventh chord,0.25,180.75
Chord {C in octave 5 | G-sharp in octave 3 | D in octave 4} Quarter,C5-incomplete half-diminished seventh chord,1.0,548/3
Chord {E in octave 4 | A in octave 4} Quarter Triplet (2/3 QL),A4-interval class 5,2/3,183.75
Chord {E in octave 4 | A in octave 3 | C in octave 3 | G in octave 3} 16th,A3-minor seventh chord,0.25,188.75
Chord {B in octave 3 | G in octave 3 | E in octave 4 | C in octave 3} 16th,C3-major seventh chord,0.25,190.0
Chord {E in octave 4 | B in octave 4} 16th,E4-interval class 5,0.25,192.0
Chord {B in octave 4 | E in octave 4 | F-sharp in octave 3 | C in octave 4} 16th,C4-minor-second quartal tetrachord,0.25,194.75
Chord {F in octave 4 | F in octave 3 | B in octave 3} Dotted Quarter,B3-tritone,1.5,200.0
Chord {G in octave 2 | B in octave 3 | A in octave 4} Quarter tied to 16th (1 1/4 total QL),G2-whole-tone trichord,1.25,202.0
Chord {E in octave 4 | C in octave 4} Eighth,C4-interval class 4,0.5,205.0
Chord {G in octave 4 | B in octave 3} Eighth,G4-interval class 4,0.5,206.0
Chord {B in octave 3 | E in octave 4} Eighth Triplet (1/3 QL),E4-interval class 5,1/3,207.0
Chord {B in octave 3 | F-sharp in octave 4} 16th,B3-interval class 5,0.25,212.75
Chord {A in octave 3 | D in octave 4} Eighth Triplet (1/3 QL),D4-interval class 5,1/3,214.0
Chord {G-sharp in octave 3 | D in octave 4} Half tied to Eighth (2 1/2 total QL),G#3-tritone,2.5,215.75
Chord {G-sharp in octave 3 | E in octave 2 | D in octave 4 | F-sharp in octave 4} Eighth Triplet (1/3 QL),E2-whole-tone tetramirror,1/3,219.0
Chord {B in octave 4 | G in octave 3 | D in octave 4} Dotted Half,G3-major triad,3.0,662/3
Chord {F-sharp in octave 4 | B in octave 3 | C-sharp in octave 3 | G in octave 3} 16th,G3-minor-second quartal tetrachord,0.25,224.75
Chord {B-flat in octave 3 | F in octave 4} 16th,B-3-interval class 5,0.25,226.0
Chord {E in octave 5 | C in octave 4 | F in octave 4} Quarter tied to 16th (1 1/4 total QL),F4-incomplete major-seventh chord,1.25,686/3
Chord {B-flat in octave 3 | C-sharp in octave 3 | G in octave 3} 16th,C#3-diminished triad,0.25,230.0
Chord {F in octave 4 | F in octave 3 | C in octave 4} Double Dotted Quarter,F4-interval class 5,1.75,231.75
Chord {D in octave 3 | C in octave 4 | A in octave 4} Quarter tied to 16th (1 1/4 total QL),D3-incomplete dominant-seventh chord,1.25,234.0
Chord {F in octave 4 | F in octave 2 | D in octave 4} Quarter tied to 16th (1 1/4 total QL),D4-interval class 3,1.25,238.0
Chord {F-sharp in octave 4 | C in octave 5 | E-flat in octave 4 | A in octave 3} Eighth Triplet (1/3 QL),F#4-diminished seventh chord,1/3,240.0
Chord {G in octave 4 | C in octave 4 | E in octave 3 | B in octave 3} 16th,C4-major seventh chord,0.25,244.75
Chord {C in octave 4 | G in octave 4} 16th,C4-interval class 5,0.25,246.0
Chord {B in octave 3 | E in octave 4} Eighth Triplet (1/3 QL),E4-interval class 5,1/3,247.75
Chord {C-sharp in octave 4 | A in octave 2 | B in octave 3 | G in octave 3} 16th,A2-whole-tone tetramirror,0.25,250.0
Chord {E in octave 4 | F-sharp in octave 3 | C in octave 4} 16th,F#3-incomplete half-diminished seventh chord,0.25,252.0
Chord {E in octave 5 | C in octave 4 | G-sharp in octave 4} Quarter Triplet (2/3 QL),C4-augmented triad,2/3,255.0
Chord {D in octave 4 | F in octave 3 | C in octave 4} Eighth,D4-incomplete minor-seventh chord,0.5,255.75
Chord {F in octave 4 | G in octave 2 | D in octave 4 | B in octave 3} 16th,G2-dominant seventh chord,0.25,258.0
Chord {E in octave 4 | C in octave 3 | C in octave 4 | A in octave 3} 16th,A3-minor triad,0.25,260.0
Chord {A in octave 3 | C-sharp in octave 3 | G in octave 3} 16th,A3-incomplete dominant-seventh chord,0.25,262.0
Chord {F in octave 4 | D in octave 4} Eighth,D4-interval class 3,0.5,265.0
Chord {D in octave 4 | G in octave 4} Eighth Triplet (1/3 QL),G4-interval class 5,1/3,267.75
Chord {G in octave 3 | E in octave 4 | A in octave 3} Eighth,A3-incomplete dominant-seventh chord,0.5,271.0
Chord {B in octave 3 | F-sharp in octave 4} 16th,B3-interval class 5,0.25,276.0
Chord {F-sharp in octave 3 | D in octave 4 | A in octave 3} Eighth,D4-major triad,0.5,279.0
Chord {F-sharp in octave 4 | C-sharp in octave 5 | D in octave 4 | G-sharp in octave 3} Eighth Triplet (1/3 QL),D4-minor-second quartal tetrachord,1/3,280.0
Chord {B in octave 3 | E in octave 4} 16th,E4-interval class 5,0.25,284.0
Chord {E in octave 3 | D in octave 4 | G in octave 3} Eighth,E3-incomplete minor-seventh chord,0.5,287.0
Chord {F-sharp in octave 4 | B in octave 3 | C-sharp in octave 3 | G in octave 3} 16th,G3-minor-second quartal tetrachord,0.25,288.75
Chord {C-sharp in octave 4 | A in octave 2 | B-flat in octave 3 | G in octave 3} 16th,A2-harmonic minor tetrachord,0.25,290.0
Chord {F in octave 4 | E in octave 4} Eighth,F4-interval class 1,0.5,293.0
Chord {F in octave 4 | B-flat in octave 3 | C-sharp in octave 3 | G in octave 3} 16th,G3-half-diminished seventh chord,0.25,294.75
Chord {F in octave 4 | F in octave 3 | C in octave 4} Dotted Quarter,F4-interval class 5,1.5,296.0
Chord {D in octave 3 | C in octave 4 | A in octave 4} Quarter tied to 16th (1 1/4 total QL),D3-incomplete dominant-seventh chord,1.25,298.0
Chord {B in octave 3 | D in octave 4 | A in octave 3 | F-sharp in octave 4} 16th,B3-minor seventh chord,0.25,300.0
Chord {F-sharp in octave 4 | D in octave 4} Triple Dotted Half (3 3/4 QL),D4-interval class 4,3.75,303.75
Chord {B in octave 3 | E in octave 4} Eighth Triplet (1/3 QL),E4-interval class 5,1/3,307.75
Chord {C in octave 5 | G-sharp in octave 3 | D in octave 4} Quarter tied to 16th (1 1/4 total QL),C5-incomplete half-diminished seventh chord,1.25,932/3
Chord {A in octave 2 | C in octave 3 | E in octave 3 | G in octave 3} 16th,A2-minor seventh chord,0.25,312.0
Chord {G in octave 3 | E in octave 4 | A in octave 2 | C in octave 4} Eighth Triplet (1/3 QL),A2-minor seventh chord,1/3,314.0
Chord {E in octave 4 | B in octave 3 | C in octave 3 | G in octave 3} 16th,C3-major seventh chord,0.25,316.75
Chord {A in octave 3 | G in octave 3 | E in octave 4 | C in octave 3} 16th,A3-minor seventh chord,0.25,318.0
Chord {D in octave 4 | F-sharp in octave 3 | C in octave 4} Eighth,D4-incomplete dominant-seventh chord,0.5,319.75
Chord {D in octave 4 | B in octave 4} 16th,B4-interval class 3,0.25,322.0
Chord {F in octave 4 | F in octave 3 | C in octave 4} Double Dotted Quarter,F4-interval class 5,1.75,323.75
Chord {D in octave 3 | C in octave 4 | A in octave 4} Quarter tied to 16th (1 1/4 total QL),D3-incomplete dominant-seventh chord,1.25,326.0
Chord {F in octave 4 | F in octave 3 | B in octave 3} Dotted Quarter,B3-tritone,1.5,328.0
Chord {G in octave 2 | B in octave 3 | A in octave 4} Quarter tied to 16th (1 1/4 total QL),G2-whole-tone trichord,1.25,330.0
Chord {C in octave 4 | G in octave 4} 16th,C4-interval class 5,0.25,332.75
Chord {B in octave 3 | E in octave 4} Eighth Triplet (1/3 QL),E4-interval class 5,1/3,334.0
Chord {E in octave 4 | E in octave 3} Half,E4-unison,2.0,336.0
Chord {B in octave 3 | G in octave 4} Eighth Triplet (1/3 QL),G4-interval class 4,1/3,339.0
Chord {B in octave 3 | F-sharp in octave 4} 16th,B3-interval class 5,0.25,340.75
Chord {A in octave 3 | D in octave 4} Eighth Triplet (1/3 QL),D4-interval class 5,1/3,342.0
Chord {C-sharp in octave 4 | D in octave 4 | G-sharp in octave 3 | F-sharp in octave 4} 16th,D4-minor-second quartal tetrachord,0.25,344.0
Chord {B in octave 3 | E in octave 4} 16th,E4-interval class 5,0.25,348.75
Chord {G in octave 3 | D in octave 4} Eighth Triplet (1/3 QL),G3-interval class 5,1/3,350.0
Chord {C-sharp in octave 4 | B in octave 3} Eighth,C#4-interval class 2,0.5,353.0
Chord {C-sharp in octave 4 | A in octave 2 | B-flat in octave 3 | G in octave 3} 16th,A2-harmonic minor tetrachord,0.25,354.0
Chord {F in octave 4 | D in octave 4} Eighth,D4-interval class 3,0.5,357.0
Chord {F in octave 4 | B-flat in octave 3 | C-sharp in octave 3 | G in octave 3} 16th,G3-half-diminished seventh chord,0.25,358.75
Chord {F in octave 4 | F in octave 3 | C in octave 4} Dotted Quarter,F4-interval class 5,1.5,360.0
Chord {D in octave 3 | C in octave 4 | A in octave 4} Quarter tied to 16th (1 1/4 total QL),D3-incomplete dominant-seventh chord,1.25,362.0
Chord {F in octave 4 | F in octave 2 | D in octave 4} Quarter tied to 16th (1 1/4 total QL),D4-interval class 3,1.25,366.0
Chord {F-sharp in octave 4 | C in octave 4 | E-flat in octave 3 | A in octave 3} 16th,F#4-diminished seventh chord,0.25,368.75
Chord {C in octave 4 | A in octave 3 | F-sharp in octave 4 | E-flat in octave 3} 16th,F#4-diminished seventh chord,0.25,370.0
Chord {C in octave 4 | E in octave 3 | B in octave 3} 16th,C4-incomplete major-seventh chord,0.25,372.0
Chord {G in octave 4 | C in octave 4 | E in octave 3 | A in octave 3} 16th,A3-minor seventh chord,0.25,374.75
Chord {B in octave 3 | E in octave 4} 16th,E4-interval class 5,0.25,376.0
Chord {B in octave 3 | F-sharp in octave 4} 16th,B3-interval class 5,0.25,378.75
Chord {E in octave 4 | F-sharp in octave 4 | C in octave 4 | B in octave 4} 16th,C4-minor-second quartal tetrachord,0.25,380.0
Chord {A in octave 4 | E in octave 4 | F in octave 3 | C in octave 4} 16th,F3-major seventh chord,0.25,384.75
Chord {F in octave 4 | D in octave 4} Eighth,D4-interval class 3,0.5,387.0
Chord {C in octave 4 | E in octave 3 | A in octave 3} 16th,A3-minor triad,0.25,388.0
Chord {C-sharp in octave 4 | A in octave 2 | B-flat in octave 3 | G in octave 3} 16th,A2-harmonic minor tetrachord,0.25,390.0
Chord {D in octave 5 | C in octave 4 | F in octave 4} Quarter tied to 16th (1 1/4 total QL),D5-incomplete minor-seventh chord,1.25,1178/3
Chord {F in octave 4 | G in octave 2 | D in octave 4 | B in octave 3} 16th,G2-dominant seventh chord,0.25,394.0
Chord {G in octave 4 | D in octave 4 | E in octave 3 | A in octave 3} 16th,E3-quartal tetramirror,0.25,396.75
Chord {D in octave 4 | A in octave 3 | G in octave 4 | E in octave 3} 16th,E3-quartal tetramirror,0.25,398.0
Chord {E in octave 3 | D in octave 4 | A in octave 3 | G in octave 4} 16th,E3-quartal tetramirror,0.25,400.0
Chord {E in octave 3 | D in octave 4 | G in octave 4} Half,E3-incomplete minor-seventh chord,2.0,401.75
Chord {F-sharp in octave 3 | B in octave 2} 16th,B2-interval class 5,0.25,20.75
Chord {B in octave 3 | G in octave 3} Double Dotted Half,G3-interval class 4,3.5,56.0
Chord {C in octave 4 | D in octave 3} Double Dotted Half,D3-interval class 2,3.5,68.0
Chord {A in octave 3 | F in octave 3} Half tied to 16th (2 1/4 total QL),F3-interval class 4,2.25,72.0
Chord {E in octave 4 | G in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),E4-interval class 3,10/3,80.0
Chord {E in octave 4 | C in octave 4} Double Dotted Half,C4-interval class 4,3.5,104.0
Chord {E in octave 3 | E in octave 2} 16th,E3-unison,0.25,120.75
Chord {B in octave 3 | D in octave 3} 16th,B3-interval class 3,0.25,124.75
Chord {G in octave 4 | A in octave 3} Eighth,A3-interval class 2,0.5,146.0
Chord {E in octave 3 | E in octave 2} 16th,E3-unison,0.25,156.75
Chord {A in octave 3 | D in octave 3} 16th,D3-interval class 5,0.25,164.75
Chord {F in octave 3 | A in octave 2} 16th,F3-interval class 4,0.25,166.75
Chord {C in octave 4 | G in octave 3} Eighth Triplet (1/3 QL),C4-interval class 5,1/3,184.0
Chord {G in octave 3 | B in octave 3} Eighth Triplet (1/3 QL),G3-interval class 4,1/3,187.0
Chord {E in octave 4 | G in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),E4-interval class 3,10/3,208.0
Chord {F-sharp in octave 3 | B in octave 2} 16th,B2-interval class 5,0.25,212.75
Chord {E in octave 3 | D in octave 3} Half tied to 16th (2 1/4 total QL),E3-interval class 2,2.25,216.0
Chord {F in octave 3 | D in octave 4} Quarter tied to 16th (1 1/4 total QL),D4-interval class 3,1.25,238.0
Chord {A in octave 3 | C in octave 4} Eighth Triplet (1/3 QL),A3-interval class 3,1/3,243.0
Chord {D in octave 4 | A in octave 3} Double Dotted Half,D4-interval class 5,3.5,272.0
Chord {G-sharp in octave 3 | B in octave 3} Eighth Triplet (1/3 QL),G#3-interval class 3,1/3,283.0
Chord {G-sharp in octave 3 | E in octave 2} Double Dotted Half,E2-interval class 4,3.5,304.0
Chord {G in octave 3 | C in octave 3} 16th,C3-interval class 5,0.25,332.75
Chord {E in octave 4 | G in octave 4} Eighth Triplet (1/3 QL),E4-interval class 3,1/3,339.0
Chord {F-sharp in octave 3 | B in octave 2} 16th,B2-interval class 5,0.25,340.75
Chord {E in octave 3 | E in octave 2} 16th,E3-unison,0.25,348.75
Chord {F in octave 3 | D in octave 4} Quarter tied to 16th (1 1/4 total QL),D4-interval class 3,1.25,366.0
Chord {F-sharp in octave 3 | A in octave 2} 16th,F#3-interval class 3,0.25,378.75
Chord {D in octave 4 | G-sharp in octave 4} Dotted Half,G#4-tritone,3.0,24.75
Chord {C in octave 4 | G in octave 4} Dotted Half,C4-interval class 5,3.0,60.75
Chord {D in octave 4 | A in octave 4} Dotted Half,D4-interval class 5,3.0,172.75
Chord {F in octave 4 | C in octave 5} Dotted Half,F4-interval class 5,3.0,196.75
Chord {C in octave 2 | D in octave 2 | C-sharp in octave 3} 16th,D2-chromatic trimirror,0.25,12.0
Chord {F-sharp in octave 2 | E-flat in octave 3} 16th,F#2-interval class 3,0.25,13.0
Chord {B in octave 1 | D in octave 2 | E-flat in octave 3} 16th,E-3-major-minor trichord,0.25,14.0
Chord {F-sharp in octave 2 | E-flat in octave 3} 16th,F#2-interval class 3,0.25,15.0
Chord {B in octave 1 | D in octave 2 | E-flat in octave 3} 16th,E-3-major-minor trichord,0.25,15.75
Chord {F-sharp in octave 2 | E-flat in octave 3} 16th,F#2-interval class 3,0.25,17.0
Chord {F-sharp in octave 2 | E-flat in octave 3} 16th,F#2-interval class 3,0.25,19.0
Chord {C in octave 2 | E-flat in octave 3} 16th,C2-interval class 3,0.25,20.0
Chord {F-sharp in octave 2 | E-flat in octave 3} 16th,F#2-interval class 3,0.25,21.0
Chord {F-sharp in octave 2 | E-flat in octave 3} 16th,F#2-interval class 3,0.25,23.0
Chord {D in octave 2 | F-sharp in octave 2 | E-flat in octave 3} 16th,D2-major-minor trichord,0.25,25.0
Chord {B in octave 1 | D in octave 2 | E-flat in octave 3} 16th,E-3-major-minor trichord,0.25,25.75
Chord {B in octave 1 | D in octave 2} 16th,B1-interval class 3,0.25,26.75
Chord {F-sharp in octave 2 | E-flat in octave 3} 16th,F#2-interval class 3,0.25,27.0
Chord {B in octave 1 | D in octave 2} 16th,B1-interval class 3,0.25,27.75
Chord {B in octave 1 | E-flat in octave 3} 16th,E-3-interval class 4,0.25,28.0
Chord {D in octave 2 | F-sharp in octave 2 | E-flat in octave 3} 16th,D2-major-minor trichord,0.25,29.0
Chord {D in octave 2 | E-flat in octave 3} 16th,E-3-interval class 1,0.25,29.75
Chord {B in octave 1 | E-flat in octave 3} 16th,E-3-interval class 4,0.25,30.0
Chord {F-sharp in octave 2 | E-flat in octave 3} 16th,F#2-interval class 3,0.25,31.0
Chord {B in octave 1 | D in octave 2 | E-flat in octave 3} 16th,E-3-major-minor trichord,0.25,31.75
Chord {F-sharp in octave 2 | E-flat in octave 3} 16th,F#2-interval class 3,0.25,33.0
Chord {F-sharp in octave 2 | E-flat in octave 3} 16th,F#2-interval class 3,0.25,35.0
