392.0
4/4
FullName,CommonName,Len,Offset
Chord {E in octave 4 | D in octave 4 | A in octave 3 | G in octave 4} 16th,E4-quartal tetramirror,0.25,0.0
Chord {E in octave 4 | G in octave 4} Eighth,E4-interval class 3,0.5,5.0
Chord {E in octave 4 | G in octave 4} 16th,E4-interval class 3,0.25,5.75
Chord {B in octave 3 | F-sharp in octave 4} 16th,B3-interval class 5,0.25,8.75
Chord {D in octave 4 | A in octave 3} Eighth Triplet (1/3 QL),D4-interval class 5,1/3,10.0
Chord {E in octave 4 | D in octave 4 | G in octave 3} Whole Tuplet of 12/11ths (3 2/3 QL),E4-incomplete minor-seventh chord,11/3,16.0
Chord {C-sharp in octave 4 | A in octave 2 | B in octave 3 | G in octave 3} 16th,A2-whole-tone tetramirror,0.25,20.0
Chord {A in octave 3 | E in octave 4} Eighth Triplet (1/3 QL),A3-interval class 5,1/3,21.75
Chord {D in octave 4 | A in octave 4} Eighth Triplet (1/3 QL),D4-interval class 5,1/3,23.75
Chord {C-sharp in octave 4 | A in octave 3 | G in octave 3 | F in octave 4} 16th,F4-augmented seventh chord,0.25,26.0
Chord {A in octave 4 | D in octave 4 | C in octave 4 | F in octave 3} 16th,D4-minor seventh chord,0.25,28.0
Chord {A in octave 4 | C in octave 4 | D in octave 4 | F in octave 3} Quarter,D4-minor seventh chord,1.0,29.0
Chord {B in octave 3 | F-sharp in octave 4} 16th,B3-interval class 5,0.25,32.0
Chord {D in octave 4 | F-sharp in octave 3 | A in octave 3} Eighth,D4-major triad,0.5,35.0
Chord {E in octave 2 | G-sharp in octave 3 | D in octave 3 | E in octave 3} Eighth,E2-incomplete dominant-seventh chord,0.5,35.75
Chord {G-sharp in octave 3 | F-sharp in octave 4 | E in octave 2 | D in octave 4} Eighth Triplet (1/3 QL),E2-whole-tone tetramirror,1/3,38.0
Chord {C in octave 4 | A in octave 2 | B in octave 3 | G in octave 3} 16th,A2-lydian tetrachord,0.25,40.0
Chord {D in octave 5 | C in octave 4 | F-sharp in octave 4} Quarter tied to 16th (1 1/4 total QL),D5-incomplete dominant-seventh chord,1.25,158/3
Chord {A in octave 4 | F in octave 4} Triple Dotted Half (3 3/4 QL),F4-interval class 4,3.75,55.75
Chord {F in octave 4 | B in octave 3} Half tied to Eighth (2 1/2 total QL),B3-tritone,2.5,59.75
Chord {B in octave 3 | F in octave 4 | G in octave 2 | A in octave 4} Eighth Triplet (1/3 QL),G2-whole-tone tetramirror,1/3,63.0
Chord {E in octave 4 | C in octave 4} Eighth,C4-interval class 4,0.5,65.0
Chord {G in octave 4 | B in octave 3} Eighth,G4-interval class 4,0.5,66.0
Chord {E in octave 4 | B in octave 3} Eighth Triplet (1/3 QL),E4-interval class 5,1/3,67.0
Chord {D in octave 4 | B in octave 3} Eighth,B3-interval class 3,0.5,73.0
Chord {F-sharp in octave 4 | A in octave 3} Eighth,F#4-interval class 3,0.5,74.0
Chord {D in octave 4 | A in octave 3} Eighth Triplet (1/3 QL),D4-interval class 5,1/3,75.0
Chord {D in octave 4 | G-sharp in octave 3 | D in octave 3} Double Dotted Quarter,G#3-tritone,1.75,75.75
Chord {E in octave 2 | G-sharp in octave 3 | F-sharp in octave 4} Quarter tied to 16th (1 1/4 total QL),E2-whole-tone trichord,1.25,78.0
Chord {B in octave 3 | E in octave 4} 16th,E4-interval class 5,0.25,80.0
Chord {D in octave 4 | E in octave 3 | G in octave 3} Eighth,E3-incomplete minor-seventh chord,0.5,83.0
Chord {C-sharp in octave 4 | B in octave 3} Eighth,C#4-interval class 2,0.5,85.0
Chord {C-sharp in octave 4 | A in octave 3} Eighth,A3-interval class 4,0.5,87.0
Chord {F in octave 4 | D in octave 4} Eighth,D4-interval class 3,0.5,89.0
Chord {D in octave 4 | C in octave 4} Eighth,D4-interval class 2,0.5,97.0
Chord {F in octave 4 | A in octave 3} Eighth,F4-interval class 4,0.5,98.0
Chord {D in octave 4 | A in octave 3} Eighth Triplet (1/3 QL),D4-interval class 5,1/3,99.0
Chord {F-sharp in octave 4 | C in octave 4 | A in octave 3 | E-flat in octave 3} 16th,F#4-diminished seventh chord,0.25,100.0
Chord {F-sharp in octave 4 | A in octave 3 | C in octave 4 | E-flat in octave 3} Quarter,F#4-diminished seventh chord,1.0,101.0
Chord {E in octave 4 | C in octave 3 | C in octave 4 | B in octave 3} 16th,C3-incomplete major-seventh chord,0.25,104.0
Chord {E in octave 4 | C in octave 4} Eighth,C4-interval class 4,0.5,107.0
Chord {B in octave 3 | E in octave 4} 16th,E4-interval class 5,0.25,108.75
Chord {C-sharp in octave 4 | B in octave 3 | G in octave 3 | E in octave 4} 16th,C#4-half-diminished seventh chord,0.25,110.0
Chord {E in octave 4 | A in octave 4} 16th,A4-interval class 5,0.25,112.75
Chord {F-sharp in octave 4 | C in octave 4} Eighth Triplet (1/3 QL),F#4-tritone,1/3,114.0
Chord {E in octave 5 | C in octave 4 | F in octave 4} Quarter tied to 16th (1 1/4 total QL),F4-incomplete major-seventh chord,1.25,350/3
Chord {F in octave 4 | G in octave 2 | D in octave 4 | B in octave 3} 16th,G2-dominant seventh chord,0.25,118.0
Chord {F in octave 4 | A in octave 3 | C-sharp in octave 3 | G in octave 3} 16th,F4-augmented seventh chord,0.25,122.75
Chord {D in octave 4 | F in octave 3 | B in octave 3} 16th,B3-diminished triad,0.25,126.0
Chord {E in octave 4 | C in octave 3 | D in octave 4 | A in octave 3} 16th,A3-perfect-fourth minor tetrachord,0.25,128.0
Chord {E in octave 3 | G in octave 4 | E in octave 4 | A in octave 3} 16th,A3-incomplete dominant-seventh chord,0.25,132.0
Chord {F-sharp in octave 4 | D in octave 4 | A in octave 3} Whole Tuplet of 12/11ths (3 2/3 QL),D4-major triad,11/3,136.0
Chord {F-sharp in octave 4 | D in octave 4 | G-sharp in octave 3} Whole Tuplet of 12/11ths (3 2/3 QL),G#3-incomplete half-diminished seventh chord,11/3,140.0
Chord {B in octave 3 | E in octave 4} 16th,E4-interval class 5,0.25,144.75
Chord {D in octave 4 | G in octave 3} Eighth Triplet (1/3 QL),G3-interval class 5,1/3,146.0
Chord {B in octave 4 | G in octave 3 | C-sharp in octave 4} Quarter tied to 16th (1 1/4 total QL),C#4-incomplete half-diminished seventh chord,1.25,446/3
Chord {B-flat in octave 3 | C-sharp in octave 3 | G in octave 3} 16th,C#3-diminished triad,0.25,150.0
Chord {D in octave 4 | A in octave 4} 16th,D4-interval class 5,0.25,152.75
Chord {B-flat in octave 3 | F in octave 4} 16th,B-3-interval class 5,0.25,154.75
Chord {F in octave 4 | E in octave 4 | C in octave 4 | A in octave 4} 16th,F4-major seventh chord,0.25,156.0
Chord {F-sharp in octave 4 | C-sharp in octave 4 | G-sharp in octave 3 | D in octave 3} 16th,D3-minor-second quartal tetrachord,0.25,164.0
Chord {F-sharp in octave 4 | G-sharp in octave 3 | C-sharp in octave 4 | D in octave 3} Quarter,D3-minor-second quartal tetrachord,1.0,165.0
Chord {E in octave 4 | B in octave 3 | C in octave 3 | G in octave 3} 16th,C3-major seventh chord,0.25,168.75
Chord {C in octave 5 | G-sharp in octave 3 | D in octave 4} Quarter,C5-incomplete half-diminished seventh chord,1.0,512/3
Chord {A in octave 4 | E in octave 4} Quarter Triplet (2/3 QL),A4-interval class 5,2/3,171.75
Chord {E in octave 4 | A in octave 3 | C in octave 3 | G in octave 3} 16th,A3-minor seventh chord,0.25,176.75
Chord {B in octave 3 | E in octave 4 | G in octave 3 | C in octave 3} 16th,C3-major seventh chord,0.25,178.0
Chord {E in octave 4 | B in octave 4} 16th,E4-interval class 5,0.25,180.0
Chord {B in octave 4 | E in octave 4 | F-sharp in octave 3 | C in octave 4} 16th,C4-minor-second quartal tetrachord,0.25,182.75
Chord {F in octave 4 | B in octave 3 | F in octave 3} Dotted Quarter,B3-tritone,1.5,188.0
Chord {G in octave 2 | B in octave 3 | A in octave 4} Quarter tied to 16th (1 1/4 total QL),G2-whole-tone trichord,1.25,190.0
Chord {E in octave 4 | C in octave 4} Eighth,C4-interval class 4,0.5,193.0
Chord {G in octave 4 | B in octave 3} Eighth,G4-interval class 4,0.5,194.0
Chord {E in octave 4 | B in octave 3} Eighth Triplet (1/3 QL),E4-interval class 5,1/3,195.0
Chord {B in octave 3 | F-sharp in octave 4} 16th,B3-interval class 5,0.25,200.75
Chord {D in octave 4 | A in octave 3} Eighth Triplet (1/3 QL),D4-interval class 5,1/3,202.0
Chord {D in octave 4 | G-sharp in octave 3} Half tied to Eighth (2 1/2 total QL),G#3-tritone,2.5,203.75
Chord {G-sharp in octave 3 | D in octave 4 | E in octave 2 | F-sharp in octave 4} Eighth Triplet (1/3 QL),E2-whole-tone tetramirror,1/3,207.0
Chord {B in octave 4 | G in octave 3 | D in octave 4} Dotted Half,G3-major triad,3.0,626/3
Chord {F-sharp in octave 4 | B in octave 3 | C-sharp in octave 3 | G in octave 3} 16th,G3-minor-second quartal tetrachord,0.25,212.75
Chord {B-flat in octave 3 | F in octave 4} 16th,B-3-interval class 5,0.25,214.0
Chord {E in octave 5 | C in octave 4 | F in octave 4} Quarter tied to 16th (1 1/4 total QL),F4-incomplete major-seventh chord,1.25,650/3
Chord {B-flat in octave 3 | C-sharp in octave 3 | G in octave 3} 16th,C#3-diminished triad,0.25,218.0
Chord {F in octave 4 | C in octave 4 | F in octave 3} Double Dotted Quarter,F4-interval class 5,1.75,219.75
Chord {D in octave 3 | C in octave 4 | A in octave 4} Quarter tied to 16th (1 1/4 total QL),D3-incomplete dominant-seventh chord,1.25,222.0
Chord {F in octave 4 | F in octave 2 | D in octave 4} Quarter tied to 16th (1 1/4 total QL),D4-interval class 3,1.25,226.0
Chord {C in octave 5 | F-sharp in octave 4 | E-flat in octave 4 | A in octave 3} Eighth Triplet (1/3 QL),F#4-diminished seventh chord,1/3,228.0
Chord {G in octave 4 | C in octave 4 | E in octave 3 | B in octave 3} 16th,C4-major seventh chord,0.25,232.75
Chord {C in octave 4 | G in octave 4} 16th,C4-interval class 5,0.25,234.0
Chord {B in octave 3 | E in octave 4} Eighth Triplet (1/3 QL),E4-interval class 5,1/3,235.75
Chord {C-sharp in octave 4 | A in octave 2 | B in octave 3 | G in octave 3} 16th,A2-whole-tone tetramirror,0.25,238.0
Chord {E in octave 4 | F-sharp in octave 3 | C in octave 4} 16th,F#3-incomplete half-diminished seventh chord,0.25,240.0
Chord {E in octave 5 | C in octave 4 | G-sharp in octave 4} Quarter Triplet (2/3 QL),C4-augmented triad,2/3,243.0
Chord {D in octave 4 | F in octave 3 | C in octave 4} Eighth,D4-incomplete minor-seventh chord,0.5,243.75
Chord {F in octave 4 | G in octave 2 | D in octave 4 | B in octave 3} 16th,G2-dominant seventh chord,0.25,246.0
Chord {E in octave 4 | C in octave 3 | C in octave 4 | A in octave 3} 16th,A3-minor triad,0.25,248.0
Chord {A in octave 3 | C-sharp in octave 3 | G in octave 3} 16th,A3-incomplete dominant-seventh chord,0.25,250.0
Chord {F in octave 4 | D in octave 4} Eighth,D4-interval class 3,0.5,253.0
Chord {D in octave 4 | G in octave 4} Eighth Triplet (1/3 QL),G4-interval class 5,1/3,255.75
Chord {E in octave 4 | G in octave 3 | A in octave 3} Eighth,A3-incomplete dominant-seventh chord,0.5,259.0
Chord {B in octave 3 | F-sharp in octave 4} 16th,B3-interval class 5,0.25,264.0
Chord {D in octave 4 | F-sharp in octave 3 | A in octave 3} Eighth,D4-major triad,0.5,267.0
Chord {C-sharp in octave 5 | F-sharp in octave 4 | D in octave 4 | G-sharp in octave 3} Eighth Triplet (1/3 QL),D4-minor-second quartal tetrachord,1/3,268.0
Chord {B in octave 3 | E in octave 4} 16th,E4-interval class 5,0.25,272.0
Chord {D in octave 4 | E in octave 3 | G in octave 3} Eighth,E3-incomplete minor-seventh chord,0.5,275.0
Chord {F-sharp in octave 4 | B in octave 3 | C-sharp in octave 3 | G in octave 3} 16th,G3-minor-second quartal tetrachord,0.25,276.75
Chord {C-sharp in octave 4 | A in octave 2 | B-flat in octave 3 | G in octave 3} 16th,A2-harmonic minor tetrachord,0.25,278.0
Chord {F in octave 4 | E in octave 4} Eighth,F4-interval class 1,0.5,281.0
