512.0
4/4
FullName,CommonName,Len,Offset
Chord {G-sharp in octave 5 | C in octave 6} 16th,C6-interval class 4,0.25,20.0
Chord {G-sharp in octave 4 | A in octave 4 | E-flat in octave 5 | C in octave 5 | C in octave 6} 16th,A4-major-diminished tetrachord,0.25,21.0
Chord {A in octave 4 | G-sharp in octave 4 | E-flat in octave 5 | C in octave 5 | G-sharp in octave 5 | C in octave 6} Eighth,A4-major-diminished tetrachord,0.5,22.0
Chord {G-sharp in octave 4 | A in octave 4 | C in octave 5 | E-flat in octave 5 | G-sharp in octave 5 | C in octave 6} Zero,A4-major-diminished tetrachord,0.0,22.75
Chord {G in octave 5 | C in octave 6} 16th,C6-interval class 5,0.25,24.0
Chord {G in octave 4 | B-flat in octave 4 | E-flat in octave 5 | C in octave 5 | C in octave 6} 16th,C5-minor seventh chord,0.25,25.0
Chord {F in octave 5 | C in octave 6} 16th,F5-interval class 5,0.25,26.0
Chord {F in octave 4 | G-sharp in octave 4 | D in octave 5 | C in octave 5 | C in octave 6} 16th,D5-half-diminished seventh chord,0.25,27.0
Chord {G in octave 3 | G in octave 4 | A in octave 2 | C in octave 4 | A in octave 3} 16th,A2-incomplete minor-seventh chord,0.25,28.0
Chord {G in octave 5 | A in octave 5 | E in octave 5 | E in octave 6 | C in octave 5} Zero,A5-minor seventh chord,0.0,30.0
Chord {G in octave 6 | B-flat in octave 3 | F in octave 3} Eighth,G6-incomplete minor-seventh chord,0.5,40.0
Chord {G in octave 6 | B-flat in octave 3 | F in octave 3} 16th,G6-incomplete minor-seventh chord,0.25,40.75
Chord {B-flat in octave 4 | C-sharp in octave 5 | B-flat in octave 5 | E-flat in octave 4} 16th,C#5-incomplete dominant-seventh chord,0.25,48.0
Chord {C in octave 5 | F-sharp in octave 5 | E-flat in octave 6} 16th,F#5-diminished triad,0.25,50.75
Chord {G-sharp in octave 5 | E-flat in octave 6} 16th,E-6-interval class 5,0.25,52.0
Chord {G-sharp in octave 4 | C in octave 5 | F in octave 5 | E-flat in octave 5 | E-flat in octave 6} 16th,C5-minor seventh chord,0.25,53.0
Chord {C in octave 5 | G-sharp in octave 4 | F in octave 5 | E-flat in octave 5 | G-sharp in octave 5 | E-flat in octave 6} Eighth,C5-minor seventh chord,0.5,54.0
Chord {G-sharp in octave 4 | C in octave 5 | E-flat in octave 5 | F in octave 5 | G-sharp in octave 5 | E-flat in octave 6} Zero,C5-minor seventh chord,0.0,54.75
Chord {A in octave 3 | E-flat in octave 4} Quadruple Dotted Whole (7 3/4 QL),A3-tritone,7.75,60.0
Chord {F in octave 2 | G-sharp in octave 4 | E-flat in octave 4} 16th,E-4-incomplete minor-seventh chord,0.25,68.0
Chord {C in octave 5 | E-flat in octave 5 | C in octave 6 | G in octave 4} 16th,C5-minor triad,0.25,72.0
Chord {E in octave 5 | A in octave 5} 16th,A5-interval class 5,0.25,76.0
Chord {E in octave 4 | G in octave 4 | C in octave 5 | A in octave 4 | A in octave 5} 16th,A4-minor seventh chord,0.25,77.0
Chord {G in octave 4 | E in octave 4 | C in octave 5 | A in octave 4 | E in octave 5 | A in octave 5} Eighth,A4-minor seventh chord,0.5,78.0
Chord {E in octave 4 | G in octave 4 | A in octave 4 | C in octave 5 | E in octave 5 | A in octave 5} Zero,A4-minor seventh chord,0.0,78.75
Chord {F in octave 6 | A in octave 3 | E-flat in octave 3} Eighth,F6-incomplete dominant-seventh chord,0.5,80.0
Chord {F in octave 6 | A in octave 3 | E-flat in octave 3} 16th,F6-incomplete dominant-seventh chord,0.25,80.75
Chord {F in octave 5 | B-flat in octave 5} 16th,B-5-interval class 5,0.25,82.0
Chord {F in octave 4 | G-sharp in octave 4 | D in octave 5 | B-flat in octave 4 | B-flat in octave 5} 16th,G#4-dominant seventh chord,0.25,83.0
Chord {F in octave 6 | G-sharp in octave 3 | E-flat in octave 3} Eighth,E-3-incomplete minor-seventh chord,0.5,92.0
Chord {F in octave 6 | G-sharp in octave 3 | E-flat in octave 3} 16th,E-3-incomplete minor-seventh chord,0.25,92.75
Chord {E-flat in octave 6 | F-sharp in octave 3 | C-sharp in octave 3} Eighth,F#3-incomplete minor-seventh chord,0.5,96.0
Chord {E-flat in octave 6 | F-sharp in octave 3 | C-sharp in octave 3} 16th,F#3-incomplete minor-seventh chord,0.25,96.75
Chord {B-flat in octave 6 | C in octave 4 | F-sharp in octave 3} Eighth,B-6-incomplete half-diminished seventh chord,0.5,98.0
Chord {B-flat in octave 6 | C in octave 4 | F-sharp in octave 3} 16th,B-6-incomplete half-diminished seventh chord,0.25,98.75
Chord {G-sharp in octave 5 | E-flat in octave 6} 16th,E-6-interval class 5,0.25,100.0
Chord {G-sharp in octave 4 | C in octave 5 | F in octave 5 | E-flat in octave 5 | E-flat in octave 6} 16th,C5-minor seventh chord,0.25,101.0
Chord {C in octave 5 | G-sharp in octave 4 | F in octave 5 | E-flat in octave 5 | G-sharp in octave 5 | E-flat in octave 6} Eighth,C5-minor seventh chord,0.5,102.0
Chord {G-sharp in octave 4 | C in octave 5 | E-flat in octave 5 | F in octave 5 | G-sharp in octave 5 | E-flat in octave 6} Zero,C5-minor seventh chord,0.0,102.75
Chord {C in octave 3 | F-sharp in octave 4 | E in octave 4} 16th,F#4-incomplete half-diminished seventh chord,0.25,104.0
Chord {F-sharp in octave 6 | A in octave 3 | D in octave 3} Eighth,D3-major triad,0.5,108.0
Chord {F-sharp in octave 6 | A in octave 3 | D in octave 3} 16th,D3-major triad,0.25,108.75
Chord {E in octave 2 | G-sharp in octave 3 | D in octave 4} Zero,E2-incomplete dominant-seventh chord,0.0,110.0
Chord {E in octave 3 | D in octave 4} 16th,E3-interval class 2,0.25,110.0
Chord {A in octave 2 | G in octave 3 | C in octave 4} Zero,A2-incomplete minor-seventh chord,0.0,112.0
Chord {E in octave 3 | C in octave 4} 16th,C4-interval class 4,0.25,112.0
Chord {C in octave 5 | F-sharp in octave 5 | D in octave 6} 16th,D6-incomplete dominant-seventh chord,0.25,114.75
Chord {F-sharp in octave 5 | C-sharp in octave 6} 16th,F#5-interval class 5,0.25,116.0
Chord {F-sharp in octave 4 | B-flat in octave 4 | E in octave 5 | C-sharp in octave 5 | C-sharp in octave 6} 16th,C#5-dominant seventh chord,0.25,117.0
Chord {B-flat in octave 4 | F-sharp in octave 4 | E in octave 5 | C-sharp in octave 5 | F-sharp in octave 5 | C-sharp in octave 6} Eighth,C#5-dominant seventh chord,0.5,118.0
Chord {F-sharp in octave 4 | B-flat in octave 4 | C-sharp in octave 5 | E in octave 5 | F-sharp in octave 5 | C-sharp in octave 6} Zero,C#5-dominant seventh chord,0.0,118.75
Chord {G-sharp in octave 5 | E-flat in octave 6} 16th,E-6-interval class 5,0.25,120.0
Chord {G-sharp in octave 4 | B-flat in octave 4 | E in octave 5 | E-flat in octave 5 | E-flat in octave 6} 16th,E5-minor-second quartal tetrachord,0.25,121.0
Chord {B-flat in octave 4 | G-sharp in octave 4 | E in octave 5 | E-flat in octave 5 | G-sharp in octave 5 | E-flat in octave 6} Eighth,E5-minor-second quartal tetrachord,0.5,122.0
Chord {G-sharp in octave 4 | B-flat in octave 4 | E-flat in octave 5 | E in octave 5 | G-sharp in octave 5 | E-flat in octave 6} Zero,E-5-minor-second quartal tetrachord,0.0,122.75
Chord {F in octave 2 | G-sharp in octave 4 | E-flat in octave 4} 16th,E-4-incomplete minor-seventh chord,0.25,124.0
Chord {C in octave 5 | C in octave 6 | G-sharp in octave 5 | A in octave 3 | E-flat in octave 3} Zero,A3-major-diminished tetrachord,0.0,128.75
Chord {C in octave 6 | C in octave 5 | G-sharp in octave 5 | A in octave 3 | E-flat in octave 3} 16th,A3-major-diminished tetrachord,0.25,130.0
Chord {A in octave 3 | E-flat in octave 4} Quadruple Dotted Whole (7 3/4 QL),A3-tritone,7.75,132.0
Chord {G-sharp in octave 4 | A in octave 4 | E-flat in octave 5 | C in octave 6} 16th,A4-major-diminished tetrachord,0.25,142.0
Chord {E-flat in octave 3 | E-flat in octave 4 | F in octave 2 | A in octave 3 | F in octave 3} 16th,F2-incomplete dominant-seventh chord,0.25,148.0
Chord {E-flat in octave 5 | G-sharp in octave 5 | C in octave 5 | C in octave 6 | A in octave 4} Zero,A4-major-diminished tetrachord,0.0,150.0
Chord {C in octave 4 | E-flat in octave 4 | G-sharp in octave 4 | A in octave 3 | C in octave 5} Zero,A3-major-diminished tetrachord,0.0,152.0
Chord {C in octave 5 | G-sharp in octave 5 | C in octave 6 | E-flat in octave 5 | A in octave 4} Zero,A4-major-diminished tetrachord,0.0,153.75
Chord {C in octave 6 | E-flat in octave 4 | C in octave 7} Half,C6-interval class 3,2.0,473/3
Chord {F in octave 2 | G-sharp in octave 4 | E-flat in octave 4} 16th,E-4-incomplete minor-seventh chord,0.25,172.0
Chord {C in octave 5 | C in octave 6 | G-sharp in octave 5 | A in octave 3 | E-flat in octave 3} Zero,A3-major-diminished tetrachord,0.0,176.75
Chord {C in octave 6 | C in octave 5 | G-sharp in octave 5 | A in octave 3 | E-flat in octave 3} 16th,A3-major-diminished tetrachord,0.25,178.0
Chord {G-sharp in octave 4 | A in octave 4 | E-flat in octave 5 | C in octave 6} 16th,A4-major-diminished tetrachord,0.25,182.0
Chord {C in octave 6 | E-flat in octave 4 | C in octave 7} Half,C6-interval class 3,2.0,569/3
Chord {C in octave 6 | E-flat in octave 4 | C in octave 7} Half,C6-interval class 3,2.0,593/3
Chord {F in octave 6 | G-sharp in octave 3 | D in octave 3} Eighth,G#3-diminished triad,0.5,210.0
Chord {F in octave 6 | G-sharp in octave 3 | D in octave 3} 16th,G#3-diminished triad,0.25,210.75
Chord {C in octave 5 | E in octave 5} Eighth Triplet (1/3 QL),C5-interval class 4,1/3,212.75
Chord {C in octave 5 | E in octave 5} Eighth Triplet (1/3 QL),C5-interval class 4,1/3,213.75
Chord {C in octave 5 | E in octave 5} Eighth Triplet (1/3 QL),C5-interval class 4,1/3,214.75
Chord {C in octave 5 | E in octave 5} 16th,C5-interval class 4,0.25,647/3
Chord {E-flat in octave 5 | F in octave 5} Eighth,F5-interval class 2,0.5,216.0
Chord {E-flat in octave 5 | F in octave 2 | F in octave 5} Zero,F2-interval class 2,0.0,216.75
Chord {D in octave 5 | F in octave 5} Eighth,D5-interval class 3,0.5,218.0
Chord {D in octave 5 | B-flat in octave 2 | F in octave 5} Zero,B-2-major triad,0.0,218.75
Chord {G in octave 5 | D in octave 6} 16th,G5-interval class 5,0.25,224.0
Chord {G in octave 4 | B-flat in octave 4 | F in octave 5 | D in octave 5 | D in octave 6} 16th,G4-minor seventh chord,0.25,225.0
Chord {G in octave 6 | B-flat in octave 3 | E in octave 3} Eighth,E3-diminished triad,0.5,226.0
Chord {G in octave 6 | B-flat in octave 3 | E in octave 3} 16th,E3-diminished triad,0.25,226.75
Chord {E-flat in octave 5 | B-flat in octave 5} 16th,E-5-interval class 5,0.25,232.0
Chord {E-flat in octave 4 | F-sharp in octave 4 | C-sharp in octave 5 | B-flat in octave 4 | B-flat in octave 5} 16th,C#5-minor seventh chord,0.25,233.0
Chord {B-flat in octave 5 | E-flat in octave 6} 16th,E-6-interval class 5,0.25,234.0
Chord {B-flat in octave 4 | C in octave 5 | F-sharp in octave 5 | E-flat in octave 5 | E-flat in octave 6} 16th,C5-half-diminished seventh chord,0.25,235.0
Chord {F in octave 4 | C-sharp in octave 5} Eighth,F4-interval class 4,0.5,236.0
Chord {F-sharp in octave 4 | C-sharp in octave 5} Quarter Triplet (2/3 QL),F#4-interval class 5,2/3,237.0
Chord {C-sharp in octave 5 | G in octave 4} Eighth,C#5-tritone,0.5,238.0
Chord {G-sharp in octave 4 | C-sharp in octave 5} 16th,C#5-interval class 5,0.25,238.75
Chord {E in octave 3 | E in octave 4 | C in octave 2 | B-flat in octave 3 | F-sharp in octave 3} 16th,C2-Messiaen's truncated mode 6,0.25,240.0
Chord {E in octave 5 | F-sharp in octave 5 | C-sharp in octave 5 | C-sharp in octave 6 | B-flat in octave 4} Zero,C#5-dominant seventh chord,0.0,242.0
Chord {E-flat in octave 3 | E-flat in octave 4 | F in octave 2 | A in octave 3 | F in octave 3} 16th,F2-incomplete dominant-seventh chord,0.25,252.0
Chord {E-flat in octave 5 | G-sharp in octave 5 | C in octave 5 | C in octave 6 | A in octave 4} Zero,A4-major-diminished tetrachord,0.0,254.0
Chord {E-flat in octave 5 | G in octave 5} Eighth,E-5-interval class 4,0.5,256.0
Chord {E-flat in octave 5 | C in octave 3 | G in octave 5} Zero,C3-minor triad,0.0,256.75
Chord {D in octave 5 | F in octave 5} Eighth,D5-interval class 3,0.5,258.0
Chord {D in octave 5 | B-flat in octave 2 | F in octave 5} Zero,B-2-major triad,0.0,258.75
Chord {E in octave 5 | A in octave 5} 16th,A5-interval class 5,0.25,260.0
Chord {E in octave 4 | G in octave 4 | C in octave 5 | A in octave 4 | A in octave 5} 16th,A4-minor seventh chord,0.25,261.0
Chord {G in octave 4 | E in octave 4 | C in octave 5 | A in octave 4 | E in octave 5 | A in octave 5} Eighth,A4-minor seventh chord,0.5,262.0
Chord {E in octave 4 | G in octave 4 | A in octave 4 | C in octave 5 | E in octave 5 | A in octave 5} Zero,A4-minor seventh chord,0.0,262.75
Chord {E-flat in octave 5 | F in octave 5} Eighth,F5-interval class 2,0.5,264.0
Chord {E-flat in octave 5 | F in octave 2 | F in octave 5} Zero,F2-interval class 2,0.0,264.75
Chord {F in octave 5 | B-flat in octave 5} 16th,B-5-interval class 5,0.25,266.0
Chord {F in octave 4 | G-sharp in octave 4 | D in octave 5 | B-flat in octave 4 | B-flat in octave 5} 16th,G#4-dominant seventh chord,0.25,267.0
Chord {G in octave 3 | G in octave 4 | A in octave 2 | C in octave 4 | A in octave 3} 16th,A2-incomplete minor-seventh chord,0.25,268.0
Chord {G in octave 5 | A in octave 5 | E in octave 5 | E in octave 6 | C in octave 5} Zero,A5-minor seventh chord,0.0,270.0
Chord {B-flat in octave 4 | D in octave 5} Eighth,B-4-interval class 4,0.5,272.0
Chord {B-flat in octave 4 | D in octave 2 | D in octave 5} Zero,B-4-interval class 4,0.0,272.75
Chord {E-flat in octave 3 | E-flat in octave 4 | F in octave 2 | G-sharp in octave 3 | F in octave 3} 16th,E-3-incomplete minor-seventh chord,0.25,276.0
Chord {E-flat in octave 5 | F in octave 5 | C in octave 5 | C in octave 6 | G-sharp in octave 4} Zero,C5-minor seventh chord,0.0,278.0
Chord {B-flat in octave 5 | E-flat in octave 6} 16th,E-6-interval class 5,0.25,282.0
Chord {B-flat in octave 4 | C in octave 5 | F-sharp in octave 5 | E-flat in octave 5 | E-flat in octave 6} 16th,C5-half-diminished seventh chord,0.25,283.0
Chord {G-sharp in octave 5 | E-flat in octave 6} 16th,E-6-interval class 5,0.25,284.0
Chord {G-sharp in octave 4 | C in octave 5 | F in octave 5 | E-flat in octave 5 | E-flat in octave 6} 16th,C5-minor seventh chord,0.25,285.0
Chord {C in octave 5 | G-sharp in octave 4 | F in octave 5 | E-flat in octave 5 | G-sharp in octave 5 | E-flat in octave 6} Eighth,C5-minor seventh chord,0.5,286.0
Chord {G-sharp in octave 4 | C in octave 5 | E-flat in octave 5 | F in octave 5 | G-sharp in octave 5 | E-flat in octave 6} Zero,C5-minor seventh chord,0.0,286.75
Chord {D in octave 5 | F-sharp in octave 5} Eighth,D5-interval class 4,0.5,292.0
Chord {D in octave 5 | F-sharp in octave 2 | F-sharp in octave 5} Zero,D5-interval class 4,0.0,292.75
Chord {A in octave 4 | C in octave 5 | A in octave 5 | E in octave 4} 16th,A4-minor triad,0.25,296.0
Chord {D in octave 2 | C in octave 4 | F-sharp in octave 4} Zero,D2-incomplete dominant-seventh chord,0.0,298.0
Chord {A in octave 3 | F-sharp in octave 4} 16th,F#4-interval class 3,0.25,298.0
Chord {C in octave 2 | B-flat in octave 3 | E in octave 4} Zero,C2-incomplete dominant-seventh chord,0.0,300.0
Chord {F-sharp in octave 3 | E in octave 4} 16th,F#3-interval class 2,0.25,300.0
Chord {G-sharp in octave 5 | E-flat in octave 6} 16th,E-6-interval class 5,0.25,304.0
Chord {G-sharp in octave 4 | B-flat in octave 4 | E in octave 5 | E-flat in octave 5 | E-flat in octave 6} 16th,E5-minor-second quartal tetrachord,0.25,305.0
Chord {B-flat in octave 4 | G-sharp in octave 4 | E in octave 5 | E-flat in octave 5 | G-sharp in octave 5 | E-flat in octave 6} Eighth,E5-minor-second quartal tetrachord,0.5,306.0
Chord {G-sharp in octave 4 | B-flat in octave 4 | E-flat in octave 5 | E in octave 5 | G-sharp in octave 5 | E-flat in octave 6} Zero,E-5-minor-second quartal tetrachord,0.0,306.75
Chord {C in octave 6 | E-flat in octave 4 | C in octave 7} Half,C6-interval class 3,2.0,929/3
Chord {E-flat in octave 3 | E-flat in octave 4 | F in octave 2 | A in octave 3 | F in octave 3} 16th,F2-incomplete dominant-seventh chord,0.25,316.0
