321.3333333333333
4/4
FullName,CommonName,Len,Offset
Chord {D in octave 2 | B in octave 3} Zero,B3-interval class 3,0.0,11.25
Chord {D in octave 2 | B in octave 3} Zero,B3-interval class 3,0.0,35/3
Chord {B in octave 3 | D in octave 2} 16th,B3-interval class 3,0.25,58/3
Chord {B in octave 3 | D in octave 2} Zero,B3-interval class 3,0.0,59/3
Chord {E in octave 2 | E-flat in octave 3} Eighth Triplet (1/3 QL),E2-interval class 1,1/3,23.0
Chord {E in octave 2 | D in octave 2 | B in octave 3} Zero,E2-incomplete dominant-seventh chord,0.0,27.5
Chord {D in octave 2 | E-flat in octave 3} Quarter Triplet (2/3 QL),E-3-interval class 1,2/3,30.0
Chord {E in octave 2 | E-flat in octave 3} Eighth,E2-interval class 1,0.5,31.0
Chord {D in octave 2 | B in octave 3} Zero,B3-interval class 3,0.0,35.25
Chord {D in octave 2 | B in octave 3} Zero,B3-interval class 3,0.0,107/3
Chord {B in octave 3 | D in octave 2} Zero,B3-interval class 3,0.0,43.5
Chord {B in octave 3 | D in octave 2} Zero,B3-interval class 3,0.0,47.5
Chord {E in octave 2 | D in octave 2} Zero,E2-interval class 2,0.0,51.5
Chord {B in octave 3 | E in octave 2 | D in octave 2} Zero,E2-incomplete dominant-seventh chord,0.0,179/3
Chord {D in octave 2 | B in octave 3} Zero,B3-interval class 3,0.0,185/3
Chord {D in octave 2 | B in octave 3} Zero,B3-interval class 3,0.0,191/3
Chord {E in octave 2 | B in octave 3} Zero,E2-interval class 5,0.0,203/3
Chord {B in octave 3 | D in octave 2} Zero,B3-interval class 3,0.0,209/3
Chord {E in octave 2 | F-sharp in octave 2} Eighth,F#2-interval class 2,0.5,74.0
Chord {E in octave 2 | D in octave 2 | B in octave 3} Zero,E2-incomplete dominant-seventh chord,0.0,239/3
Chord {E in octave 2 | F-sharp in octave 2} Quarter Triplet (2/3 QL),F#2-interval class 2,2/3,81.0
Chord {E in octave 2 | F-sharp in octave 2} Eighth,F#2-interval class 2,0.5,82.0
Chord {E in octave 2 | B in octave 3} Quarter Triplet (2/3 QL),E2-interval class 5,2/3,84.0
Chord {E in octave 2 | F-sharp in octave 2} Quarter Triplet (2/3 QL),F#2-interval class 2,2/3,85.0
Chord {E in octave 2 | F-sharp in octave 2} Eighth,F#2-interval class 2,0.5,87.0
Chord {D in octave 2 | B in octave 3} Zero,B3-interval class 3,0.0,263/3
Chord {E in octave 2 | F-sharp in octave 2} Eighth,F#2-interval class 2,0.5,89.0
Chord {E in octave 2 | F-sharp in octave 2} Eighth,F#2-interval class 2,0.5,90.0
Chord {E in octave 2 | F-sharp in octave 2} Eighth,F#2-interval class 2,0.5,91.0
Chord {D in octave 2 | B in octave 3} Zero,B3-interval class 3,0.0,275/3
Chord {E in octave 2 | B in octave 3} Quarter Triplet (2/3 QL),E2-interval class 5,2/3,92.0
Chord {B in octave 3 | E in octave 2} Quarter Triplet (2/3 QL),E2-interval class 5,2/3,93.0
Chord {E in octave 2 | F-sharp in octave 2 | B in octave 3} Eighth,E2-quartal trichord,0.5,95.0
Chord {D in octave 2 | B in octave 3} Zero,B3-interval class 3,0.0,293/3
Chord {E in octave 2 | B in octave 3} Quarter Triplet (2/3 QL),E2-interval class 5,2/3,99.0
Chord {E in octave 2 | B in octave 3} Quarter Triplet (2/3 QL),E2-interval class 5,2/3,101.0
Chord {E in octave 2 | F-sharp in octave 2} Eighth,F#2-interval class 2,0.5,109.0
Chord {E in octave 2 | B in octave 3 | F-sharp in octave 2} Eighth,E2-quartal trichord,0.5,111.0
Chord {E in octave 2 | B in octave 3 | F-sharp in octave 2} Quarter Triplet (2/3 QL),E2-quartal trichord,2/3,112.0
Chord {E in octave 2 | B in octave 3 | F-sharp in octave 2} Quarter Triplet (2/3 QL),E2-quartal trichord,2/3,114.0
Chord {F-sharp in octave 2 | E in octave 2} Eighth,F#2-interval class 2,0.5,115.0
Chord {F-sharp in octave 2 | E in octave 2} Eighth,F#2-interval class 2,0.5,116.0
Chord {E in octave 2 | B in octave 3 | F-sharp in octave 2} Quarter Triplet (2/3 QL),E2-quartal trichord,2/3,118.0
Chord {E in octave 2 | F-sharp in octave 2} Eighth,F#2-interval class 2,0.5,119.0
Chord {B in octave 3 | E-flat in octave 2} 16th,E-2-interval class 4,0.25,359/3
Chord {E in octave 2 | F-sharp in octave 2} Eighth,F#2-interval class 2,0.5,129.0
Chord {B in octave 3 | D in octave 2} Zero,B3-interval class 3,0.0,389/3
Chord {E in octave 2 | F-sharp in octave 2} Eighth,F#2-interval class 2,0.5,131.0
Chord {D in octave 2 | B in octave 3} Zero,B3-interval class 3,0.0,395/3
Chord {D in octave 2 | B in octave 3} Zero,B3-interval class 3,0.0,401/3
Chord {E in octave 2 | B in octave 3} Eighth,E2-interval class 5,0.5,135.0
Chord {E in octave 2 | F-sharp in octave 2} Eighth,F#2-interval class 2,0.5,139.0
Chord {E in octave 2 | B in octave 3} Quarter,E2-interval class 5,1.0,140.0
Chord {B in octave 3 | E in octave 2} Zero,E2-interval class 5,0.0,425/3
Chord {B in octave 3 | D in octave 2} Zero,B3-interval class 3,0.0,443/3
Chord {F-sharp in octave 2 | E-flat in octave 2} Eighth Triplet (1/3 QL),F#2-interval class 3,1/3,152.0
Chord {D in octave 2 | B in octave 3} Zero,B3-interval class 3,0.0,461/3
Chord {E in octave 2 | F-sharp in octave 2} Eighth,F#2-interval class 2,0.5,154.0
Chord {B in octave 3 | D in octave 2} Zero,B3-interval class 3,0.0,473/3
Chord {E in octave 2 | D in octave 2 | B in octave 3} Zero,E2-incomplete dominant-seventh chord,0.0,479/3
Chord {E in octave 2 | F-sharp in octave 2} Quarter Triplet (2/3 QL),F#2-interval class 2,2/3,161.0
Chord {D in octave 2 | B in octave 3} Zero,B3-interval class 3,0.0,485/3
Chord {E in octave 2 | F-sharp in octave 2} Eighth,F#2-interval class 2,0.5,162.0
Chord {E in octave 2 | B in octave 3} Quarter Triplet (2/3 QL),E2-interval class 5,2/3,164.0
Chord {E in octave 2 | F-sharp in octave 2} Quarter Triplet (2/3 QL),F#2-interval class 2,2/3,165.0
Chord {E in octave 2 | F-sharp in octave 2} Eighth,F#2-interval class 2,0.5,167.0
Chord {D in octave 2 | B in octave 3} Zero,B3-interval class 3,0.0,503/3
Chord {E in octave 2 | F-sharp in octave 2} Eighth,F#2-interval class 2,0.5,169.0
Chord {E in octave 2 | F-sharp in octave 2} Eighth,F#2-interval class 2,0.5,170.0
Chord {E in octave 2 | F-sharp in octave 2} Eighth,F#2-interval class 2,0.5,171.0
Chord {D in octave 2 | B in octave 3} Zero,B3-interval class 3,0.0,515/3
Chord {E in octave 2 | B in octave 3} Quarter Triplet (2/3 QL),E2-interval class 5,2/3,172.0
Chord {B in octave 3 | E in octave 2} Quarter Triplet (2/3 QL),E2-interval class 5,2/3,173.0
Chord {E in octave 2 | F-sharp in octave 2 | B in octave 3} Eighth,E2-quartal trichord,0.5,175.0
Chord {D in octave 2 | B in octave 3} Zero,B3-interval class 3,0.0,533/3
Chord {E in octave 2 | B in octave 3} Quarter Triplet (2/3 QL),E2-interval class 5,2/3,179.0
Chord {D in octave 2 | B in octave 3} Zero,B3-interval class 3,0.0,542/3
Chord {E in octave 2 | B in octave 3} Quarter Triplet (2/3 QL),E2-interval class 5,2/3,181.0
Chord {B in octave 3 | E-flat in octave 2} Zero,E-2-interval class 4,0.0,548/3
Chord {B in octave 3 | D in octave 2} Zero,B3-interval class 3,0.0,551/3
Chord {B in octave 3 | D in octave 2} Zero,B3-interval class 3,0.0,556/3
Chord {E in octave 2 | F-sharp in octave 2} Eighth,F#2-interval class 2,0.5,189.0
Chord {E in octave 2 | B in octave 3 | F-sharp in octave 2} Eighth,E2-quartal trichord,0.5,191.0
Chord {E in octave 2 | B in octave 3 | F-sharp in octave 2} Quarter Triplet (2/3 QL),E2-quartal trichord,2/3,192.0
Chord {E in octave 2 | B in octave 3 | F-sharp in octave 2} Quarter Triplet (2/3 QL),E2-quartal trichord,2/3,194.0
Chord {F-sharp in octave 2 | E in octave 2} Eighth,F#2-interval class 2,0.5,195.0
Chord {E in octave 2 | B in octave 3 | F-sharp in octave 2} Quarter Triplet (2/3 QL),E2-quartal trichord,2/3,198.0
Chord {E in octave 2 | F-sharp in octave 2} Eighth,F#2-interval class 2,0.5,199.0
Chord {B in octave 3 | E-flat in octave 2} 16th,E-2-interval class 4,0.25,599/3
Chord {D in octave 2 | B in octave 3} Zero,B3-interval class 3,0.0,611/3
Chord {E in octave 2 | F-sharp in octave 2} Eighth,F#2-interval class 2,0.5,209.0
Chord {B in octave 3 | D in octave 2} Zero,B3-interval class 3,0.0,629/3
Chord {E in octave 2 | F-sharp in octave 2} Eighth,F#2-interval class 2,0.5,211.0
Chord {D in octave 2 | B in octave 3} Zero,B3-interval class 3,0.0,635/3
Chord {D in octave 2 | B in octave 3} Zero,B3-interval class 3,0.0,641/3
Chord {E in octave 2 | B in octave 3} Eighth,E2-interval class 5,0.5,215.0
Chord {E in octave 2 | F-sharp in octave 2} Eighth,F#2-interval class 2,0.5,219.0
Chord {E in octave 2 | B in octave 3} Quarter,E2-interval class 5,1.0,220.0
Chord {B in octave 3 | D in octave 2} Zero,B3-interval class 3,0.0,683/3
Chord {E in octave 2 | D in octave 2} Zero,E2-interval class 2,0.0,228.0
Chord {D in octave 2 | B in octave 3} Zero,B3-interval class 3,0.0,686/3
Chord {E in octave 2 | B in octave 3} Zero,E2-interval class 5,0.0,230.0
Chord {E in octave 2 | F-sharp in octave 2 | B in octave 3} Zero,E2-quartal trichord,0.0,231.0
Chord {B in octave 3 | D in octave 2} Zero,B3-interval class 3,0.0,700/3
Chord {E in octave 2 | F-sharp in octave 2} Eighth,F#2-interval class 2,0.5,237.0
Chord {E in octave 2 | B in octave 3 | F-sharp in octave 2} Eighth,E2-quartal trichord,0.5,239.0
Chord {E in octave 2 | B in octave 3 | F-sharp in octave 2} Quarter Triplet (2/3 QL),E2-quartal trichord,2/3,240.0
Chord {E in octave 2 | B in octave 3 | F-sharp in octave 2} Quarter Triplet (2/3 QL),E2-quartal trichord,2/3,242.0
Chord {F-sharp in octave 2 | E in octave 2} Eighth,F#2-interval class 2,0.5,243.0
Chord {F-sharp in octave 2 | E in octave 2} Eighth,F#2-interval class 2,0.5,244.0
Chord {E in octave 2 | B in octave 3 | F-sharp in octave 2} Quarter Triplet (2/3 QL),E2-quartal trichord,2/3,246.0
Chord {E in octave 2 | F-sharp in octave 2} Eighth,F#2-interval class 2,0.5,247.0
Chord {B in octave 3 | E-flat in octave 2} 16th,E-2-interval class 4,0.25,743/3
