396.0
4/4
FullName,CommonName,Len,Offset
Chord {B-flat in octave 3 | C in octave 5 | E-flat in octave 4 | G in octave 4} Eighth,C5-minor seventh chord,0.5,4.0
Chord {B-flat in octave 3 | C in octave 5 | E-flat in octave 4 | G in octave 4} Breve Triplet (5 1/3 QL),C5-minor seventh chord,16/3,5.5
Chord {E in octave 4 | F-sharp in octave 4 | A in octave 3 | C-sharp in octave 5} Eighth,F#4-minor seventh chord,0.5,16.5
Chord {E-flat in octave 4 | F in octave 4 | G-sharp in octave 3 | C in octave 5} Half tied to 16th (2 1/4 total QL),C5-minor seventh chord,2.25,17.0
Chord {C in octave 4 | D in octave 4 | F in octave 3 | G-sharp in octave 3} Whole Tuplet of 6/5ths (3 1/3 QL),D4-half-diminished seventh chord,10/3,20.0
Chord {F in octave 3 | G-sharp in octave 4 | B in octave 3 | E-flat in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),E-4-half-diminished seventh chord,10/3,24.0
Chord {B-flat in octave 3 | D in octave 4 | F in octave 3 | G in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),G4-minor seventh chord,10/3,28.0
Chord {B-flat in octave 3 | D in octave 4 | E-flat in octave 3 | G in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),E-3-major seventh chord,10/3,32.0
Chord {C-sharp in octave 4 | F in octave 4 | F-sharp in octave 3 | B-flat in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),B-4-major seventh chord,10/3,36.0
Chord {F-sharp in octave 3 | B-flat in octave 4 | C in octave 4 | E-flat in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),C4-half-diminished seventh chord,10/3,40.0
Chord {C in octave 4 | D in octave 4 | F in octave 3 | G-sharp in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),D4-half-diminished seventh chord,10/3,52.0
Chord {B in octave 3 | D in octave 5 | G in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),G4-dominant seventh chord,1/3,58.5
Chord {G in octave 3 | C in octave 5 | G in octave 4 | E-flat in octave 4} Eighth Triplet (1/3 QL),C5-minor triad,1/3,62.5
