400.0
4/4
FullName,CommonName,Len,Offset
Chord {F in octave 5 | C-sharp in octave 5 | B-flat in octave 2} Eighth,B-2-minor triad,0.5,12.0
Chord {C-sharp in octave 5 | F in octave 5 | B-flat in octave 2} Zero,B-2-minor triad,0.0,12.75
Chord {E-flat in octave 6 | E-flat in octave 5 | F-sharp in octave 5 | B-flat in octave 4} 16th,E-6-minor triad,0.25,14.0
Chord {F-sharp in octave 5 | C-sharp in octave 6} 16th,F#5-interval class 5,0.25,18.0
Chord {F-sharp in octave 4 | B-flat in octave 4 | E in octave 5 | C-sharp in octave 5 | C-sharp in octave 6} 16th,C#5-dominant seventh chord,0.25,19.0
Chord {F in octave 6 | G-sharp in octave 3 | E-flat in octave 3} Eighth,E-3-incomplete minor-seventh chord,0.5,20.0
Chord {F in octave 6 | G-sharp in octave 3 | E-flat in octave 3} 16th,E-3-incomplete minor-seventh chord,0.25,20.75
Chord {E in octave 6 | G in octave 3 | C-sharp in octave 3} Eighth,C#3-diminished triad,0.5,22.0
Chord {E in octave 6 | G in octave 3 | C-sharp in octave 3} 16th,C#3-diminished triad,0.25,22.75
Chord {F-sharp in octave 4 | C-sharp in octave 5 | B-flat in octave 5} 16th,B-5-major triad,0.25,24.75
Chord {B-flat in octave 5 | B-flat in octave 4 | C-sharp in octave 5 | E-flat in octave 4} 16th,C#5-incomplete dominant-seventh chord,0.25,26.0
Chord {C in octave 6 | C in octave 5 | E-flat in octave 5 | F-sharp in octave 4} 16th,F#4-diminished triad,0.25,28.0
Chord {F in octave 2 | A in octave 3 | E-flat in octave 4} Zero,F2-incomplete dominant-seventh chord,0.0,30.0
Chord {F in octave 3 | E-flat in octave 4} 16th,F3-interval class 2,0.25,30.0
Chord {C-sharp in octave 3 | C-sharp in octave 4 | B-flat in octave 1 | G-sharp in octave 3 | F in octave 3} 16th,G#3-minor seventh chord,0.25,32.0
Chord {G in octave 3 | G in octave 4 | E-flat in octave 2 | C-sharp in octave 4 | B-flat in octave 3} 16th,C#4-dominant seventh chord,0.25,33.0
Chord {F-sharp in octave 3 | F-sharp in octave 4 | E-flat in octave 2 | C-sharp in octave 4 | B-flat in octave 3} 16th,C#4-minor seventh chord,0.25,34.0
Chord {F-sharp in octave 3 | F-sharp in octave 4 | G-sharp in octave 2 | C in octave 4 | G-sharp in octave 3} 16th,F#3-incomplete dominant-seventh chord,0.25,35.0
Chord {B-flat in octave 1 | G-sharp in octave 3 | D in octave 4} Zero,G#3-incomplete dominant-seventh chord,0.0,38.0
Chord {F in octave 3 | D in octave 4} 16th,D4-interval class 3,0.25,38.0
Chord {F-sharp in octave 4 | C-sharp in octave 5 | B-flat in octave 5} 16th,B-5-major triad,0.25,40.75
Chord {E-flat in octave 2 | F-sharp in octave 3 | C-sharp in octave 4} Zero,F#3-incomplete minor-seventh chord,0.0,44.0
Chord {E-flat in octave 3 | C-sharp in octave 4} 16th,C#4-interval class 2,0.25,44.0
Chord {E-flat in octave 5 | C in octave 5 | E-flat in octave 2} Eighth,C5-interval class 3,0.5,46.0
Chord {C in octave 5 | E-flat in octave 5 | E-flat in octave 2} Zero,C5-interval class 3,0.0,46.75
Chord {F-sharp in octave 5 | C-sharp in octave 6} 16th,F#5-interval class 5,0.25,50.0
Chord {F-sharp in octave 4 | B-flat in octave 4 | E in octave 5 | C-sharp in octave 5 | C-sharp in octave 6} 16th,C#5-dominant seventh chord,0.25,51.0
Chord {E in octave 2 | G in octave 3 | C-sharp in octave 4} Zero,C#4-diminished triad,0.0,54.0
Chord {E in octave 3 | C-sharp in octave 4} 16th,C#4-interval class 3,0.25,54.0
Chord {E-flat in octave 6 | F-sharp in octave 3 | C-sharp in octave 3} Eighth,F#3-incomplete minor-seventh chord,0.5,58.0
Chord {E-flat in octave 6 | F-sharp in octave 3 | C-sharp in octave 3} 16th,F#3-incomplete minor-seventh chord,0.25,58.75
Chord {B-flat in octave 4 | E-flat in octave 5 | C in octave 6} 16th,C6-incomplete minor-seventh chord,0.25,60.75
Chord {G-sharp in octave 5 | C-sharp in octave 6} 16th,C#6-interval class 5,0.25,62.0
Chord {G-sharp in octave 4 | A in octave 4 | E-flat in octave 5 | C-sharp in octave 5 | C-sharp in octave 6} 16th,A4-minor-second quartal tetrachord,0.25,63.0
Chord {C-sharp in octave 3 | C-sharp in octave 4 | B-flat in octave 1 | G-sharp in octave 3 | F in octave 3} 16th,G#3-minor seventh chord,0.25,64.0
Chord {G in octave 3 | G in octave 4 | E-flat in octave 2 | C-sharp in octave 4 | B-flat in octave 3} 16th,C#4-dominant seventh chord,0.25,65.0
Chord {F-sharp in octave 3 | F-sharp in octave 4 | E-flat in octave 2 | C-sharp in octave 4 | B-flat in octave 3} 16th,C#4-minor seventh chord,0.25,66.0
Chord {F-sharp in octave 3 | F-sharp in octave 4 | G-sharp in octave 2 | C in octave 4 | B-flat in octave 3} 16th,G#2-whole-tone tetramirror,0.25,67.0
Chord {E in octave 6 | G in octave 3 | C-sharp in octave 3} Eighth,C#3-diminished triad,0.5,70.0
Chord {E in octave 6 | G in octave 3 | C-sharp in octave 3} 16th,C#3-diminished triad,0.25,70.75
Chord {D in octave 2 | C-sharp in octave 4 | F-sharp in octave 4} Zero,D2-incomplete major-seventh chord,0.0,72.0
Chord {A in octave 3 | F-sharp in octave 4} 16th,F#4-interval class 3,0.25,72.0
Chord {E in octave 6 | G in octave 3 | D in octave 3} Eighth,E6-incomplete minor-seventh chord,0.5,74.0
Chord {E in octave 6 | G in octave 3 | D in octave 3} 16th,E6-incomplete minor-seventh chord,0.25,74.75
Chord {C-sharp in octave 5 | A in octave 4 | C-sharp in octave 2} Eighth,A4-interval class 4,0.5,76.0
Chord {A in octave 4 | C-sharp in octave 5 | C-sharp in octave 2} Zero,A4-interval class 4,0.0,76.75
Chord {E in octave 3 | E in octave 4 | F-sharp in octave 2 | A in octave 3 | F-sharp in octave 3} 16th,F#2-incomplete minor-seventh chord,0.25,80.0
Chord {E-flat in octave 3 | E-flat in octave 4 | B in octave 1 | A in octave 3 | F-sharp in octave 3} 16th,F#3-dominant seventh chord,0.25,81.0
Chord {D in octave 3 | D in octave 4 | E in octave 2 | G in octave 3 | E in octave 3} 16th,E2-incomplete minor-seventh chord,0.25,82.0
Chord {G in octave 3 | G in octave 4 | A in octave 2 | C-sharp in octave 4 | B in octave 3} 16th,A2-whole-tone tetramirror,0.25,83.0
Chord {C in octave 5 | F in octave 5 | D in octave 6} 16th,D6-incomplete minor-seventh chord,0.25,88.75
Chord {G in octave 5 | D in octave 6} 16th,G5-interval class 5,0.25,92.0
Chord {G in octave 4 | B in octave 4 | E in octave 5 | D in octave 5 | D in octave 6} 16th,E5-minor seventh chord,0.25,93.0
Chord {E-flat in octave 6 | F-sharp in octave 3 | C in octave 3} Eighth,F#3-diminished triad,0.5,94.0
Chord {E-flat in octave 6 | F-sharp in octave 3 | C in octave 3} 16th,F#3-diminished triad,0.25,94.75
Chord {C in octave 5 | F in octave 5 | D in octave 6} 16th,D6-incomplete minor-seventh chord,0.25,96.75
Chord {G in octave 2 | B in octave 3 | F in octave 4} Zero,G2-incomplete dominant-seventh chord,0.0,98.0
Chord {A in octave 3 | F in octave 4} 16th,F4-interval class 4,0.25,98.0
Chord {E in octave 3 | E in octave 4 | C in octave 2 | B-flat in octave 3 | G in octave 3} 16th,C2-dominant seventh chord,0.25,100.0
Chord {E-flat in octave 3 | E-flat in octave 4 | B in octave 1 | A in octave 3 | F-sharp in octave 3} 16th,F#3-dominant seventh chord,0.25,101.0
Chord {F in octave 5 | B-flat in octave 5} 16th,B-5-interval class 5,0.25,102.0
