392.0
4/4
FullName,CommonName,Len,Offset
Chord {F-sharp in octave 3 | B-flat in octave 3 | E-flat in octave 3 | C-sharp in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),C#4-minor seventh chord,5/3,0.0
Chord {F in octave 3 | B in octave 3 | G-sharp in octave 3 | D in octave 4} Half Triplet (1 1/3 QL),G#3-diminished seventh chord,4/3,8/3
Chord {F-sharp in octave 3 | B-flat in octave 3 | E-flat in octave 3 | C-sharp in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),C#4-minor seventh chord,5/3,4.0
Chord {C in octave 4 | E-flat in octave 4 | F-sharp in octave 4 | B-flat in octave 3} Half,C4-half-diminished seventh chord,2.0,6.0
Chord {C in octave 4 | C-sharp in octave 4 | G-sharp in octave 3 | F in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),F4-major seventh chord,5/3,8.0
Chord {B-flat in octave 3 | C-sharp in octave 4 | E in octave 4 | F-sharp in octave 3} Half,C#4-dominant seventh chord,2.0,10.0
Chord {G-sharp in octave 3 | C in octave 4 | F in octave 3 | E-flat in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),C4-minor seventh chord,5/3,12.0
Chord {G in octave 3 | B-flat in octave 4 | E in octave 2} Half,E2-diminished triad,2.0,14.0
Chord {F-sharp in octave 3 | B-flat in octave 3 | E-flat in octave 3 | C-sharp in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),C#4-minor seventh chord,5/3,16.0
Chord {F-sharp in octave 3 | B-flat in octave 3 | C-sharp in octave 4 | E-flat in octave 3} Half,C#4-minor seventh chord,2.0,18.0
Chord {B-flat in octave 3 | C in octave 4 | F-sharp in octave 3 | E-flat in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),C4-half-diminished seventh chord,5/3,20.0
Chord {F in octave 3 | C-sharp in octave 4 | A in octave 3 | E-flat in octave 4} Half Triplet (1 1/3 QL),F3-augmented seventh chord,4/3,68/3
Chord {B-flat in octave 3 | G-sharp in octave 3 | F in octave 3 | C-sharp in octave 4} Quarter,G#3-minor seventh chord,1.0,24.0
Chord {B-flat in octave 3 | G in octave 3 | E-flat in octave 3 | C-sharp in octave 4} Quarter,C#4-dominant seventh chord,1.0,25.0
Chord {B-flat in octave 3 | F-sharp in octave 3 | E-flat in octave 3 | C-sharp in octave 4} Quarter,C#4-minor seventh chord,1.0,26.0
Chord {E-flat in octave 4 | C in octave 4 | G-sharp in octave 3 | F-sharp in octave 4} Quarter,C4-dominant seventh chord,1.0,27.0
Chord {B-flat in octave 3 | C-sharp in octave 4 | G-sharp in octave 3 | F in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),G#3-minor seventh chord,5/3,28.0
Chord {G-sharp in octave 3 | B-flat in octave 3 | D in octave 4 | F in octave 3} Half,G#3-dominant seventh chord,2.0,30.0
Chord {F-sharp in octave 3 | B-flat in octave 3 | E-flat in octave 3 | C-sharp in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),C#4-minor seventh chord,5/3,32.0
Chord {F in octave 3 | B in octave 3 | G-sharp in octave 3 | D in octave 4} Half Triplet (1 1/3 QL),G#3-diminished seventh chord,4/3,104/3
Chord {F-sharp in octave 3 | B-flat in octave 3 | E-flat in octave 3 | C-sharp in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),C#4-minor seventh chord,5/3,36.0
Chord {C in octave 4 | E-flat in octave 5 | G-sharp in octave 2} Half,C4-major triad,2.0,38.0
Chord {C in octave 4 | C-sharp in octave 4 | G-sharp in octave 3 | F in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),F4-major seventh chord,5/3,40.0
Chord {B-flat in octave 3 | C-sharp in octave 4 | E in octave 4 | F-sharp in octave 3} Half,C#4-dominant seventh chord,2.0,42.0
Chord {G-sharp in octave 3 | C in octave 4 | F in octave 3 | E-flat in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),C4-minor seventh chord,5/3,44.0
Chord {G in octave 3 | B-flat in octave 4 | E in octave 2} Half,E2-diminished triad,2.0,46.0
Chord {F-sharp in octave 3 | B-flat in octave 3 | E-flat in octave 3 | C-sharp in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),C#4-minor seventh chord,5/3,48.0
Chord {F-sharp in octave 3 | B-flat in octave 3 | C-sharp in octave 4 | E-flat in octave 3} Half,C#4-minor seventh chord,2.0,50.0
Chord {B-flat in octave 3 | C in octave 4 | F-sharp in octave 3 | E-flat in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),C4-half-diminished seventh chord,5/3,52.0
Chord {A in octave 3 | C-sharp in octave 5 | F in octave 2} Half,F2-augmented triad,2.0,54.0
Chord {B-flat in octave 3 | G-sharp in octave 3 | F in octave 3 | C-sharp in octave 4} Quarter,G#3-minor seventh chord,1.0,56.0
Chord {B-flat in octave 3 | G in octave 3 | E-flat in octave 3 | C-sharp in octave 4} Quarter,C#4-dominant seventh chord,1.0,57.0
Chord {B-flat in octave 3 | F-sharp in octave 3 | E-flat in octave 3 | C-sharp in octave 4} Quarter,C#4-minor seventh chord,1.0,58.0
Chord {E-flat in octave 4 | C in octave 4 | B-flat in octave 3 | F-sharp in octave 4} Quarter,C4-half-diminished seventh chord,1.0,59.0
Chord {B-flat in octave 3 | C-sharp in octave 4 | G-sharp in octave 3 | F in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),G#3-minor seventh chord,5/3,60.0
Chord {G in octave 3 | B in octave 4 | A in octave 2} Half,G3-whole-tone trichord,2.0,62.0
Chord {F-sharp in octave 4 | D in octave 4 | A in octave 3} Half,D4-major triad,2.0,64.0
Chord {G in octave 3 | B in octave 3 | D in octave 4 | E in octave 3} Half,E3-minor seventh chord,2.0,66.0
Chord {A in octave 3 | C-sharp in octave 4 | F-sharp in octave 3 | E in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),F#3-minor seventh chord,5/3,68.0
Chord {G in octave 3 | D in octave 4 | B-flat in octave 3 | F in octave 4} Half Triplet (1 1/3 QL),G3-minor seventh chord,4/3,212/3
Chord {C-sharp in octave 4 | A in octave 3 | F-sharp in octave 3 | E in octave 4} Quarter,F#3-minor seventh chord,1.0,72.0
Chord {B in octave 3 | A in octave 3 | F-sharp in octave 3 | E-flat in octave 4} Quarter,F#3-dominant seventh chord,1.0,73.0
Chord {B in octave 3 | G in octave 3 | E in octave 3 | D in octave 4} Quarter,E3-minor seventh chord,1.0,74.0
Chord {B in octave 3 | G in octave 3 | E in octave 3 | C-sharp in octave 4} Quarter,C#4-half-diminished seventh chord,1.0,75.0
Chord {A in octave 3 | F-sharp in octave 4 | D in octave 4} Whole,D4-major triad,4.0,76.0
Chord {C in octave 4 | D in octave 4 | A in octave 3 | F in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),D4-minor seventh chord,5/3,80.0
Chord {B in octave 3 | D in octave 4 | F in octave 4 | A in octave 3} Half,B3-half-diminished seventh chord,2.0,82.0
Chord {E in octave 4 | C in octave 4 | G in octave 3} Half,C4-major triad,2.0,84.0
Chord {E-flat in octave 3 | A in octave 3 | F-sharp in octave 3 | C in octave 4} Half Triplet (1 1/3 QL),F#3-diminished seventh chord,4/3,260/3
Chord {C in octave 4 | D in octave 4 | A in octave 3 | F in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),D4-minor seventh chord,5/3,88.0
Chord {A in octave 3 | D in octave 4 | B in octave 3 | F in octave 4} Half Triplet (1 1/3 QL),B3-half-diminished seventh chord,4/3,272/3
Chord {D in octave 4 | B-flat in octave 3 | G in octave 3 | E in octave 4} Quarter,E4-half-diminished seventh chord,1.0,92.0
Chord {C-sharp in octave 4 | A in octave 3 | F-sharp in octave 3 | E-flat in octave 4} Quarter,F#3-half-diminished seventh chord,1.0,93.0
Chord {F-sharp in octave 3 | B-flat in octave 3 | E-flat in octave 3 | C-sharp in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),C#4-minor seventh chord,5/3,96.0
Chord {F in octave 3 | B in octave 3 | G-sharp in octave 3 | D in octave 4} Half Triplet (1 1/3 QL),G#3-diminished seventh chord,4/3,296/3
Chord {F-sharp in octave 3 | B-flat in octave 3 | E-flat in octave 3 | C-sharp in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),C#4-minor seventh chord,5/3,100.0
Chord {B-flat in octave 3 | E-flat in octave 4 | C in octave 4 | F-sharp in octave 4} Half Triplet (1 1/3 QL),C4-half-diminished seventh chord,4/3,308/3
Chord {C in octave 4 | C-sharp in octave 4 | G-sharp in octave 3 | F in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),F4-major seventh chord,5/3,104.0
Chord {B-flat in octave 3 | C-sharp in octave 4 | E in octave 4 | F-sharp in octave 3} Half,C#4-dominant seventh chord,2.0,106.0
Chord {G-sharp in octave 3 | C in octave 4 | F in octave 3 | E-flat in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),C4-minor seventh chord,5/3,108.0
Chord {G in octave 3 | B-flat in octave 3 | C-sharp in octave 4 | E in octave 3} Half,C#4-diminished seventh chord,2.0,110.0
Chord {B-flat in octave 3 | E-flat in octave 3 | C-sharp in octave 4} Half,C#4-incomplete dominant-seventh chord,2.0,112.0
Chord {F-sharp in octave 3 | B-flat in octave 3 | C-sharp in octave 4 | E-flat in octave 3} Quarter tied to 16th (1 1/4 total QL),C#4-minor seventh chord,1.25,344/3
