391.9166666666667
4/4
FullName,CommonName,Len,Offset
Chord {F in octave 3 | A in octave 3 | B-flat in octave 3 | D in octave 4} Double Dotted Quarter,B-3-major seventh chord,1.75,0.0
Chord {G in octave 3 | A in octave 4 | C in octave 4 | E in octave 4} Eighth,A4-minor seventh chord,0.5,2.0
Chord {G in octave 3 | B-flat in octave 4 | D in octave 4 | F in octave 4} Half,G3-minor seventh chord,2.0,11/3
Chord {B-flat in octave 3 | D in octave 5 | E in octave 4 | G in octave 4} Double Dotted Quarter,E4-half-diminished seventh chord,1.75,6.0
Chord {F in octave 4 | D in octave 4 | C in octave 4 | A in octave 4} Quarter Triplet (2/3 QL),D4-minor seventh chord,2/3,9.0
Chord {D in octave 4 | F in octave 4 | A in octave 3 | C in octave 5} Half,D4-minor seventh chord,2.0,29/3
Chord {B-flat in octave 3 | D in octave 4 | E-flat in octave 4 | G in octave 4} Half,E-4-major seventh chord,2.0,35/3
Chord {F in octave 4 | F in octave 5 | A in octave 3 | E-flat in octave 3 | C-sharp in octave 3} Half,F4-augmented seventh chord,2.0,14.0
Chord {G in octave 3 | B-flat in octave 3 | D in octave 4 | F in octave 4} Whole Tuplet of 12/11ths (3 2/3 QL),G3-minor seventh chord,11/3,16.0
Chord {F in octave 3 | G in octave 4 | B-flat in octave 3 | D in octave 4} Whole,G4-minor seventh chord,4.0,59/3
Chord {F in octave 3 | A in octave 4 | B-flat in octave 3 | D in octave 4} Half tied to 16th (2 1/4 total QL),B-3-major seventh chord,2.25,71/3
Chord {B-flat in octave 3 | D in octave 4 | F in octave 3 | G in octave 3} Half Tuplet of 6/5ths (1 2/3 QL),G3-minor seventh chord,5/3,26.0
Chord {E in octave 3 | G in octave 4 | B in octave 3 | C in octave 4} Double Dotted Quarter,C4-major seventh chord,1.75,83/3
Chord {E in octave 3 | G in octave 4 | B in octave 3 | C in octave 4} Eighth Triplet (1/3 QL),C4-major seventh chord,1/3,89/3
Chord {D in octave 5 | F in octave 4 | B-flat in octave 3 | G in octave 3 | D in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),G3-minor seventh chord,5/3,32.0
Chord {G in octave 3 | A in octave 4 | C in octave 4 | E in octave 4} Half,A4-minor seventh chord,2.0,101/3
Chord {G in octave 3 | B-flat in octave 4 | D in octave 4 | F in octave 4} Half,G3-minor seventh chord,2.0,107/3
Chord {B-flat in octave 3 | D in octave 5 | E in octave 4 | G in octave 4} Quarter Triplet (2/3 QL),E4-half-diminished seventh chord,2/3,113/3
Chord {F in octave 4 | D in octave 4 | C in octave 4 | A in octave 4} Quarter Triplet (2/3 QL),D4-minor seventh chord,2/3,40.0
Chord {D in octave 4 | F in octave 4 | A in octave 3 | C in octave 5} Half,D4-minor seventh chord,2.0,41.75
Chord {B-flat in octave 3 | D in octave 5 | E-flat in octave 4 | G in octave 4} Half tied to 16th (2 1/4 total QL),E-4-major seventh chord,2.25,131/3
Chord {E-flat in octave 4 | F-sharp in octave 4 | A in octave 3 | C-sharp in octave 4} Eighth,F#4-half-diminished seventh chord,0.5,46.0
Chord {G in octave 3 | B-flat in octave 4 | D in octave 4 | F in octave 4} Triple Dotted Half (3 3/4 QL),G3-minor seventh chord,3.75,48.0
Chord {F in octave 3 | G in octave 4 | B-flat in octave 3 | D in octave 4} Triple Dotted Half (3 3/4 QL),G4-minor seventh chord,3.75,52.0
Chord {F in octave 3 | G in octave 4 | B-flat in octave 3 | D in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),G4-minor seventh chord,5/3,56.0
Chord {B-flat in octave 3 | D in octave 4 | F in octave 3 | A in octave 3} Half,B-3-major seventh chord,2.0,173/3
Chord {E in octave 3 | G in octave 4 | B in octave 3 | C in octave 4} Dotted Quarter,C4-major seventh chord,1.5,60.0
Chord {E in octave 3 | G in octave 4 | B in octave 3 | C in octave 4} Eighth Triplet (1/3 QL),C4-major seventh chord,1/3,185/3
Chord {E-flat in octave 3 | F in octave 4 | A in octave 3 | C-sharp in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),F4-augmented seventh chord,5/3,66.0
Chord {B-flat in octave 3 | C in octave 4 | E-flat in octave 3 | G in octave 3} Dotted Eighth,C4-minor seventh chord,0.75,203/3
Chord {A in octave 3 | C-sharp in octave 5 | E-flat in octave 4 | F in octave 4} Eighth,F4-augmented seventh chord,0.5,70.0
Chord {D in octave 4 | B-flat in octave 3 | G in octave 3 | F in octave 4} Double Dotted Half,G3-minor seventh chord,3.5,72.0
Chord {G in octave 3 | B-flat in octave 4 | D in octave 4 | F in octave 4} Whole Triplet (2 2/3 QL),G3-minor seventh chord,8/3,227/3
Chord {G in octave 3 | B-flat in octave 4 | D in octave 4 | F in octave 4} Quarter,G3-minor seventh chord,1.0,236/3
Chord {G-sharp in octave 3 | B-flat in octave 4 | C-sharp in octave 4 | F in octave 4} Quarter,G#3-minor seventh chord,1.0,242/3
Chord {C-sharp in octave 4 | E-flat in octave 4 | G in octave 3 | B in octave 4} Dotted Eighth,C#4-augmented seventh chord,0.75,245/3
Chord {G-sharp in octave 3 | C in octave 4 | C-sharp in octave 4 | F in octave 4} Eighth,F4-major seventh chord,0.5,84.0
Chord {G in octave 3 | B in octave 3 | C-sharp in octave 4 | F-sharp in octave 4} Half,G3-minor-second quartal tetrachord,2.0,257/3
Chord {F in octave 3 | G-sharp in octave 4 | C in octave 4 | E-flat in octave 4} Half,C4-minor seventh chord,2.0,263/3
Chord {F-sharp in octave 3 | G-sharp in octave 3 | B in octave 3 | E-flat in octave 4} Quarter Triplet (2/3 QL),E-4-minor seventh chord,2/3,269/3
Chord {F in octave 3 | A in octave 4 | B-flat in octave 3 | D in octave 4} Dotted Eighth,B-3-major seventh chord,0.75,275/3
Chord {F in octave 3 | G in octave 4 | B-flat in octave 3 | D in octave 4} Double Dotted Quarter,G4-minor seventh chord,1.75,96.0
Chord {G in octave 3 | A in octave 4 | C in octave 4 | E in octave 4} Double Dotted Quarter,A4-minor seventh chord,1.75,98.0
Chord {B-flat in octave 3 | D in octave 5 | E in octave 4 | A in octave 4} Quarter Triplet (2/3 QL),B-3-minor-second quartal tetrachord,2/3,305/3
Chord {F in octave 4 | D in octave 4 | C in octave 4 | A in octave 4} Quarter Triplet (2/3 QL),D4-minor seventh chord,2/3,105.0
Chord {D in octave 4 | F in octave 4 | A in octave 3 | C in octave 5} Half,D4-minor seventh chord,2.0,317/3
Chord {B-flat in octave 3 | D in octave 4 | E-flat in octave 4 | G in octave 4} Half tied to 16th (2 1/4 total QL),E-4-major seventh chord,2.25,323/3
Chord {E-flat in octave 4 | G-sharp in octave 4 | A in octave 3 | C-sharp in octave 4} Eighth,A3-minor-second quartal tetrachord,0.5,110.0
Chord {G in octave 4 | F in octave 4 | D in octave 4 | B-flat in octave 4} Dotted Eighth,G4-minor seventh chord,0.75,112.0
Chord {G in octave 3 | B-flat in octave 3 | D in octave 4 | F in octave 4} Dotted Half,G3-minor seventh chord,3.0,113.0
Chord {F in octave 3 | G in octave 3 | B-flat in octave 3 | D in octave 4} Whole Tuplet of 12/11ths (3 2/3 QL),G3-minor seventh chord,11/3,116.0
Chord {F in octave 3 | G in octave 3 | B-flat in octave 3 | D in octave 4} Half,G3-minor seventh chord,2.0,359/3
Chord {B-flat in octave 3 | D in octave 4 | F in octave 3 | A in octave 4} Quarter,B-3-major seventh chord,1.0,368/3
Chord {E in octave 3 | G in octave 4 | B in octave 3 | C in octave 4} Whole,C4-major seventh chord,4.0,371/3
Chord {D in octave 5 | F in octave 4 | B-flat in octave 3 | G in octave 3 | D in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),G3-minor seventh chord,5/3,128.0
Chord {G in octave 3 | A in octave 4 | C in octave 4 | E in octave 4} Half,A4-minor seventh chord,2.0,389/3
Chord {G in octave 3 | B-flat in octave 4 | D in octave 4 | F in octave 4} Half,G3-minor seventh chord,2.0,395/3
Chord {B-flat in octave 3 | D in octave 5 | E in octave 4 | A in octave 4} Half,B-3-minor-second quartal tetrachord,2.0,401/3
Chord {D in octave 4 | F in octave 4 | A in octave 3 | C in octave 4} Whole,D4-minor seventh chord,4.0,136.0
Chord {B-flat in octave 3 | C in octave 5 | E-flat in octave 4 | G in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),C5-minor seventh chord,5/3,140.0
Chord {E-flat in octave 4 | G-sharp in octave 4 | A in octave 3 | C-sharp in octave 4} Half,A3-minor-second quartal tetrachord,2.0,425/3
Chord {G in octave 3 | B-flat in octave 3 | D in octave 4 | F in octave 4} Whole tied to 16th (4 1/4 total QL),G3-minor seventh chord,4.25,431/3
Chord {F in octave 3 | G in octave 3 | B-flat in octave 3 | D in octave 4} Quarter Triplet (2/3 QL),G3-minor seventh chord,2/3,150.0
Chord {F in octave 3 | G in octave 3 | B-flat in octave 3 | D in octave 4} Eighth,G3-minor seventh chord,0.5,151.0
Chord {F in octave 3 | G in octave 4 | B-flat in octave 3 | D in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),G4-minor seventh chord,5/3,152.0
Chord {B-flat in octave 3 | D in octave 4 | F in octave 3 | A in octave 4} Half,B-3-major seventh chord,2.0,461/3
Chord {E in octave 3 | G in octave 4 | B in octave 3 | C in octave 4} Quarter Triplet (2/3 QL),C4-major seventh chord,2/3,467/3
Chord {F in octave 3 | A in octave 4 | B-flat in octave 3 | D in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),B-3-major seventh chord,5/3,160.0
Chord {G in octave 3 | A in octave 4 | C in octave 4 | E in octave 4} Quarter Triplet (2/3 QL),A4-minor seventh chord,2/3,485/3
Chord {G in octave 3 | B-flat in octave 4 | D in octave 4 | F in octave 4} Double Dotted Quarter,G3-minor seventh chord,1.75,164.0
Chord {B-flat in octave 3 | D in octave 5 | E in octave 4 | A in octave 4} Eighth,B-3-minor-second quartal tetrachord,0.5,166.0
Chord {D in octave 4 | F in octave 4 | A in octave 3 | C in octave 4} Whole Tuplet of 12/11ths (3 2/3 QL),D4-minor seventh chord,11/3,168.0
Chord {B-flat in octave 3 | D in octave 5 | E-flat in octave 4 | G in octave 4} Quarter,E-4-major seventh chord,1.0,518/3
Chord {E-flat in octave 4 | F-sharp in octave 4 | A in octave 3 | C-sharp in octave 4} Quarter Triplet (2/3 QL),F#4-half-diminished seventh chord,2/3,521/3
Chord {G in octave 3 | B-flat in octave 3 | D in octave 4 | F in octave 4} Double Dotted Quarter,G3-minor seventh chord,1.75,527/3
Chord {G in octave 3 | B-flat in octave 3 | D in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),G3-minor seventh chord,1/3,533/3
Chord {F in octave 4 | A in octave 4 | B-flat in octave 3 | D in octave 4} Whole,B-3-major seventh chord,4.0,180.0
Chord {F in octave 4 | G in octave 4 | B-flat in octave 3 | D in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),G4-minor seventh chord,5/3,184.0
Chord {B-flat in octave 3 | D in octave 5 | F in octave 4 | A in octave 4} Half,B-3-major seventh chord,2.0,557/3
Chord {G in octave 4 | E in octave 4 | C in octave 4 | A in octave 4} Quarter,A4-minor seventh chord,1.0,563/3
Chord {E in octave 4 | G in octave 4 | B in octave 3 | C in octave 5} Half tied to 16th (2 1/4 total QL),C5-major seventh chord,2.25,189.75
Chord {B-flat in octave 3 | C in octave 5 | E-flat in octave 4 | G in octave 4} Eighth,C5-minor seventh chord,0.5,192.0
Chord {E-flat in octave 4 | G in octave 4 | A in octave 3 | D in octave 4} Quarter Triplet (2/3 QL),E-4-minor-second quartal tetrachord,2/3,581/3
Chord {B-flat in octave 3 | C in octave 4 | E-flat in octave 4 | G in octave 4} Half,C4-minor seventh chord,2.0,587/3
Chord {A in octave 3 | C-sharp in octave 5 | E-flat in octave 4 | G-sharp in octave 4} Half,A3-minor-second quartal tetrachord,2.0,593/3
Chord {G in octave 4 | F in octave 4 | D in octave 4 | B-flat in octave 4} Whole Tuplet of 12/11ths (3 2/3 QL),G4-minor seventh chord,11/3,200.0
Chord {G in octave 3 | B-flat in octave 4 | D in octave 4 | F in octave 4} Double Dotted Half,G3-minor seventh chord,3.5,611/3
