328.0
4/4
FullName,CommonName,Len,Offset
Chord {F-sharp in octave 2 | C in octave 2} Zero,F#2-tritone,0.0,4.0
Chord {F-sharp in octave 2 | C-sharp in octave 2} Zero,F#2-interval class 5,0.0,4.5
Chord {F-sharp in octave 2 | E-flat in octave 4 | C in octave 2} Zero,F#2-diminished triad,0.0,5.5
Chord {F-sharp in octave 2 | C in octave 2 | C-sharp in octave 2 | E-flat in octave 4} Zero,F#2-minor-second diminished tetrachord,0.0,6.0
Chord {F-sharp in octave 2 | C-sharp in octave 4 | C-sharp in octave 2} Zero,F#2-interval class 5,0.0,7.0
Chord {F-sharp in octave 2 | C-sharp in octave 4 | C in octave 2} Zero,F#2-tritone-fourth,0.0,7.5
Chord {F-sharp in octave 2 | C in octave 2} Zero,F#2-tritone,0.0,8.0
Chord {F-sharp in octave 2 | C-sharp in octave 2} Zero,F#2-interval class 5,0.0,9.0
Chord {F-sharp in octave 2 | E-flat in octave 4 | C in octave 2} Zero,F#2-diminished triad,0.0,9.5
Chord {F-sharp in octave 2 | E-flat in octave 4 | C in octave 2} Zero,F#2-diminished triad,0.0,10.0
Chord {F-sharp in octave 2 | C-sharp in octave 2} Zero,F#2-interval class 5,0.0,10.5
Chord {F-sharp in octave 2 | C-sharp in octave 4} Zero,F#2-interval class 5,0.0,11.0
Chord {F-sharp in octave 2 | C in octave 2 | C-sharp in octave 2 | C-sharp in octave 4} Zero,F#2-tritone-fourth,0.0,11.5
Chord {F-sharp in octave 2 | C in octave 2} Zero,F#2-tritone,0.0,12.0
Chord {F-sharp in octave 2 | C-sharp in octave 2} Zero,F#2-interval class 5,0.0,12.5
Chord {F-sharp in octave 2 | E-flat in octave 4 | C in octave 2} Zero,F#2-diminished triad,0.0,13.5
Chord {F-sharp in octave 2 | C in octave 2 | C-sharp in octave 2 | E-flat in octave 4} Zero,F#2-minor-second diminished tetrachord,0.0,14.0
Chord {F-sharp in octave 2 | C-sharp in octave 4 | C-sharp in octave 2} Zero,F#2-interval class 5,0.0,15.0
Chord {F-sharp in octave 2 | C-sharp in octave 4 | C in octave 2} Zero,F#2-tritone-fourth,0.0,15.5
Chord {F-sharp in octave 2 | C in octave 2} Zero,F#2-tritone,0.0,16.0
Chord {F-sharp in octave 2 | C-sharp in octave 2} Zero,F#2-interval class 5,0.0,17.0
Chord {F-sharp in octave 2 | E-flat in octave 4 | C in octave 2} Zero,F#2-diminished triad,0.0,17.5
