707.3333333333334
4/4
FullName,CommonName,Len,Offset
Chord {F-sharp in octave 3 | A in octave 4 | B in octave 3 | D in octave 4} Quarter,B3-minor seventh chord,1.0,4.0
Chord {F-sharp in octave 3 | A in octave 4 | B in octave 3 | D in octave 4} Quarter,B3-minor seventh chord,1.0,5.5
Chord {F-sharp in octave 3 | A in octave 4 | B in octave 3 | D in octave 4} Dotted Eighth,B3-minor seventh chord,0.75,7.0
Chord {D in octave 4 | G in octave 3} Eighth Triplet (1/3 QL),G3-interval class 5,1/3,8.0
Chord {E-flat in octave 4 | G in octave 3 | B in octave 3} 16th,E-4-augmented triad,0.25,9.0
Chord {G in octave 3 | B in octave 3 | E in octave 4} 16th,E4-minor triad,0.25,10.0
Chord {F-sharp in octave 3 | A in octave 4 | B in octave 3 | D in octave 4} Quarter,B3-minor seventh chord,1.0,12.0
Chord {F-sharp in octave 3 | A in octave 4 | B in octave 3 | D in octave 4} Quarter,B3-minor seventh chord,1.0,13.5
Chord {F-sharp in octave 3 | A in octave 4 | B in octave 3 | D in octave 4} Dotted Eighth,B3-minor seventh chord,0.75,15.0
Chord {D in octave 4 | F-sharp in octave 4 | G in octave 3 | B in octave 4} Dotted Half,G3-major seventh chord,3.0,16.0
Chord {A in octave 3 | A in octave 4 | C in octave 4 | E in octave 4} Quarter,A3-minor triad,1.0,20.0
Chord {A in octave 3 | A in octave 4 | C in octave 4 | E in octave 4} Quarter,A3-minor triad,1.0,21.5
Chord {A in octave 3 | A in octave 4 | C in octave 4 | E in octave 4} Dotted Eighth,A3-minor triad,0.75,23.0
Chord {A in octave 3 | A in octave 4 | C in octave 4 | F in octave 4} Dotted Half,F4-major triad,3.0,24.0
Chord {F-sharp in octave 3 | A in octave 4 | C in octave 4 | E in octave 4} Dotted Half,F#3-half-diminished seventh chord,3.0,28.0
Chord {A in octave 3 | A in octave 4 | C in octave 4 | F in octave 4} Quarter,F4-major triad,1.0,32.0
Chord {A in octave 3 | A in octave 4 | C in octave 4 | F in octave 4} Quarter,F4-major triad,1.0,33.5
Chord {A in octave 3 | A in octave 4 | C in octave 4 | F in octave 4} Dotted Eighth,F4-major triad,0.75,35.0
Chord {A in octave 3 | C in octave 4 | E in octave 4} Dotted Half,A3-minor triad,3.0,36.0
Chord {A in octave 3 | A in octave 4 | C in octave 4 | F in octave 4} Dotted Half,F4-major triad,3.0,40.0
Chord {F-sharp in octave 3 | A in octave 3 | C in octave 4 | E in octave 4} Dotted Half,F#3-half-diminished seventh chord,3.0,44.0
Chord {C in octave 4 | E in octave 4 | F-sharp in octave 3 | B in octave 4} Dotted Half,C4-minor-second quartal tetrachord,3.0,48.0
Chord {E in octave 3 | B in octave 3 | G in octave 3} Whole tied to Half tied to Quarter tied to 16th (7 1/4 total QL),E3-minor triad,7.25,52.0
Chord {G in octave 3 | B in octave 4 | C in octave 4 | E in octave 4} Quarter,C4-major seventh chord,1.0,60.0
Chord {G in octave 3 | B in octave 4 | C in octave 4 | E in octave 4} Quarter,C4-major seventh chord,1.0,61.5
Chord {G in octave 3 | B in octave 4 | C in octave 4 | E in octave 4} Dotted Eighth,C4-major seventh chord,0.75,63.0
Chord {C in octave 4 | E in octave 4 | F-sharp in octave 4} Whole,F#4-incomplete half-diminished seventh chord,4.0,64.0
Chord {E in octave 3 | G in octave 3 | B in octave 3 | D in octave 4} Dotted Half,E3-minor seventh chord,3.0,68.0
Chord {E in octave 3 | G-sharp in octave 3 | B-flat in octave 3 | E-flat in octave 4 | F-sharp in octave 2} Half,E3-phrygian pentachord,2.0,72.0
