398.8333333333333
4/4
FullName,CommonName,Len,Offset
Chord {B-flat in octave 2 | E-flat in octave 2 | G in octave 2} Zero,E-2-major triad,0.0,3.25
Chord {F-sharp in octave 2 | G-sharp in octave 2} Eighth,G#2-interval class 2,0.5,5.0
Chord {G-sharp in octave 2 | C-sharp in octave 2} Eighth,C#2-interval class 5,0.5,11.25
Chord {B in octave 1 | G-sharp in octave 2} Eighth,G#2-interval class 3,0.5,56/3
Chord {D in octave 2 | C in octave 4} Zero,D2-interval class 2,0.0,42.0
Chord {B-flat in octave 3 | E in octave 3 | D in octave 4 | C in octave 6 | C in octave 5} Zero,C6-whole-tone tetramirror,0.0,42.5
Chord {B in octave 3 | E-flat in octave 5 | E-flat in octave 4 | E-flat in octave 6} Quarter Triplet (2/3 QL),E-5-interval class 4,2/3,43.25
Chord {C in octave 5 | D in octave 4 | B-flat in octave 3 | E in octave 3} Dotted Eighth,C5-whole-tone tetramirror,0.75,44.0
Chord {D in octave 2 | C in octave 2} Zero,D2-interval class 2,0.0,49.25
Chord {C in octave 4 | D in octave 2} Zero,D2-interval class 2,0.0,50.25
Chord {F-sharp in octave 5 | D in octave 2} Zero,D2-interval class 4,0.0,51.0
Chord {F in octave 5 | D in octave 2} Zero,D2-interval class 3,0.0,51.25
Chord {F-sharp in octave 5 | D in octave 2} 16th,D2-interval class 4,0.25,51.5
Chord {F in octave 5 | E-flat in octave 2} Zero,F5-interval class 2,0.0,51.75
Chord {F-sharp in octave 5 | C in octave 6} 16th,F#5-tritone,0.25,52.0
Chord {F-sharp in octave 5 | C in octave 6} 16th,F#5-tritone,0.25,52.5
Chord {F in octave 5 | E-flat in octave 2} Zero,F5-interval class 2,0.0,52.75
Chord {E-flat in octave 5 | B-flat in octave 2} Zero,E-5-interval class 5,0.0,53.0
Chord {G-sharp in octave 2 | A in octave 2} Eighth Triplet (1/3 QL),A2-interval class 1,1/3,54.0
Chord {G-sharp in octave 2 | G in octave 1} Eighth,G#2-interval class 1,0.5,56.25
Chord {C in octave 2 | G in octave 3} 16th,C2-interval class 5,0.25,62.0
Chord {B-flat in octave 3 | E in octave 3} Zero,E3-tritone,0.0,74.75
Chord {B-flat in octave 4 | D in octave 4 | E in octave 3} Zero,E3-incomplete half-diminished seventh chord,0.0,77.75
Chord {B-flat in octave 3 | D in octave 4 | E in octave 3} Zero,E3-incomplete half-diminished seventh chord,0.0,77.75
Chord {D in octave 4 | A in octave 3} Zero,D4-interval class 5,0.0,238/3
Chord {E-flat in octave 3 | F in octave 5} Zero,F5-interval class 2,0.0,239/3
Chord {D in octave 4 | A in octave 3 | E-flat in octave 3} Zero,D4-tritone-fourth,0.0,81.0
Chord {G in octave 3 | E-flat in octave 3} Zero,E-3-interval class 4,0.0,84.75
Chord {F-sharp in octave 3 | C in octave 4} Quarter tied to 16th (1 1/4 total QL),F#3-tritone,1.25,86.75
Chord {B in octave 3 | D in octave 4 | E in octave 3 | G in octave 3 | E-flat in octave 3} Zero,E3-center-cluster pentamirror,0.0,91.0
Chord {D in octave 5 | E-flat in octave 3} Zero,E-3-interval class 1,0.0,92.0
Chord {B-flat in octave 5 | E-flat in octave 3} Zero,E-3-interval class 5,0.0,93.25
Chord {E-flat in octave 3 | C in octave 5} Zero,C5-interval class 3,0.0,111.75
Chord {D in octave 4 | E-flat in octave 3 | E-flat in octave 3 | A in octave 3 | E-flat in octave 5} Zero,D4-tritone-fourth,0.0,112.0
Chord {F-sharp in octave 4 | E-flat in octave 3} Zero,F#4-interval class 3,0.0,113.75
Chord {A in octave 4 | E-flat in octave 3} Zero,A4-tritone,0.0,114.5
Chord {B in octave 4 | E-flat in octave 3} Zero,E-3-interval class 4,0.0,115.5
