628.0
4/4
FullName,CommonName,Len,Offset
Chord {C in octave 4 | D in octave 4 | G in octave 4} Quarter tied to 16th (1 1/4 total QL),C4-quartal trichord,1.25,156.0
Chord {G-sharp in octave 3 | B-flat in octave 3 | E-flat in octave 4} Half,E-4-quartal trichord,2.0,159.5
Chord {C in octave 4 | B-flat in octave 3} Quarter tied to 16th (1 1/4 total QL),C4-interval class 2,1.25,162.0
Chord {C in octave 4 | D in octave 4 | G in octave 4} Quarter tied to 16th (1 1/4 total QL),C4-quartal trichord,1.25,164.0
Chord {B-flat in octave 3 | F in octave 4} Quarter,B-3-interval class 5,1.0,166.0
Chord {G-sharp in octave 3 | B-flat in octave 3} Double Dotted Quarter,G#3-interval class 2,1.75,167.5
Chord {B-flat in octave 3 | C in octave 4 | F in octave 4} Half Triplet (1 1/3 QL),B-3-quartal trichord,4/3,170.0
Chord {D in octave 4 | G in octave 4 | C in octave 4} Half Triplet (1 1/3 QL),C4-quartal trichord,4/3,172.0
Chord {B-flat in octave 3 | C in octave 4 | F in octave 4} Quarter tied to 16th (1 1/4 total QL),B-3-quartal trichord,1.25,174.0
Chord {G-sharp in octave 3 | B-flat in octave 3} Half,G#3-interval class 2,2.0,175.5
Chord {B-flat in octave 3 | C in octave 4 | F in octave 4} Half Triplet (1 1/3 QL),B-3-quartal trichord,4/3,178.0
Chord {C in octave 4 | D in octave 4 | G in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),C4-quartal trichord,5/3,180.0
Chord {G-sharp in octave 3 | E-flat in octave 4 | B-flat in octave 3} Double Dotted Quarter,E-4-quartal trichord,1.75,183.5
Chord {B-flat in octave 3 | C in octave 4 | F in octave 4} Quarter tied to 16th (1 1/4 total QL),B-3-quartal trichord,1.25,186.0
Chord {G in octave 4 | C in octave 4 | D in octave 4} Whole Tuplet of 12/11ths (3 2/3 QL),C4-quartal trichord,11/3,188.0
Chord {F in octave 4 | A in octave 4 | C in octave 5} Dotted Half,F4-major triad,3.0,204.0
Chord {C in octave 4 | F in octave 4} Quarter,F4-interval class 5,1.0,158.0
Chord {F in octave 4 | B-flat in octave 3} Half Triplet (1 1/3 QL),B-3-interval class 5,4/3,162.0
Chord {C in octave 4 | F in octave 4} Quarter,F4-interval class 5,1.0,166.0
Chord {C in octave 4 | F in octave 4} Quarter,F4-interval class 5,1.0,182.0
Chord {C in octave 4 | F in octave 3} Dotted Whole,F3-interval class 5,6.0,196.0
Chord {E in octave 4 | F in octave 3} Whole tied to Half tied to 16th (6 1/4 total QL),F3-interval class 1,6.25,196.0
Chord {G in octave 3 | C in octave 4} Quarter,C4-interval class 5,1.0,12.0
Chord {G in octave 3 | C in octave 4} Eighth Triplet (1/3 QL),C4-interval class 5,1/3,13.0
Chord {G in octave 3 | C in octave 4} Eighth Triplet (1/3 QL),C4-interval class 5,1/3,14.5
Chord {G in octave 3 | C in octave 4} Eighth Triplet (1/3 QL),C4-interval class 5,1/3,15.5
Chord {G in octave 3 | C in octave 4} 16th,C4-interval class 5,0.25,18.0
Chord {G in octave 3 | D in octave 4} Quarter,G3-interval class 5,1.0,20.0
Chord {G in octave 3 | D in octave 4} Eighth Triplet (1/3 QL),G3-interval class 5,1/3,21.0
Chord {G in octave 3 | D in octave 4} Half,G3-interval class 5,2.0,21.5
Chord {A in octave 3 | B in octave 3} Eighth,B3-interval class 2,0.5,35.0
Chord {A in octave 3 | E in octave 4} Quarter,A3-interval class 5,1.0,36.0
Chord {A in octave 3 | E in octave 4} Eighth Triplet (1/3 QL),A3-interval class 5,1/3,37.0
Chord {A in octave 3 | E in octave 4} Eighth Triplet (1/3 QL),A3-interval class 5,1/3,38.5
Chord {A in octave 3 | E in octave 4} Eighth Triplet (1/3 QL),A3-interval class 5,1/3,39.5
Chord {A in octave 3 | E in octave 4} 16th,A3-interval class 5,0.25,42.0
Chord {G-sharp in octave 3 | C-sharp in octave 4} Quarter,C#4-interval class 5,1.0,44.0
Chord {G-sharp in octave 3 | C-sharp in octave 4} Eighth Triplet (1/3 QL),C#4-interval class 5,1/3,45.0
Chord {B-flat in octave 3 | F in octave 4} Eighth Triplet (1/3 QL),B-3-interval class 5,1/3,53.0
Chord {B-flat in octave 3 | F in octave 4} Quarter,B-3-interval class 5,1.0,54.5
Chord {C in octave 4 | F in octave 4} Eighth,F4-interval class 5,0.5,60.0
Chord {C in octave 4 | F in octave 4} Eighth,F4-interval class 5,0.5,62.0
Chord {C in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),F4-interval class 5,1/3,63.0
Chord {F in octave 3 | G-sharp in octave 4} Double Dotted Half,G#4-interval class 3,3.5,64.0
Chord {A in octave 3 | E-flat in octave 4} Eighth,A3-tritone,0.5,67.5
Chord {D in octave 4 | G in octave 4} Eighth,G4-interval class 5,0.5,68.0
Chord {A in octave 3 | E-flat in octave 4} Eighth Triplet (1/3 QL),A3-tritone,1/3,69.0
Chord {A in octave 3 | E-flat in octave 4} Quarter,A3-tritone,1.0,69.5
Chord {A in octave 3 | E-flat in octave 4} Double Dotted Quarter,A3-tritone,1.75,71.5
Chord {A in octave 3 | E-flat in octave 4} Eighth,A3-tritone,0.5,74.0
Chord {A in octave 3 | E-flat in octave 4} Eighth Triplet (1/3 QL),A3-tritone,1/3,75.0
Chord {G in octave 3 | D in octave 4 | F in octave 4 | C in octave 5} Quarter,D4-quartal tetramirror,1.0,75.5
Chord {G in octave 3 | C in octave 4 | D in octave 4} Eighth,C4-quartal trichord,0.5,83.0
