1044.5
4/4
FullName,CommonName,Len,Offset
Chord {C in octave 4 | A in octave 3 | D in octave 3} Half tied to Eighth (2 1/2 total QL),D3-incomplete dominant-seventh chord,2.5,4.0
Chord {E in octave 3 | C-sharp in octave 3 | B in octave 3} Whole Triplet (2 2/3 QL),C#3-incomplete minor-seventh chord,8/3,8.0
Chord {D in octave 5 | B-flat in octave 3 | A in octave 3 | D in octave 4} Dotted Half,B-3-incomplete major-seventh chord,3.0,20.0
Chord {G in octave 5 | G-sharp in octave 3} Dotted Quarter,G5-interval class 1,1.5,32.0
Chord {E-flat in octave 3 | G-sharp in octave 2} Eighth Triplet (1/3 QL),E-3-interval class 5,1/3,39.0
Chord {E-flat in octave 3 | G-sharp in octave 2} Eighth Triplet (1/3 QL),E-3-interval class 5,1/3,41.0
Chord {E-flat in octave 3 | G-sharp in octave 2} Eighth Triplet (1/3 QL),E-3-interval class 5,1/3,43.0
Chord {F-sharp in octave 3 | F in octave 4} Eighth,F#3-interval class 1,0.5,48.0
Chord {C in octave 5 | F in octave 4 | D in octave 3 | C in octave 4 | E-flat in octave 3} Eighth Triplet (1/3 QL),D3-minor tetramirror,1/3,58.0
Chord {E-flat in octave 3 | G-sharp in octave 2} Eighth Triplet (1/3 QL),E-3-interval class 5,1/3,59.0
Chord {C in octave 2 | G in octave 5 | D in octave 5} Dotted Eighth,C2-quartal trichord,0.75,68.0
Chord {E-flat in octave 3 | G-sharp in octave 2} Eighth Triplet (1/3 QL),E-3-interval class 5,1/3,73.0
Chord {E-flat in octave 4 | F in octave 3 | B in octave 3 | B-flat in octave 4 | G in octave 4} Eighth Triplet (1/3 QL),E-4-enigmatic pentachord,1/3,221/3
Chord {G-sharp in octave 2 | E-flat in octave 3} Eighth Triplet (1/3 QL),E-3-interval class 5,1/3,85.0
Chord {G-sharp in octave 2 | E-flat in octave 3} Eighth Triplet (1/3 QL),E-3-interval class 5,1/3,103.0
Chord {G-sharp in octave 2 | E-flat in octave 3} Eighth Triplet (1/3 QL),E-3-interval class 5,1/3,107.0
Chord {G-sharp in octave 2 | E-flat in octave 3} Eighth Triplet (1/3 QL),E-3-interval class 5,1/3,109.0
Chord {C in octave 4 | G-sharp in octave 3} Half tied to Quarter tied to 16th (3 1/4 total QL),C4-interval class 4,3.25,112.0
Chord {G-sharp in octave 2 | E-flat in octave 3} Eighth Triplet (1/3 QL),E-3-interval class 5,1/3,119.0
Chord {F in octave 4 | C in octave 5 | D in octave 3 | A in octave 4 | C in octave 4} Eighth Triplet (1/3 QL),D3-minor seventh chord,1/3,122.0
Chord {C in octave 5 | B-flat in octave 3 | D in octave 4} Half tied to 16th (2 1/4 total QL),B-3-whole-tone trichord,2.25,124.0
Chord {C-sharp in octave 3 | B in octave 3} Whole Tuplet of 12/7ths (2 1/3 QL),C#3-interval class 2,7/3,148.0
Chord {F in octave 2 | G-sharp in octave 2} Dotted Eighth,G#2-interval class 3,0.75,151.0
Chord {F-sharp in octave 2 | G-sharp in octave 2} Dotted Eighth,G#2-interval class 2,0.75,153.0
Chord {C-sharp in octave 5 | B-flat in octave 4} Dotted Quarter,C#5-interval class 3,1.5,162.0
Chord {G-sharp in octave 2 | E-flat in octave 2} Quarter,E-2-interval class 5,1.0,167.0
