268.0
4/4
FullName,CommonName,Len,Offset
Chord {F in octave 3 | G-sharp in octave 3 | E-flat in octave 4 | C in octave 4} Dotted Quarter,C4-minor seventh chord,1.5,36.0
Chord {D in octave 4 | F in octave 3 | G-sharp in octave 3 | C in octave 4} Dotted Quarter,D4-half-diminished seventh chord,1.5,38.0
Chord {D in octave 4 | G in octave 3 | E in octave 4 | B in octave 3} Dotted Quarter,E4-minor seventh chord,1.5,40.0
Chord {E in octave 3 | G in octave 3 | A in octave 3 | C in octave 4} Dotted Quarter,A3-minor seventh chord,1.5,42.0
Chord {F in octave 3 | A in octave 3 | C in octave 4 | E in octave 4} Dotted Quarter,F3-major seventh chord,1.5,44.0
Chord {F in octave 3 | A in octave 3 | B in octave 3 | E in octave 4} Dotted Quarter,F3-minor-second quartal tetrachord,1.5,46.0
Chord {E in octave 3 | G in octave 3 | D in octave 4 | B in octave 3} Dotted Quarter,E3-minor seventh chord,1.5,48.0
Chord {F in octave 3 | E in octave 4 | B in octave 3 | A in octave 3} Dotted Quarter,F3-minor-second quartal tetrachord,1.5,54.0
Chord {G in octave 4 | C-sharp in octave 5 | F in octave 5 | C in octave 5} Quarter,F5-minor-second quartal tetrachord,1.0,78.0
Chord {F-sharp in octave 3 | C in octave 4 | E in octave 4 | A in octave 3} Dotted Half,F#3-half-diminished seventh chord,3.0,124.0
Chord {G in octave 3 | B-flat in octave 3 | E in octave 4 | C in octave 4} Dotted Quarter,C4-dominant seventh chord,1.5,134.0
Chord {F in octave 3 | D in octave 4 | G-sharp in octave 3 | B in octave 3} Dotted Quarter,G#3-diminished seventh chord,1.5,136.0
Chord {C in octave 4 | F in octave 3 | E in octave 4 | A in octave 3} Dotted Quarter,F3-major seventh chord,1.5,138.0
Chord {G-sharp in octave 3 | C in octave 4 | F in octave 3 | E-flat in octave 4} Dotted Quarter,C4-minor seventh chord,1.5,140.0
Chord {D in octave 4 | C in octave 4 | G in octave 4 | G-sharp in octave 3} Dotted Quarter,C4-minor-second quartal tetrachord,1.5,142.0
Chord {G in octave 3 | D in octave 4 | B in octave 3 | E in octave 3} Dotted Quarter,E3-minor seventh chord,1.5,144.0
Chord {G in octave 3 | F in octave 4 | C-sharp in octave 4} Dotted Quarter,F4-incomplete half-diminished seventh chord,1.5,146.0
Chord {E in octave 4 | C in octave 4 | A in octave 3 | F in octave 3} Dotted Quarter,F3-major seventh chord,1.5,152.0
Chord {D in octave 4 | G-sharp in octave 3 | B in octave 3 | F in octave 3} Dotted Quarter,G#3-diminished seventh chord,1.5,154.0
Chord {C in octave 4 | F-sharp in octave 3 | E in octave 4 | A in octave 3} Dotted Half,F#3-half-diminished seventh chord,3.0,156.0
Chord {G-sharp in octave 3 | F in octave 3 | D in octave 4 | B in octave 3} Dotted Half,G#3-diminished seventh chord,3.0,160.0
Chord {G in octave 3 | B-flat in octave 3 | E in octave 4 | C in octave 4} Dotted Quarter,C4-dominant seventh chord,1.5,166.0
Chord {D in octave 4 | G-sharp in octave 3 | F in octave 3 | B in octave 3} Dotted Quarter,G#3-diminished seventh chord,1.5,168.0
