396.0
4/4
FullName,CommonName,Len,Offset
Chord {C in octave 4 | A in octave 4 | F in octave 4} Whole,F4-major triad,4.0,4.0
Chord {B-flat in octave 3 | E-flat in octave 3 | C-sharp in octave 4} Half,C#4-incomplete dominant-seventh chord,2.0,8.0
Chord {G in octave 3 | B-flat in octave 3 | C-sharp in octave 4 | E-flat in octave 3} Quarter tied to 16th (1 1/4 total QL),C#4-dominant seventh chord,1.25,32/3
Chord {A in octave 3 | E in octave 3 | C in octave 4} Half,A3-minor triad,2.0,12.0
Chord {G in octave 3 | A in octave 3 | C in octave 4 | E in octave 3} Quarter tied to 16th (1 1/4 total QL),A3-minor seventh chord,1.25,44/3
Chord {F-sharp in octave 4 | D in octave 4} Whole Tuplet of 12/11ths (3 2/3 QL),D4-interval class 4,11/3,16.0
Chord {D in octave 4 | B-flat in octave 3 | D in octave 3 | F in octave 3 | G in octave 3} Half tied to Quarter tied to 16th (3 1/4 total QL),G3-minor seventh chord,3.25,20.0
Chord {D in octave 3 | B-flat in octave 3} Triple Dotted Half (3 3/4 QL),B-3-interval class 4,3.75,71/3
Chord {C-sharp in octave 4 | B-flat in octave 3} Half Tuplet of 6/5ths (1 2/3 QL),C#4-interval class 3,5/3,28.0
Chord {F in octave 4 | C-sharp in octave 4 | G in octave 3 | B-flat in octave 3} Half,G3-half-diminished seventh chord,2.0,30.0
Chord {C-sharp in octave 4 | G in octave 3} Whole,C#4-tritone,4.0,32.0
Chord {F in octave 4 | D in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),D4-interval class 3,5/3,40.0
Chord {A in octave 4 | F in octave 4 | C in octave 4 | D in octave 4} Half,D4-minor seventh chord,2.0,42.0
Chord {F in octave 4 | D in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),D4-interval class 3,5/3,44.0
Chord {G in octave 4 | F in octave 4 | B-flat in octave 3 | D in octave 4} Half,G4-minor seventh chord,2.0,46.0
Chord {E in octave 4 | B-flat in octave 3 | G in octave 3 | C in octave 4} Whole,C4-dominant seventh chord,4.0,48.0
Chord {G in octave 3 | B-flat in octave 3 | E in octave 3 | D in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),E3-half-diminished seventh chord,5/3,52.0
Chord {E in octave 3 | A in octave 3 | G in octave 3 | C-sharp in octave 4} Half Triplet (1 1/3 QL),A3-dominant seventh chord,4/3,164/3
Chord {C in octave 4 | D in octave 4 | A in octave 3 | F in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),D4-minor seventh chord,5/3,56.0
Chord {B in octave 3 | D in octave 4 | F in octave 4 | G in octave 3} Half,G3-dominant seventh chord,2.0,58.0
Chord {E in octave 4 | C in octave 4} Whole Tuplet of 12/11ths (3 2/3 QL),C4-interval class 4,11/3,64.0
Chord {F in octave 4 | A in octave 3 | D in octave 4 | C in octave 4} Whole,D4-minor seventh chord,4.0,68.0
Chord {C-sharp in octave 4 | B-flat in octave 3} Half Tuplet of 6/5ths (1 2/3 QL),C#4-interval class 3,5/3,72.0
Chord {F in octave 4 | C-sharp in octave 4 | G in octave 3 | B-flat in octave 3} Half,G3-half-diminished seventh chord,2.0,74.0
Chord {F in octave 4 | G in octave 4 | B-flat in octave 3 | G in octave 3} Eighth,G4-incomplete minor-seventh chord,0.5,88.0
Chord {B-flat in octave 3 | F in octave 3 | C-sharp in octave 4} Half,B-3-minor triad,2.0,92.0
Chord {G in octave 3 | B-flat in octave 3 | C-sharp in octave 4 | F in octave 3} Quarter tied to 16th (1 1/4 total QL),G3-half-diminished seventh chord,1.25,284/3
