392.0
4/4
FullName,CommonName,Len,Offset
Chord {F in octave 3 | G-sharp in octave 4 | C in octave 4 | E-flat in octave 4} Whole,C4-minor seventh chord,4.0,0.0
Chord {E-flat in octave 3 | F-sharp in octave 4 | A in octave 3 | C-sharp in octave 4} Whole,F#4-half-diminished seventh chord,4.0,4.0
Chord {G-sharp in octave 3 | C in octave 5 | D in octave 4 | G in octave 4 | E in octave 4} Breve,C5-enigmatic pentachord,8.0,8.0
Chord {G-sharp in octave 3 | B-flat in octave 4 | C-sharp in octave 4 | F in octave 4} Whole,G#3-minor seventh chord,4.0,16.0
Chord {C-sharp in octave 4 | E in octave 4 | G in octave 3 | B in octave 4} Whole,C#4-half-diminished seventh chord,4.0,20.0
Chord {G in octave 3 | B-flat in octave 4 | C in octave 4 | E-flat in octave 4} Whole,C4-minor seventh chord,4.0,24.0
Chord {C-sharp in octave 4 | E-flat in octave 4 | F-sharp in octave 3 | B-flat in octave 3} Half,C#4-minor seventh chord,2.0,28.0
Chord {C in octave 4 | E in octave 4 | F-sharp in octave 3 | B in octave 4} Half,C4-minor-second quartal tetrachord,2.0,30.0
Chord {C in octave 4 | E-flat in octave 4 | F in octave 3 | G-sharp in octave 4} Whole,C4-minor seventh chord,4.0,32.0
Chord {B in octave 3 | C-sharp in octave 4 | E in octave 3 | G-sharp in octave 4} Half,C#4-minor seventh chord,2.0,36.0
Chord {E in octave 3 | G-sharp in octave 4 | B-flat in octave 3 | E-flat in octave 4} Half,E3-minor-second quartal tetrachord,2.0,38.0
Chord {G in octave 3 | B-flat in octave 4 | C in octave 4 | E-flat in octave 4} Whole,C4-minor seventh chord,4.0,40.0
Chord {E-flat in octave 3 | G-sharp in octave 3 | A in octave 3 | C in octave 4} Whole,A3-major-diminished tetrachord,4.0,44.0
Chord {G-sharp in octave 3 | C in octave 5 | D in octave 4 | G in octave 4} Whole,C5-minor-second quartal tetrachord,4.0,48.0
Chord {G-sharp in octave 3 | B-flat in octave 3 | D in octave 4 | E in octave 4} Whole,E4-Messiaen's truncated mode 6,4.0,52.0
Chord {G-sharp in octave 3 | B-flat in octave 4 | C-sharp in octave 4 | F in octave 4} Whole,G#3-minor seventh chord,4.0,56.0
Chord {C-sharp in octave 4 | E in octave 4 | G in octave 3 | B in octave 3} Whole,C#4-half-diminished seventh chord,4.0,60.0
Chord {G in octave 3 | B-flat in octave 4 | C in octave 4 | E-flat in octave 4} Whole,C4-minor seventh chord,4.0,64.0
Chord {E-flat in octave 4 | F in octave 4 | A in octave 3 | C in octave 5} Whole,F4-dominant seventh chord,4.0,68.0
Chord {G-sharp in octave 3 | C in octave 5 | D in octave 4 | G in octave 4 | E in octave 4} Breve,C5-enigmatic pentachord,8.0,72.0
Chord {B-flat in octave 3 | D in octave 5 | E in octave 4 | A in octave 4} Whole,B-3-minor-second quartal tetrachord,4.0,80.0
Chord {F in octave 4 | G in octave 4 | B-flat in octave 3 | C-sharp in octave 5} Half,G4-half-diminished seventh chord,2.0,84.0
Chord {B-flat in octave 3 | C-sharp in octave 5 | E in octave 4 | G-sharp in octave 4} Half,C#5-half-diminished seventh chord,2.0,86.0
Chord {D in octave 4 | F in octave 4 | G-sharp in octave 3 | C in octave 5} Whole,D4-half-diminished seventh chord,4.0,88.0
