467.5
4/4
FullName,CommonName,Len,Offset
Chord {C in octave 5 | C-sharp in octave 5} Eighth Triplet (1/3 QL),C5-interval class 1,1/3,116/3
Chord {B-flat in octave 3 | D in octave 4 | F in octave 4 | B-flat in octave 4} Quarter,B-3-major triad,1.0,12.0
Chord {C in octave 4 | F-sharp in octave 4 | B-flat in octave 4 | F in octave 5} Quarter,B-4-minor-second quartal tetrachord,1.0,14.0
Chord {B in octave 3 | F in octave 4 | G in octave 4 | D in octave 5} Dotted Quarter,G4-dominant seventh chord,1.5,16.0
Chord {B in octave 3 | F in octave 4 | G in octave 4 | D in octave 5} Eighth Triplet (1/3 QL),G4-dominant seventh chord,1/3,53/3
Chord {B-flat in octave 3 | D in octave 4 | E in octave 4 | F-sharp in octave 4 | A in octave 4} Eighth,B-3-enigmatic pentachord,0.5,20.0
Chord {A in octave 3 | E-flat in octave 4 | F-sharp in octave 4 | C-sharp in octave 5} Quarter,F#4-half-diminished seventh chord,1.0,68/3
Chord {B-flat in octave 3 | D in octave 4 | F in octave 4} Double Dotted Quarter,B-3-major triad,1.75,24.0
Chord {A in octave 3 | C-sharp in octave 4 | E-flat in octave 4 | F-sharp in octave 4} Eighth,F#4-half-diminished seventh chord,0.5,26.0
Chord {G-sharp in octave 3 | C in octave 4 | D in octave 4 | F in octave 4} Dotted Quarter,D4-half-diminished seventh chord,1.5,28.0
Chord {F-sharp in octave 3 | C in octave 4 | F in octave 4 | B-flat in octave 4} Eighth,B-4-minor-second quartal tetrachord,0.5,30.0
Chord {F-sharp in octave 3 | C in octave 4 | F in octave 4 | B-flat in octave 4} Quarter,B-4-minor-second quartal tetrachord,1.0,92/3
Chord {F in octave 3 | B-flat in octave 3 | B in octave 3 | D in octave 4} Quarter,B-3-major-diminished tetrachord,1.0,98/3
Chord {F in octave 3 | B-flat in octave 3 | B in octave 3 | D in octave 4} Quarter Triplet (2/3 QL),B-3-major-diminished tetrachord,2/3,34.0
Chord {E in octave 3 | G in octave 3 | B-flat in octave 3 | D in octave 4} Double Dotted Quarter,E3-half-diminished seventh chord,1.75,107/3
Chord {E-flat in octave 3 | F-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,F#3-half-diminished seventh chord,0.5,38.0
Chord {E-flat in octave 3 | F-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Quarter,F#3-half-diminished seventh chord,1.0,39.0
Chord {B-flat in octave 3 | D in octave 4 | F in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),B-3-major triad,10/3,40.0
Chord {G-sharp in octave 3 | D in octave 4 | G in octave 4 | C in octave 5} Double Dotted Quarter,C5-minor-second quartal tetrachord,1.75,131/3
Chord {C in octave 4 | F-sharp in octave 4 | B-flat in octave 4 | F in octave 5} Double Dotted Quarter,B-4-minor-second quartal tetrachord,1.75,137/3
Chord {B in octave 3 | F in octave 4 | G-sharp in octave 4 | E-flat in octave 5} Double Dotted Quarter,E-5-half-diminished seventh chord,1.75,48.0
Chord {B in octave 3 | F in octave 4 | G-sharp in octave 4 | E-flat in octave 5} Eighth,E-5-half-diminished seventh chord,0.5,50.0
Chord {B in octave 3 | F in octave 4 | G-sharp in octave 4 | E-flat in octave 5} Dotted Eighth,E-5-half-diminished seventh chord,0.75,51.0
