618.6666666666666
3/4
FullName,CommonName,Len,Offset
Chord {C in octave 2 | E-flat in octave 3} 16th,C2-interval class 3,0.25,11/3
Chord {C in octave 2 | E-flat in octave 3} 16th,C2-interval class 3,0.25,14/3
Chord {C in octave 2 | E-flat in octave 3} 16th,C2-interval class 3,0.25,17/3
Chord {C in octave 2 | E-flat in octave 3} 16th,C2-interval class 3,0.25,32/3
Chord {F-sharp in octave 2 | C-sharp in octave 2 | D in octave 2} Eighth Triplet (1/3 QL),D2-incomplete major-seventh chord,1/3,13.0
Chord {C in octave 2 | E-flat in octave 3} 16th,C2-interval class 3,0.25,50/3
Chord {F-sharp in octave 2 | C-sharp in octave 2 | D in octave 2} Eighth Triplet (1/3 QL),D2-incomplete major-seventh chord,1/3,19.0
Chord {C in octave 2 | F-sharp in octave 2 | E-flat in octave 3} 16th,F#2-diminished triad,0.25,23.0
Chord {C-sharp in octave 3 | C in octave 2} Eighth Triplet (1/3 QL),C#3-interval class 1,1/3,24.0
Chord {F-sharp in octave 2 | C-sharp in octave 2} 16th,F#2-interval class 5,0.25,25.0
Chord {D in octave 2 | E-flat in octave 3} 16th,E-3-interval class 1,0.25,83/3
Chord {C in octave 2 | E-flat in octave 3} 16th,C2-interval class 3,0.25,30.0
Chord {F-sharp in octave 2 | C-sharp in octave 2 | E-flat in octave 3} 16th,F#2-incomplete minor-seventh chord,0.25,31.0
Chord {D in octave 2 | E-flat in octave 3} 16th,E-3-interval class 1,0.25,119/3
Chord {F-sharp in octave 2 | C-sharp in octave 2} Eighth Triplet (1/3 QL),F#2-interval class 5,1/3,43.0
Chord {F-sharp in octave 2 | E-flat in octave 3} 16th,F#2-interval class 3,0.25,46.0
Chord {D in octave 2 | E-flat in octave 3} Zero,E-3-interval class 1,0.0,140/3
Chord {F-sharp in octave 2 | C-sharp in octave 2} 16th,F#2-interval class 5,0.25,49.0
Chord {F-sharp in octave 2 | E-flat in octave 3} 16th,F#2-interval class 3,0.25,55.0
Chord {E-flat in octave 3 | E-flat in octave 3} Quarter,E-3-unison,1.0,173/3
Chord {D in octave 2 | E-flat in octave 3} 16th,E-3-interval class 1,0.25,191/3
Chord {D in octave 2 | E-flat in octave 3} 16th,E-3-interval class 1,0.25,194/3
Chord {D in octave 2 | E-flat in octave 3} 16th,E-3-interval class 1,0.25,197/3
Chord {F-sharp in octave 2 | C-sharp in octave 2 | E-flat in octave 3} 16th,F#2-incomplete minor-seventh chord,0.25,67.0
Chord {F-sharp in octave 2 | E-flat in octave 3} 16th,F#2-interval class 3,0.25,70.0
Chord {D in octave 2 | E-flat in octave 3} 16th,E-3-interval class 1,0.25,212/3
Chord {F-sharp in octave 2 | D in octave 2} 16th,D2-interval class 4,0.25,71.0
Chord {F-sharp in octave 2 | C-sharp in octave 2} 16th,F#2-interval class 5,0.25,73.0
Chord {F-sharp in octave 2 | E-flat in octave 3} 16th,F#2-interval class 3,0.25,79.0
Chord {D in octave 2 | E-flat in octave 3} 16th,E-3-interval class 1,0.25,245/3
Chord {D in octave 2 | E-flat in octave 3} 16th,E-3-interval class 1,0.25,263/3
Chord {F-sharp in octave 2 | C-sharp in octave 2} 16th,F#2-interval class 5,0.25,91.0
Chord {F-sharp in octave 2 | E-flat in octave 3} 16th,F#2-interval class 3,0.25,94.0
Chord {F-sharp in octave 2 | C-sharp in octave 2} 16th,F#2-interval class 5,0.25,97.0
Chord {F-sharp in octave 2 | E-flat in octave 3} 16th,F#2-interval class 3,0.25,100.0
Chord {F-sharp in octave 2 | E-flat in octave 3} 16th,F#2-interval class 3,0.25,103.0
Chord {E-flat in octave 3 | E-flat in octave 3 | E-flat in octave 3} Zero,E-3-unison,0.0,317/3
Chord {D in octave 2 | F-sharp in octave 2 | E-flat in octave 3} 16th,D2-major-minor trichord,0.25,106.0
Chord {D in octave 2 | E-flat in octave 3} 16th,E-3-interval class 1,0.25,335/3
Chord {D in octave 2 | E-flat in octave 3} 16th,E-3-interval class 1,0.25,338/3
Chord {F-sharp in octave 2 | C-sharp in octave 2 | E-flat in octave 3} 16th,F#2-incomplete minor-seventh chord,0.25,115.0
Chord {F-sharp in octave 2 | E-flat in octave 3} 16th,F#2-interval class 3,0.25,118.0
Chord {D in octave 2 | E-flat in octave 3} 16th,E-3-interval class 1,0.25,356/3
Chord {F-sharp in octave 2 | D in octave 2} 16th,D2-interval class 4,0.25,119.0
Chord {F-sharp in octave 2 | C-sharp in octave 2} 16th,F#2-interval class 5,0.25,121.0
Chord {D in octave 2 | E-flat in octave 3} 16th,E-3-interval class 1,0.25,371/3
Chord {C in octave 2 | E-flat in octave 3} 16th,C2-interval class 3,0.25,126.0
Chord {F-sharp in octave 2 | E-flat in octave 3} 16th,F#2-interval class 3,0.25,127.0
Chord {D in octave 2 | E-flat in octave 3} 16th,E-3-interval class 1,0.25,392/3
Chord {D in octave 2 | E-flat in octave 3} 16th,E-3-interval class 1,0.25,407/3
Chord {F-sharp in octave 2 | C-sharp in octave 2} 16th,F#2-interval class 5,0.25,139.0
Chord {D in octave 2 | E-flat in octave 3} Zero,E-3-interval class 1,0.0,425/3
Chord {E-flat in octave 3 | E-flat in octave 3} Zero,E-3-unison,0.0,425/3
Chord {F-sharp in octave 2 | E-flat in octave 3} 16th,F#2-interval class 3,0.25,142.0
Chord {F-sharp in octave 2 | C-sharp in octave 2} 16th,F#2-interval class 5,0.25,145.0
Chord {F-sharp in octave 2 | E-flat in octave 3} 16th,F#2-interval class 3,0.25,148.0
Chord {F-sharp in octave 2 | E-flat in octave 3} 16th,F#2-interval class 3,0.25,151.0
Chord {E-flat in octave 3 | E-flat in octave 3} Zero,E-3-unison,0.0,461/3
Chord {D in octave 2 | F-sharp in octave 2 | E-flat in octave 3} 16th,D2-major-minor trichord,0.25,154.0
Chord {D in octave 2 | E-flat in octave 3} 16th,E-3-interval class 1,0.25,479/3
Chord {D in octave 2 | E-flat in octave 3} 16th,E-3-interval class 1,0.25,482/3
Chord {D in octave 2 | E-flat in octave 3} 16th,E-3-interval class 1,0.25,485/3
Chord {F-sharp in octave 2 | C-sharp in octave 2 | E-flat in octave 3} 16th,F#2-incomplete minor-seventh chord,0.25,163.0
Chord {F-sharp in octave 2 | E-flat in octave 3} 16th,F#2-interval class 3,0.25,166.0
Chord {D in octave 2 | E-flat in octave 3} 16th,E-3-interval class 1,0.25,500/3
Chord {F-sharp in octave 2 | D in octave 2} 16th,D2-interval class 4,0.25,167.0
Chord {F-sharp in octave 2 | C-sharp in octave 2} 16th,F#2-interval class 5,0.25,169.0
Chord {D in octave 2 | E-flat in octave 3} 16th,E-3-interval class 1,0.25,515/3
Chord {C in octave 2 | E-flat in octave 3} 16th,C2-interval class 3,0.25,174.0
Chord {F-sharp in octave 2 | E-flat in octave 3} 16th,F#2-interval class 3,0.25,175.0
Chord {D in octave 2 | E-flat in octave 3} 16th,E-3-interval class 1,0.25,533/3
Chord {D in octave 2 | E-flat in octave 3} 16th,E-3-interval class 1,0.25,536/3
Chord {D in octave 2 | E-flat in octave 3} 16th,E-3-interval class 1,0.25,551/3
Chord {F-sharp in octave 2 | C-sharp in octave 2} 16th,F#2-interval class 5,0.25,187.0
Chord {F-sharp in octave 2 | E-flat in octave 3} 16th,F#2-interval class 3,0.25,190.0
Chord {F-sharp in octave 2 | C-sharp in octave 2} 16th,F#2-interval class 5,0.25,193.0
Chord {F-sharp in octave 2 | E-flat in octave 3} 16th,F#2-interval class 3,0.25,196.0
Chord {D in octave 2 | E-flat in octave 3} 16th,E-3-interval class 1,0.25,590/3
Chord {F-sharp in octave 2 | E-flat in octave 3} 16th,F#2-interval class 3,0.25,199.0
Chord {D in octave 2 | F-sharp in octave 2 | E-flat in octave 3} 16th,D2-major-minor trichord,0.25,202.0
