743.0
4/4
FullName,CommonName,Len,Offset
Chord {B in octave 4 | E in octave 5} Whole tied to Double Dotted Quarter (5 3/4 total QL),E5-interval class 5,5.75,16.0
Chord {F in octave 3 | A in octave 4 | C in octave 4 | D in octave 4} Eighth,D4-minor seventh chord,0.5,24.0
Chord {F in octave 3 | A in octave 4 | C in octave 4 | D in octave 4} Breve Triplet (5 1/3 QL),D4-minor seventh chord,16/3,25.5
Chord {F in octave 3 | A in octave 4 | C in octave 4 | D in octave 4} Eighth,D4-minor seventh chord,0.5,32.0
Chord {F in octave 3 | A in octave 4 | C in octave 4 | D in octave 4} Breve Triplet (5 1/3 QL),D4-minor seventh chord,16/3,33.5
Chord {A in octave 3 | C in octave 4 | D in octave 4 | F in octave 4} Eighth,D4-minor seventh chord,0.5,40.0
Chord {A in octave 3 | C in octave 4 | D in octave 4 | F in octave 4} Breve Triplet (5 1/3 QL),D4-minor seventh chord,16/3,41.5
Chord {A in octave 3 | C in octave 5 | D in octave 4 | F in octave 4} Eighth,D4-minor seventh chord,0.5,48.0
Chord {A in octave 3 | C in octave 5 | D in octave 4 | F in octave 4} Breve Triplet (5 1/3 QL),D4-minor seventh chord,16/3,49.5
Chord {F in octave 4 | B in octave 4} Whole tied to Double Dotted Quarter (5 3/4 total QL),B4-tritone,5.75,56.0
Chord {D in octave 4 | F in octave 4 | G-sharp in octave 3 | C in octave 5} Whole tied to Half tied to Eighth (6 1/2 total QL),D4-half-diminished seventh chord,6.5,64.0
Chord {G-sharp in octave 3 | C in octave 5 | E-flat in octave 4 | F in octave 4} Eighth,C5-minor seventh chord,0.5,76.5
Chord {G in octave 3 | B in octave 4 | D in octave 4 | E in octave 4} Half tied to 16th (2 1/4 total QL),E4-minor seventh chord,2.25,77.0
Chord {G in octave 3 | B in octave 4 | D in octave 4 | E in octave 4} Eighth,E4-minor seventh chord,0.5,80.0
Chord {G in octave 3 | B in octave 4 | D in octave 4 | E in octave 4} Breve Triplet (5 1/3 QL),E4-minor seventh chord,16/3,81.5
Chord {E in octave 3 | F-sharp in octave 4 | A in octave 3 | C in octave 4} Eighth,F#4-half-diminished seventh chord,0.5,88.0
Chord {E in octave 3 | F-sharp in octave 4 | A in octave 3 | C in octave 4} Breve Triplet (5 1/3 QL),F#4-half-diminished seventh chord,16/3,89.5
Chord {F in octave 3 | G in octave 4 | B-flat in octave 3 | C-sharp in octave 4} Eighth,G4-half-diminished seventh chord,0.5,100.5
Chord {E in octave 3 | F-sharp in octave 4 | A in octave 3 | C in octave 4} Half tied to 16th (2 1/4 total QL),F#4-half-diminished seventh chord,2.25,101.0
Chord {E-flat in octave 3 | F in octave 3 | G-sharp in octave 3 | C in octave 4} Whole tied to Half tied to Eighth (6 1/2 total QL),C4-minor seventh chord,6.5,104.0
Chord {B-flat in octave 3 | D in octave 4 | F in octave 3 | G in octave 4} Eighth,G4-minor seventh chord,0.5,120.0
Chord {B-flat in octave 3 | D in octave 4 | F in octave 3 | G in octave 4} Breve Triplet (5 1/3 QL),G4-minor seventh chord,16/3,121.5
Chord {G in octave 4 | D in octave 5} Whole tied to Double Dotted Quarter (5 3/4 total QL),G4-interval class 5,5.75,128.0
Chord {G in octave 4 | D in octave 5} Whole tied to Double Dotted Quarter (5 3/4 total QL),G4-interval class 5,5.75,144.0
Chord {B in octave 4 | E in octave 5} Whole tied to Double Dotted Quarter (5 3/4 total QL),E5-interval class 5,5.75,152.0
Chord {D in octave 4 | A in octave 4} Whole tied to Double Dotted Quarter (5 3/4 total QL),D4-interval class 5,5.75,168.0
