392.0
4/4
FullName,CommonName,Len,Offset
Chord {G in octave 3 | B in octave 4 | C in octave 4 | E in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),C4-major seventh chord,10/3,0.0
Chord {C in octave 4 | E in octave 4 | F in octave 3 | A in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),F3-major seventh chord,10/3,4.0
Chord {A in octave 4 | F in octave 3 | B in octave 3 | D in octave 4} Whole,B3-half-diminished seventh chord,4.0,7.5
Chord {B in octave 3 | D in octave 4 | E in octave 3 | G in octave 4} Quarter tied to 16th (1 1/4 total QL),E3-minor seventh chord,1.25,12.5
Chord {B-flat in octave 3 | D in octave 4 | E in octave 3 | G in octave 4} Quarter tied to 16th (1 1/4 total QL),E3-half-diminished seventh chord,1.25,14.5
Chord {G in octave 5 | E in octave 4 | A in octave 4 | C in octave 5} Double Dotted Half,A4-minor seventh chord,3.5,16.0
Chord {C in octave 4 | E in octave 4 | F in octave 3 | A in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),F3-major seventh chord,5/3,20.0
Chord {A in octave 3 | B in octave 3 | D in octave 4 | F in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),B3-half-diminished seventh chord,5/3,22.0
Chord {D in octave 4 | F in octave 4 | G-sharp in octave 3 | C in octave 5} Whole Tuplet of 6/5ths (3 1/3 QL),D4-half-diminished seventh chord,10/3,24.0
Chord {G in octave 3 | A in octave 4 | C in octave 4 | E in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),A4-minor seventh chord,5/3,28.0
Chord {G in octave 3 | B-flat in octave 4 | C-sharp in octave 4 | F in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),G3-half-diminished seventh chord,5/3,30.0
Chord {C in octave 4 | D in octave 5 | A in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),D5-minor seventh chord,1/3,34.5
Chord {C in octave 4 | E in octave 4 | F in octave 3 | A in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),F3-major seventh chord,5/3,36.0
Chord {F in octave 3 | A in octave 4 | B in octave 3 | E in octave 4} Quarter tied to 16th (1 1/4 total QL),F3-minor-second quartal tetrachord,1.25,38.5
Chord {D in octave 4 | E in octave 4 | G in octave 3 | B in octave 3} Whole Tuplet of 6/5ths (3 1/3 QL),E4-minor seventh chord,10/3,40.0
Chord {G in octave 3 | A in octave 4 | C in octave 4 | E in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),A4-minor seventh chord,10/3,44.0
Chord {C in octave 4 | D in octave 5 | A in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),D5-minor seventh chord,1/3,50.5
Chord {B in octave 3 | D in octave 5 | A in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),B3-half-diminished seventh chord,1/3,54.5
Chord {B in octave 3 | D in octave 5 | G in octave 4 | E in octave 4} Eighth Triplet (1/3 QL),E4-minor seventh chord,1/3,58.5
Chord {A in octave 3 | B in octave 3 | D in octave 4 | F-sharp in octave 4} Quarter tied to 16th (1 1/4 total QL),B3-minor seventh chord,1.25,60.5
Chord {D in octave 4 | G in octave 4 | G-sharp in octave 3 | C in octave 5} Quarter tied to 16th (1 1/4 total QL),C5-minor-second quartal tetrachord,1.25,62.5
Chord {G in octave 3 | A in octave 4 | C in octave 4 | E in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),A4-minor seventh chord,10/3,64.0
Chord {D in octave 5 | C in octave 4 | F in octave 4 | A in octave 4} Double Dotted Half,D5-minor seventh chord,3.5,68.0
Chord {B in octave 3 | D in octave 5 | A in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),B3-half-diminished seventh chord,1/3,74.5
Chord {B in octave 3 | D in octave 4 | E in octave 3 | G in octave 3} Quarter tied to 16th (1 1/4 total QL),E3-minor seventh chord,1.25,76.5
Chord {B-flat in octave 3 | D in octave 4 | E in octave 3 | A in octave 3} Quarter tied to 16th (1 1/4 total QL),B-3-minor-second quartal tetrachord,1.25,78.5
Chord {A in octave 3 | C in octave 5 | G in octave 4 | E in octave 4} Eighth Triplet (1/3 QL),A3-minor seventh chord,1/3,82.5
Chord {C in octave 4 | E in octave 4 | F in octave 3 | A in octave 4} Quarter tied to 16th (1 1/4 total QL),F3-major seventh chord,1.25,84.5
Chord {A in octave 3 | B in octave 3 | D in octave 4 | F in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),B3-half-diminished seventh chord,5/3,86.0
Chord {F in octave 5 | D in octave 4 | G-sharp in octave 4 | B in octave 4} Double Dotted Half,G#4-diminished seventh chord,3.5,88.0
Chord {G in octave 3 | A in octave 3 | C in octave 4 | E in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),A3-minor seventh chord,5/3,92.0
Chord {G in octave 3 | B-flat in octave 4 | C-sharp in octave 4 | E in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),C#4-diminished seventh chord,5/3,94.0
Chord {C in octave 4 | D in octave 5 | A in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),D5-minor seventh chord,1/3,98.5
Chord {E-flat in octave 5 | C in octave 4 | F-sharp in octave 4 | A in octave 4} Double Dotted Half,F#4-diminished seventh chord,3.5,100.0
Chord {E in octave 5 | D in octave 4 | G in octave 4 | B-flat in octave 4} Double Dotted Half,E5-half-diminished seventh chord,3.5,104.0
Chord {A in octave 4 | G in octave 3 | C-sharp in octave 4 | E in octave 4} Double Dotted Half,A4-dominant seventh chord,3.5,108.0
