1032.0
4/4
FullName,CommonName,Len,Offset
Chord {E in octave 2 | B-flat in octave 2} 16th,E2-tritone,0.25,18.0
Chord {C-sharp in octave 3 | B in octave 1} 16th,C#3-interval class 2,0.25,36.0
Chord {C-sharp in octave 3 | B in octave 1} 16th,C#3-interval class 2,0.25,84.0
Chord {F-sharp in octave 2 | C-sharp in octave 2} 16th,F#2-interval class 5,0.25,135.0
Chord {F-sharp in octave 2 | B in octave 1} 16th,B1-interval class 5,0.25,136.0
Chord {F-sharp in octave 2 | C-sharp in octave 2} 16th,F#2-interval class 5,0.25,139.0
Chord {F-sharp in octave 2 | B in octave 1} 16th,B1-interval class 5,0.25,140.0
Chord {F-sharp in octave 2 | C-sharp in octave 2} 16th,F#2-interval class 5,0.25,143.0
Chord {F-sharp in octave 2 | B in octave 1} 16th,B1-interval class 5,0.25,144.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,146.0
Chord {F-sharp in octave 2 | C-sharp in octave 2} 16th,F#2-interval class 5,0.25,147.0
Chord {F-sharp in octave 2 | B in octave 1} 16th,B1-interval class 5,0.25,148.0
Chord {F-sharp in octave 2 | C-sharp in octave 2} 16th,F#2-interval class 5,0.25,151.0
Chord {F-sharp in octave 2 | B in octave 1} 16th,B1-interval class 5,0.25,152.0
Chord {F-sharp in octave 2 | C-sharp in octave 2} 16th,F#2-interval class 5,0.25,155.0
Chord {F-sharp in octave 2 | B in octave 1} 16th,B1-interval class 5,0.25,156.0
Chord {F-sharp in octave 2 | C-sharp in octave 2} 16th,F#2-interval class 5,0.25,159.0
Chord {F-sharp in octave 2 | B in octave 1} 16th,B1-interval class 5,0.25,160.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,162.0
Chord {F-sharp in octave 2 | C-sharp in octave 2} 16th,F#2-interval class 5,0.25,163.0
Chord {F-sharp in octave 2 | B in octave 1} 16th,B1-interval class 5,0.25,164.0
Chord {F-sharp in octave 2 | C-sharp in octave 2} 16th,F#2-interval class 5,0.25,167.0
Chord {F-sharp in octave 2 | B in octave 1} 16th,B1-interval class 5,0.25,168.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,170.0
Chord {F-sharp in octave 2 | C-sharp in octave 2} 16th,F#2-interval class 5,0.25,171.0
Chord {F-sharp in octave 2 | B in octave 1} 16th,B1-interval class 5,0.25,172.0
Chord {F-sharp in octave 2 | C-sharp in octave 2} 16th,F#2-interval class 5,0.25,175.0
Chord {F-sharp in octave 2 | B in octave 1} 16th,B1-interval class 5,0.25,176.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,178.0
Chord {B-flat in octave 2 | E in octave 2} 16th,E2-tritone,0.25,179.0
Chord {C-sharp in octave 3 | F-sharp in octave 2 | B in octave 1} 16th,B1-quartal trichord,0.25,180.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,182.0
Chord {F-sharp in octave 2 | B in octave 1} 16th,B1-interval class 5,0.25,184.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,186.0
Chord {E in octave 2 | F-sharp in octave 2} 16th,F#2-interval class 2,0.25,187.0
Chord {F-sharp in octave 2 | B in octave 1} 16th,B1-interval class 5,0.25,188.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,190.0
Chord {F-sharp in octave 2 | B in octave 1} 16th,B1-interval class 5,0.25,192.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,194.0
Chord {E in octave 2 | F-sharp in octave 2} 16th,F#2-interval class 2,0.25,195.0
Chord {F-sharp in octave 2 | B in octave 1} 16th,B1-interval class 5,0.25,196.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,198.0
Chord {F-sharp in octave 2 | B in octave 1} 16th,B1-interval class 5,0.25,200.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,202.0
Chord {E in octave 2 | F-sharp in octave 2} 16th,F#2-interval class 2,0.25,203.0
Chord {F-sharp in octave 2 | B in octave 1} 16th,B1-interval class 5,0.25,204.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,206.0
Chord {F-sharp in octave 2 | B in octave 1} 16th,B1-interval class 5,0.25,208.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,210.0
Chord {E in octave 2 | F-sharp in octave 2} 16th,F#2-interval class 2,0.25,211.0
Chord {F-sharp in octave 2 | B in octave 1} 16th,B1-interval class 5,0.25,212.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,214.0
Chord {F-sharp in octave 2 | B in octave 1} 16th,B1-interval class 5,0.25,216.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,218.0
Chord {E in octave 2 | F-sharp in octave 2} 16th,F#2-interval class 2,0.25,219.0
Chord {F-sharp in octave 2 | B in octave 1} 16th,B1-interval class 5,0.25,220.0
Chord {B-flat in octave 2 | B in octave 1} 16th,B-2-interval class 1,0.25,222.0
Chord {B-flat in octave 2 | B in octave 1} 16th,B-2-interval class 1,0.25,224.0
Chord {G in octave 3 | B in octave 1} 16th,G3-interval class 4,0.25,226.5
Chord {C-sharp in octave 3 | B in octave 1} 16th,C#3-interval class 2,0.25,228.0
Chord {E in octave 2 | B in octave 1} 16th,E2-interval class 5,0.25,322.0
Chord {G in octave 3 | B in octave 1} 16th,G3-interval class 4,0.25,323.75
Chord {B-flat in octave 2 | E in octave 2} 16th,E2-tritone,0.25,465.0
Chord {E in octave 2 | B-flat in octave 2 | B in octave 1} 16th,E2-tritone-fourth,0.25,466.0
Chord {E in octave 2 | B in octave 1} 16th,E2-interval class 5,0.25,467.5
Chord {C-sharp in octave 3 | E in octave 2} 16th,C#3-interval class 3,0.25,469.0
Chord {E in octave 2 | F-sharp in octave 2} 16th,F#2-interval class 2,0.25,499.0
Chord {F-sharp in octave 2 | B in octave 1} 16th,B1-interval class 5,0.25,499.5
Chord {E in octave 2 | F-sharp in octave 2} 16th,F#2-interval class 2,0.25,501.0
Chord {F-sharp in octave 2 | B in octave 1} 16th,B1-interval class 5,0.25,501.5
Chord {F-sharp in octave 2 | E-flat in octave 3 | B in octave 1} 16th,E-3-major triad,0.25,504.0
Chord {E in octave 2 | F-sharp in octave 2 | E-flat in octave 3} 16th,F#2-phrygian trichord,0.25,505.0
Chord {F-sharp in octave 2 | B in octave 1} 16th,B1-interval class 5,0.25,505.5
Chord {F-sharp in octave 2 | E-flat in octave 3 | B in octave 1} 16th,E-3-major triad,0.25,506.0
Chord {E in octave 2 | F-sharp in octave 2 | E-flat in octave 3} 16th,F#2-phrygian trichord,0.25,507.0
Chord {E-flat in octave 3 | F-sharp in octave 2 | B in octave 1} 16th,E-3-major triad,0.25,508.0
Chord {E-flat in octave 3 | E in octave 2 | F-sharp in octave 2} 16th,F#2-phrygian trichord,0.25,509.0
Chord {F-sharp in octave 2 | B in octave 1} 16th,B1-interval class 5,0.25,509.5
Chord {E-flat in octave 3 | B-flat in octave 2 | B in octave 1} 16th,E-3-incomplete major-seventh chord,0.25,510.0
