465.5
4/4
FullName,CommonName,Len,Offset
Chord {G-sharp in octave 2 | A in octave 1} Dotted Eighth,A1-interval class 1,0.75,136.75
Chord {G in octave 1 | F in octave 2} Dotted Eighth,G1-interval class 2,0.75,137.75
Chord {G-sharp in octave 2 | A in octave 1} Dotted Eighth,A1-interval class 1,0.75,264.75
Chord {G in octave 1 | F in octave 2} Dotted Eighth,G1-interval class 2,0.75,265.75
Chord {G in octave 5 | B-flat in octave 4} 16th,G5-interval class 3,0.25,77/3
Chord {G in octave 4 | F in octave 5 | D in octave 5 | A in octave 4} Eighth,D5-perfect-fourth minor tetrachord,0.5,80/3
Chord {G in octave 4 | F in octave 5 | D in octave 5} Eighth Triplet (1/3 QL),G4-incomplete dominant-seventh chord,1/3,34.5
Chord {F in octave 4 | C in octave 5 | E-flat in octave 5 | G-sharp in octave 4} 16th,C5-minor seventh chord,0.25,122/3
Chord {G-sharp in octave 4 | C-sharp in octave 5} Eighth Triplet (1/3 QL),C#5-interval class 5,1/3,42.5
Chord {C in octave 5 | A in octave 4} Eighth,A4-interval class 3,0.5,43.0
Chord {G in octave 4 | D in octave 5 | F in octave 5} Eighth,G4-incomplete dominant-seventh chord,0.5,58.5
Chord {D in octave 5 | G in octave 4 | A in octave 4} Eighth Triplet (1/3 QL),G4-quartal trichord,1/3,66.5
Chord {F in octave 4 | G in octave 4 | B-flat in octave 4 | E-flat in octave 5} 16th,E-5-major-second major tetrachord,0.25,72.5
Chord {G-sharp in octave 5 | B-flat in octave 4} Quarter tied to 16th (1 1/4 total QL),G#5-interval class 2,1.25,74.0
Chord {E in octave 4 | F-sharp in octave 4 | A in octave 4} Eighth,F#4-incomplete minor-seventh chord,0.5,89.0
Chord {A in octave 4 | F-sharp in octave 4 | B in octave 3 | D in octave 4} Eighth Triplet (1/3 QL),B3-minor seventh chord,1/3,269/3
Chord {F-sharp in octave 4 | E in octave 4 | A in octave 4 | D in octave 5} 16th,D5-major-second major tetrachord,0.25,90.5
Chord {B in octave 3 | D in octave 4 | F-sharp in octave 4} Eighth Triplet (1/3 QL),B3-minor triad,1/3,90.75
Chord {A in octave 4 | G in octave 4 | D in octave 5} Eighth,G4-quartal trichord,0.5,106.5
Chord {C in octave 5 | G in octave 5} Eighth Triplet (1/3 QL),C5-interval class 5,1/3,121.5
Chord {F in octave 5 | A in octave 4 | D in octave 5 | G in octave 4} Eighth,D5-perfect-fourth minor tetrachord,0.5,122.5
Chord {B-flat in octave 4 | E-flat in octave 5 | C in octave 5 | G-sharp in octave 5} Eighth,C5-major-second major tetrachord,0.5,136.5
Chord {C in octave 5 | G in octave 4 | E-flat in octave 5 | A in octave 4} Eighth Triplet (1/3 QL),A4-half-diminished seventh chord,1/3,138.75
Chord {C in octave 5 | F in octave 5 | G-sharp in octave 5 | D in octave 5} Zero,D5-half-diminished seventh chord,0.0,139.75
Chord {G in octave 5 | B-flat in octave 4} 16th,G5-interval class 3,0.25,461/3
Chord {G in octave 4 | F in octave 5 | D in octave 5 | A in octave 4} Eighth,D5-perfect-fourth minor tetrachord,0.5,464/3
Chord {G in octave 4 | F in octave 5 | D in octave 5} Eighth Triplet (1/3 QL),G4-incomplete dominant-seventh chord,1/3,162.5
Chord {F in octave 4 | C in octave 5 | E-flat in octave 5 | G-sharp in octave 4} 16th,C5-minor seventh chord,0.25,506/3
Chord {G-sharp in octave 4 | C-sharp in octave 5} Eighth Triplet (1/3 QL),C#5-interval class 5,1/3,170.5
Chord {C in octave 5 | A in octave 4} Eighth,A4-interval class 3,0.5,171.0
Chord {G in octave 4 | D in octave 5 | F in octave 5} Eighth,G4-incomplete dominant-seventh chord,0.5,186.5
Chord {D in octave 5 | G in octave 4 | A in octave 4} Eighth Triplet (1/3 QL),G4-quartal trichord,1/3,194.5
Chord {F in octave 4 | G in octave 4 | B-flat in octave 4 | E-flat in octave 5} 16th,E-5-major-second major tetrachord,0.25,200.5
