652.0
4/4
FullName,CommonName,Len,Offset
Chord {D in octave 4 | F in octave 4 | G in octave 3 | B-flat in octave 4} Breve,G3-minor seventh chord,8.0,4.0
Chord {C-sharp in octave 4 | F in octave 4 | F-sharp in octave 3 | B-flat in octave 4} Whole,B-4-major seventh chord,4.0,12.0
Chord {F-sharp in octave 3 | B-flat in octave 4 | C in octave 4 | F in octave 4 | D in octave 4} Whole,B-4-enigmatic pentachord,4.0,16.0
Chord {G in octave 3 | B-flat in octave 4 | C in octave 4 | E-flat in octave 4} Breve,C4-minor seventh chord,8.0,20.0
Chord {F-sharp in octave 3 | G-sharp in octave 4 | B in octave 3 | E-flat in octave 4} Whole,E-4-minor seventh chord,4.0,28.0
Chord {B in octave 3 | E-flat in octave 4 | F in octave 3 | B-flat in octave 3} Whole,E-4-minor-second quartal tetrachord,4.0,32.0
Chord {D in octave 4 | F in octave 4 | G in octave 3 | B-flat in octave 4} Whole,G3-minor seventh chord,4.0,36.0
Chord {E in octave 4 | F-sharp in octave 4 | A in octave 3 | C-sharp in octave 4} Half,F#4-minor seventh chord,2.0,40.0
Chord {A in octave 3 | C-sharp in octave 5 | E-flat in octave 4 | G-sharp in octave 4} Half,A3-minor-second quartal tetrachord,2.0,42.0
Chord {E-flat in octave 4 | G in octave 4 | G-sharp in octave 3 | C in octave 5} Whole,C5-major seventh chord,4.0,44.0
Chord {G-sharp in octave 3 | C in octave 5 | D in octave 4 | G in octave 4} Whole,C5-minor-second quartal tetrachord,4.0,48.0
Chord {D in octave 4 | F in octave 4 | G in octave 3 | B-flat in octave 3} Whole,G3-minor seventh chord,4.0,52.0
Chord {E in octave 3 | G-sharp in octave 4 | A in octave 3 | C-sharp in octave 4} Half,A3-major seventh chord,2.0,56.0
Chord {A in octave 3 | C-sharp in octave 5 | E-flat in octave 4 | F-sharp in octave 4} Half,F#4-half-diminished seventh chord,2.0,58.0
Chord {E-flat in octave 4 | G in octave 4 | G-sharp in octave 3 | C in octave 4} Whole,C4-major seventh chord,4.0,60.0
Chord {G-sharp in octave 3 | C in octave 5 | D in octave 4 | G in octave 4} Whole,C5-minor-second quartal tetrachord,4.0,64.0
Chord {D in octave 4 | F in octave 4 | G in octave 3 | B-flat in octave 4} Breve,G3-minor seventh chord,8.0,68.0
Chord {C-sharp in octave 4 | E-flat in octave 4 | F-sharp in octave 3 | B-flat in octave 4} Whole,C#4-minor seventh chord,4.0,76.0
Chord {F-sharp in octave 3 | B-flat in octave 4 | C in octave 4 | F in octave 4 | D in octave 4} Whole,B-4-enigmatic pentachord,4.0,80.0
Chord {G in octave 3 | B-flat in octave 4 | C in octave 4 | E-flat in octave 4} Breve,C4-minor seventh chord,8.0,84.0
Chord {F-sharp in octave 3 | G-sharp in octave 4 | B in octave 3 | E-flat in octave 4} Whole,E-4-minor seventh chord,4.0,92.0
Chord {B in octave 3 | E-flat in octave 4 | F in octave 3 | G-sharp in octave 4} Whole,E-4-half-diminished seventh chord,4.0,96.0
Chord {D in octave 4 | F in octave 4 | G in octave 3 | B-flat in octave 4} Whole,G3-minor seventh chord,4.0,100.0
Chord {E in octave 4 | G-sharp in octave 4 | A in octave 3 | C-sharp in octave 5} Half,A3-major seventh chord,2.0,104.0
Chord {A in octave 3 | C-sharp in octave 4 | E-flat in octave 4 | G-sharp in octave 4} Half,A3-minor-second quartal tetrachord,2.0,106.0
Chord {E-flat in octave 4 | F in octave 4 | G-sharp in octave 3 | C in octave 5} Whole,C5-minor seventh chord,4.0,108.0
Chord {G-sharp in octave 3 | C in octave 5 | D in octave 4 | G in octave 4} Whole,C5-minor-second quartal tetrachord,4.0,112.0
Chord {F in octave 4 | G in octave 4 | B-flat in octave 3 | D in octave 4} Half,G4-minor seventh chord,2.0,116.0
Chord {E in octave 4 | G-sharp in octave 4 | A in octave 3 | C-sharp in octave 5} Half,A3-major seventh chord,2.0,118.0
Chord {E-flat in octave 4 | F in octave 4 | G-sharp in octave 3 | C in octave 4} Half,C4-minor seventh chord,2.0,120.0
Chord {G-sharp in octave 3 | B-flat in octave 4 | D in octave 4 | F in octave 4} Half,G#3-dominant seventh chord,2.0,122.0
Chord {D in octave 4 | F in octave 4 | G in octave 3 | B-flat in octave 4} Whole,G3-minor seventh chord,4.0,124.0
