464.0
4/4
FullName,CommonName,Len,Offset
Chord {G in octave 3 | B-flat in octave 4 | C-sharp in octave 4 | F in octave 4} Eighth,G3-half-diminished seventh chord,0.5,4.5
Chord {F-sharp in octave 3 | A in octave 4 | C in octave 4 | E in octave 4} Half tied to 16th (2 1/4 total QL),F#3-half-diminished seventh chord,2.25,5.0
Chord {A in octave 3 | B in octave 4 | F in octave 4 | D in octave 4} Eighth Triplet (1/3 QL),B4-half-diminished seventh chord,1/3,10.5
Chord {E in octave 5 | D in octave 4 | G-sharp in octave 4 | B in octave 4} Double Dotted Half,E5-dominant seventh chord,3.5,12.0
Chord {G in octave 3 | B in octave 4 | C in octave 4 | E in octave 4} Quarter tied to 16th (1 1/4 total QL),C4-major seventh chord,1.25,16.5
Chord {C in octave 4 | D in octave 4 | F-sharp in octave 3 | A in octave 3} Half Tuplet of 6/5ths (1 2/3 QL),D4-dominant seventh chord,5/3,18.0
Chord {F in octave 3 | G in octave 3 | B-flat in octave 3 | D in octave 4} Quarter tied to 16th (1 1/4 total QL),G3-minor seventh chord,1.25,20.5
Chord {B-flat in octave 3 | C-sharp in octave 4 | E in octave 3 | G-sharp in octave 3} Half Tuplet of 6/5ths (1 2/3 QL),C#4-half-diminished seventh chord,5/3,22.0
Chord {D in octave 3 | F in octave 3 | A in octave 3 | C in octave 4} Whole tied to Half tied to Eighth (6 1/2 total QL),D3-minor seventh chord,6.5,24.0
Chord {F-sharp in octave 4 | E in octave 3 | A in octave 3 | C in octave 4} Double Dotted Half,F#4-half-diminished seventh chord,3.5,32.0
Chord {A in octave 3 | C in octave 5 | E-flat in octave 4 | G in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),A3-half-diminished seventh chord,10/3,36.0
Chord {E in octave 5 | D in octave 4 | G in octave 4 | B-flat in octave 4} Double Dotted Half,E5-half-diminished seventh chord,3.5,40.0
Chord {B-flat in octave 4 | G in octave 3 | C-sharp in octave 4 | E in octave 4} Double Dotted Half,C#4-diminished seventh chord,3.5,44.0
Chord {D in octave 5 | C in octave 4 | F in octave 4 | G-sharp in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),D5-half-diminished seventh chord,10/3,48.0
Chord {A in octave 3 | B in octave 3 | D in octave 4 | F in octave 4} Half,B3-half-diminished seventh chord,2.0,51.5
Chord {D in octave 4 | F in octave 4 | G-sharp in octave 3 | C in octave 5} Half Tuplet of 6/5ths (1 2/3 QL),D4-half-diminished seventh chord,5/3,54.0
Chord {F-sharp in octave 3 | A in octave 4 | C in octave 4 | E in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),F#3-half-diminished seventh chord,10/3,56.0
Chord {G-sharp in octave 3 | C in octave 5 | F in octave 4 | D in octave 4} Eighth Triplet (1/3 QL),D4-half-diminished seventh chord,1/3,62.5
Chord {F-sharp in octave 3 | A in octave 3 | C in octave 4 | E in octave 4} Whole tied to Half tied to Eighth (6 1/2 total QL),F#3-half-diminished seventh chord,6.5,64.0
Chord {A in octave 3 | B in octave 4 | F in octave 4 | D in octave 4} Eighth Triplet (1/3 QL),B4-half-diminished seventh chord,1/3,74.5
Chord {G in octave 5 | D in octave 4 | G-sharp in octave 4 | B in octave 4} Double Dotted Half,G5-major-diminished tetrachord,3.5,76.0
Chord {G in octave 3 | B in octave 4 | C in octave 4 | E in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),C4-major seventh chord,5/3,80.0
Chord {C in octave 4 | E in octave 4 | F-sharp in octave 3 | B in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),C4-minor-second quartal tetrachord,5/3,82.0
Chord {F in octave 3 | G in octave 3 | B-flat in octave 3 | D in octave 4} Half Triplet (1 1/3 QL),G3-minor seventh chord,4/3,84.0
Chord {B-flat in octave 3 | D in octave 4 | E in octave 3 | A in octave 3} Half,B-3-minor-second quartal tetrachord,2.0,85.5
Chord {C in octave 5 | F in octave 5} Whole tied to Double Dotted Quarter (5 3/4 total QL),F5-interval class 5,5.75,88.0
Chord {A in octave 3 | C in octave 5 | F-sharp in octave 4 | E in octave 4} Eighth Triplet (1/3 QL),F#4-half-diminished seventh chord,1/3,98.5
Chord {A in octave 3 | C in octave 4 | E-flat in octave 4 | G in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),A3-half-diminished seventh chord,10/3,100.0
Chord {D in octave 4 | E in octave 4 | G in octave 3 | B-flat in octave 3} Whole Tuplet of 6/5ths (3 1/3 QL),E4-half-diminished seventh chord,10/3,104.0
Chord {B-flat in octave 4 | G in octave 3 | C-sharp in octave 4 | E in octave 4} Double Dotted Half,C#4-diminished seventh chord,3.5,108.0
Chord {C in octave 4 | D in octave 5 | G-sharp in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),D5-half-diminished seventh chord,1/3,114.5
