659.25
4/4
FullName,CommonName,Len,Offset
Chord {B-flat in octave 1 | B-flat in octave 2} Whole Tuplet of 12/7ths (2 1/3 QL),B-1-unison,7/3,34.75
Chord {F in octave 1 | F in octave 3} Eighth Triplet (1/3 QL),F1-unison,1/3,39.5
Chord {G in octave 1 | G in octave 2} Eighth Triplet (1/3 QL),G1-unison,1/3,46.0
Chord {D in octave 4 | G in octave 4} Zero,G4-interval class 5,0.0,48.0
Chord {C in octave 4 | E-flat in octave 4} 16th,C4-interval class 3,0.25,48.0
Chord {G-sharp in octave 3 | F in octave 4} Zero,G#3-interval class 3,0.0,58.0
Chord {B-flat in octave 3 | F in octave 4} Zero,B-3-interval class 5,0.0,175/3
Chord {G-sharp in octave 3 | D in octave 4} Eighth,G#3-tritone,0.5,60.75
Chord {G in octave 4 | G-sharp in octave 4} Zero,G4-interval class 1,0.0,90.75
Chord {B-flat in octave 2 | B-flat in octave 1} 16th,B-2-unison,0.25,100.5
Chord {A in octave 2 | A in octave 1} 16th,A2-unison,0.25,101.0
Chord {G in octave 4 | G in octave 2} 16th,G4-unison,0.25,101.5
Chord {E in octave 4 | D in octave 5} Zero,E4-interval class 2,0.0,108.25
Chord {D in octave 6 | B in octave 5 | F in octave 5} Zero,B5-diminished triad,0.0,126.25
Chord {C in octave 2 | G-sharp in octave 4} Zero,C2-interval class 4,0.0,137.0
Chord {G-sharp in octave 3 | B-flat in octave 3} 16th,G#3-interval class 2,0.25,137.0
Chord {A in octave 3 | E in octave 4 | C-sharp in octave 4} Zero,A3-major triad,0.0,138.5
Chord {C-sharp in octave 2 | G-sharp in octave 3} 16th,C#2-interval class 5,0.25,139.25
Chord {G in octave 3 | C-sharp in octave 4} Eighth,C#4-tritone,0.5,140.25
Chord {G-sharp in octave 4 | A in octave 4} Eighth Triplet (1/3 QL),A4-interval class 1,1/3,147.25
Chord {B-flat in octave 1 | B-flat in octave 2} 16th,B-1-unison,0.25,156.0
Chord {A in octave 1 | A in octave 2} 16th,A1-unison,0.25,470/3
Chord {G in octave 2 | G in octave 1} 16th,G2-unison,0.25,157.25
Chord {C in octave 4 | D in octave 4} Zero,D4-interval class 2,0.0,158.75
Chord {E in octave 4 | D in octave 5} Quarter,E4-interval class 2,1.0,163.25
Chord {B-flat in octave 4 | B-flat in octave 3} Zero,B-4-unison,0.0,165.5
Chord {B-flat in octave 4 | D in octave 5} Zero,B-4-interval class 4,0.0,500/3
Chord {C-sharp in octave 4 | B-flat in octave 3} Zero,C#4-interval class 3,0.0,170.0
Chord {E in octave 4 | A in octave 4} Zero,A4-interval class 5,0.0,170.0
Chord {B-flat in octave 3 | A in octave 4 | D in octave 4 | F in octave 4} Zero,B-3-major seventh chord,0.0,572/3
Chord {F in octave 4 | D in octave 5} Zero,D5-interval class 3,0.0,201.5
Chord {A in octave 3 | D in octave 4} 16th,D4-interval class 5,0.25,644/3
Chord {F in octave 3 | D in octave 4 | F in octave 4} 16th,D4-interval class 3,0.25,217.5
Chord {D in octave 5 | D in octave 4} 16th,D5-unison,0.25,225.0
Chord {C in octave 4 | C in octave 5} Eighth,C4-unison,0.5,682/3
Chord {C in octave 5 | E in octave 4} Eighth,C5-interval class 4,0.5,228.5
Chord {A in octave 4 | F-sharp in octave 4 | C in octave 4} Zero,F#4-diminished triad,0.0,231.75
Chord {C in octave 1 | D in octave 5} Zero,D5-interval class 2,0.0,256.75
Chord {A in octave 5 | A in octave 4} 16th,A5-unison,0.25,259.0
Chord {D in octave 4 | D in octave 5} Zero,D4-unison,0.0,266.0
Chord {F in octave 1 | F in octave 2} Quarter tied to 16th (1 1/4 total QL),F1-unison,1.25,267.0
Chord {C in octave 5 | C in octave 6} Zero,C5-unison,0.0,808/3
Chord {C-sharp in octave 5 | C-sharp in octave 6} Zero,C#5-unison,0.0,269.75
Chord {E-flat in octave 1 | D in octave 6} 16th,E-1-interval class 1,0.25,270.0
Chord {D in octave 1 | D in octave 2} Half Triplet (1 1/3 QL),D1-unison,4/3,270.5
Chord {D in octave 5 | E in octave 5} Zero,E5-interval class 2,0.0,276.25
Chord {A in octave 3 | F in octave 4} Dotted Eighth,F4-interval class 4,0.75,282.0
Chord {D in octave 4 | A in octave 3 | F in octave 4 | C in octave 4} Zero,D4-minor seventh chord,0.0,283.25
Chord {G in octave 1 | G in octave 2} Zero,G1-unison,0.0,287.75
Chord {A in octave 5 | E in octave 5} 16th,A5-interval class 5,0.25,303.75
Chord {G in octave 5 | D in octave 6} 16th,G5-interval class 5,0.25,311.25
Chord {E in octave 5 | F in octave 4} Zero,F4-interval class 1,0.0,324.5
Chord {E-flat in octave 2 | E-flat in octave 1 | E-flat in octave 5} Zero,E-2-unison,0.0,325.0
Chord {G in octave 5 | C in octave 5} Zero,C5-interval class 5,0.0,331.5
Chord {G-sharp in octave 4 | G-sharp in octave 5} Zero,G#4-unison,0.0,332.0
Chord {C in octave 2 | C in octave 3} Zero,C2-unison,0.0,332.5
Chord {G in octave 5 | C in octave 6 | C in octave 5} Zero,C6-interval class 5,0.0,333.75
Chord {A in octave 5 | D in octave 6 | D in octave 5} Zero,D6-interval class 5,0.0,335.0
Chord {C in octave 4 | E in octave 4} Eighth,C4-interval class 4,0.5,337.0
Chord {G in octave 2 | A in octave 4} Zero,A4-interval class 2,0.0,344.5
Chord {F in octave 1 | F in octave 4} Zero,F1-unison,0.0,349.5
Chord {G-sharp in octave 5 | D in octave 6} 16th,G#5-tritone,0.25,352.0
