516.25
4/4
FullName,CommonName,Len,Offset
Chord {F-sharp in octave 2 | C-sharp in octave 3} Zero,F#2-interval class 5,0.0,2.0
Chord {F-sharp in octave 2 | C-sharp in octave 3} Quarter,F#2-interval class 5,1.0,2.25
Chord {C-sharp in octave 3 | F-sharp in octave 2} Zero,F#2-interval class 5,0.0,3.25
Chord {C-sharp in octave 3 | F-sharp in octave 2} Zero,F#2-interval class 5,0.0,3.25
Chord {F-sharp in octave 2 | C-sharp in octave 3} Zero,F#2-interval class 5,0.0,10/3
Chord {C-sharp in octave 3 | F-sharp in octave 2} Zero,F#2-interval class 5,0.0,3.5
Chord {F-sharp in octave 2 | C-sharp in octave 3} Zero,F#2-interval class 5,0.0,3.5
Chord {F-sharp in octave 2 | C-sharp in octave 3} Quarter,F#2-interval class 5,1.0,11/3
Chord {D in octave 3 | F-sharp in octave 3 | C in octave 4 | E in octave 4 | B in octave 4 | D in octave 5 | D in octave 2 | D in octave 4 | D in octave 4} Half,B4-phrygian pentachord,2.0,6.0
Chord {G in octave 2 | D in octave 3 | B in octave 3 | F-sharp in octave 4 | B in octave 4 | G in octave 2 | B in octave 3 | B in octave 3} Half,G2-major seventh chord,2.0,8.0
Chord {D in octave 3 | B-flat in octave 2 | G-sharp in octave 3 | C in octave 4 | G in octave 4 | B-flat in octave 1 | G in octave 3 | G in octave 3} Dotted Quarter,G#3-phrygian pentachord,1.5,10.0
Chord {E-flat in octave 2 | B-flat in octave 2 | G in octave 3 | C in octave 4 | F in octave 4 | B-flat in octave 4 | E-flat in octave 2} Whole tied to Eighth (4 1/2 total QL),C4-major pentatonic,4.5,11.5
Chord {A in octave 2 | G in octave 3 | C in octave 4 | E in octave 4 | B in octave 4 | A in octave 1 | B in octave 3 | G in octave 4 | B in octave 3} Dotted Quarter,A2-minor-ninth chord,1.5,16.0
Chord {D in octave 3 | F-sharp in octave 3 | C in octave 4 | E-flat in octave 4 | A in octave 4 | D in octave 2 | A in octave 3 | F-sharp in octave 4 | A in octave 3} Eighth,D3-flat-ninth pentachord,0.5,17.5
Chord {G in octave 2 | D in octave 3 | B in octave 3 | E in octave 4 | A in octave 4 | D in octave 5 | G in octave 1 | D in octave 4 | A in octave 4 | D in octave 4} Half,E4-major pentatonic,2.0,20.0
Chord {B-flat in octave 2 | D in octave 3 | G-sharp in octave 3 | C in octave 4 | G in octave 4 | B-flat in octave 4 | B-flat in octave 1 | B-flat in octave 3 | G in octave 4 | B-flat in octave 3} Half,G#3-phrygian pentachord,2.0,22.0
Chord {E-flat in octave 2 | B-flat in octave 2 | G in octave 3 | D in octave 4 | G in octave 4 | E-flat in octave 2 | G in octave 3 | G in octave 4 | G in octave 3} Half,E-2-major seventh chord,2.0,24.0
Chord {F-sharp in octave 2 | E in octave 3 | G in octave 3 | E-flat in octave 3 | F-sharp in octave 4 | E-flat in octave 3} Dotted Quarter,E3-alternating tetramirror,1.5,26.0
Chord {B in octave 1 | F-sharp in octave 2 | E-flat in octave 3 | G-sharp in octave 3 | C-sharp in octave 4 | F-sharp in octave 4 | B in octave 1} Whole tied to Eighth (4 1/2 total QL),C#4-major pentatonic,4.5,27.5
Chord {F in octave 2 | G-sharp in octave 3 | C in octave 4 | E-flat in octave 4 | G in octave 4 | F in octave 2 | E-flat in octave 4 | G in octave 3 | G in octave 3} Half,C4-minor-ninth chord,2.0,32.0
Chord {B-flat in octave 2 | G-sharp in octave 3 | B in octave 3 | D in octave 4 | F in octave 4 | B-flat in octave 1 | F in octave 3 | D in octave 4 | F in octave 3} Dotted Quarter,G#3-flat-ninth pentachord,1.5,34.0
Chord {E-flat in octave 2 | B-flat in octave 2 | G in octave 3 | C in octave 4 | F in octave 4 | B-flat in octave 4 | E-flat in octave 2} Whole tied to Eighth (4 1/2 total QL),C4-major pentatonic,4.5,35.5
Chord {A in octave 2 | G in octave 3 | C in octave 4 | E in octave 4 | B in octave 4 | A in octave 1 | B in octave 3 | G in octave 4 | B in octave 3} Half,A2-minor-ninth chord,2.0,40.0
Chord {D in octave 3 | C in octave 4 | E-flat in octave 4 | A in octave 4 | D in octave 2 | A in octave 3 | F-sharp in octave 4 | A in octave 3} Dotted Quarter,D3-flat-ninth pentachord,1.5,42.0
Chord {G in octave 2 | D in octave 3 | B in octave 3 | E in octave 4 | A in octave 4 | D in octave 5 | G in octave 1} Whole tied to Eighth (4 1/2 total QL),E4-major pentatonic,4.5,43.5
Chord {C-sharp in octave 3 | E in octave 3 | B in octave 3 | E-flat in octave 4 | G-sharp in octave 4 | E-flat in octave 5 | C-sharp in octave 2 | B in octave 4 | E-flat in octave 4 | E-flat in octave 4} Half,C#3-minor-ninth chord,2.0,48.0
Chord {E in octave 3 | B-flat in octave 3 | E-flat in octave 4 | G in octave 4 | E-flat in octave 5 | F-sharp in octave 2 | C-sharp in octave 4 | B-flat in octave 4 | C-sharp in octave 4} Dotted Quarter,C#4-combinatorial I (I1),1.5,50.0
Chord {B-flat in octave 3 | E-flat in octave 4 | G-sharp in octave 4 | C-sharp in octave 5 | F-sharp in octave 5 | B in octave 1 | F-sharp in octave 4} Whole tied to Eighth (4 1/2 total QL),C#5-C all combinatorial (P6, I3, RI9),4.5,51.5
Chord {G in octave 4 | F in octave 3 | G in octave 5 | E-flat in octave 4 | G-sharp in octave 3 | C in octave 5 | F in octave 2 | G in octave 4 | C in octave 5 | G in octave 4} Half,C5-minor-ninth chord,2.0,56.0
Chord {G in octave 4 | B in octave 4 | D in octave 4 | G-sharp in octave 3 | G in octave 5 | B-flat in octave 1 | G in octave 4 | B in octave 4 | G in octave 4} Dotted Quarter,G4-major-minor-diminished pentachord,1.5,58.0
Chord {F in octave 5 | C in octave 5 | D in octave 4 | B-flat in octave 5 | G in octave 4 | E-flat in octave 2} Whole tied to Eighth (4 1/2 total QL),C5-C all combinatorial (P6, I3, RI9),4.5,59.5
Chord {B in octave 3 | F-sharp in octave 5 | E-flat in octave 5 | E in octave 4 | G-sharp in octave 4 | C-sharp in octave 2 | B in octave 4} Dotted Quarter,C#2-C all combinatorial (P6, I3, RI9),1.5,64.0
Chord {B-flat in octave 3 | G-sharp in octave 4 | E-flat in octave 5 | F-sharp in octave 5 | E in octave 4 | B-flat in octave 4 | F-sharp in octave 4 | B-flat in octave 3 | F-sharp in octave 4} Eighth,E-5-phrygian pentachord,0.5,65.5
Chord {B-flat in octave 3 | E-flat in octave 4 | G-sharp in octave 4 | C-sharp in octave 5 | F-sharp in octave 5 | B in octave 2 | F-sharp in octave 4 | B-flat in octave 4 | F-sharp in octave 4} Half,C#5-C all combinatorial (P6, I3, RI9),2.0,68.0
Chord {D in octave 3 | F-sharp in octave 3 | C in octave 4 | E in octave 4 | B in octave 4 | D in octave 5 | D in octave 2 | D in octave 4 | F-sharp in octave 4 | D in octave 4} Half,B4-phrygian pentachord,2.0,70.0
Chord {G in octave 2 | D in octave 3 | B in octave 3 | F-sharp in octave 4 | B in octave 4 | G in octave 2 | B in octave 3 | D in octave 4 | B in octave 3} Half,G2-major seventh chord,2.0,72.0
Chord {D in octave 3 | B-flat in octave 2 | G-sharp in octave 3 | C in octave 4 | G in octave 4 | B-flat in octave 1 | G in octave 3 | B-flat in octave 3 | G in octave 3} Dotted Quarter,G#3-phrygian pentachord,1.5,74.0
Chord {E-flat in octave 2 | B-flat in octave 2 | G in octave 3 | C in octave 4 | F in octave 4 | B-flat in octave 4 | E-flat in octave 2} Whole tied to Eighth (4 1/2 total QL),C4-major pentatonic,4.5,75.5
Chord {A in octave 2 | G in octave 3 | C in octave 4 | E in octave 4 | B in octave 4 | A in octave 1 | B in octave 3 | G in octave 4 | B in octave 3} Dotted Quarter,A2-minor-ninth chord,1.5,80.0
Chord {D in octave 3 | F-sharp in octave 3 | C in octave 4 | E-flat in octave 4 | A in octave 4 | D in octave 2} Half tied to Eighth (2 1/2 total QL),D3-flat-ninth pentachord,2.5,81.5
Chord {G in octave 2 | D in octave 3 | B in octave 3 | E in octave 4 | A in octave 4 | D in octave 5 | G in octave 1 | D in octave 4 | F-sharp in octave 4 | D in octave 4} Half,E4-C all combinatorial (P6, I3, RI9),2.0,84.0
Chord {B-flat in octave 2 | D in octave 3 | G-sharp in octave 3 | C in octave 4 | G in octave 4 | B-flat in octave 4 | B-flat in octave 1 | B-flat in octave 3 | D in octave 4 | B-flat in octave 3} Half,G#3-phrygian pentachord,2.0,86.0
Chord {E-flat in octave 2 | B-flat in octave 2 | G in octave 3 | D in octave 4 | G in octave 4 | E-flat in octave 2 | G in octave 3 | B-flat in octave 3 | G in octave 3} Half,E-2-major seventh chord,2.0,88.0
Chord {F-sharp in octave 2 | E in octave 3 | G in octave 3 | E-flat in octave 3 | G in octave 3 | E-flat in octave 3} Dotted Quarter,E3-alternating tetramirror,1.5,90.0
Chord {B in octave 1 | F-sharp in octave 2 | E-flat in octave 3 | G-sharp in octave 3 | C-sharp in octave 4 | F-sharp in octave 4 | B in octave 1} Whole tied to Eighth (4 1/2 total QL),C#4-major pentatonic,4.5,91.5
Chord {F in octave 2 | G-sharp in octave 3 | C in octave 4 | E-flat in octave 4 | G in octave 4 | F in octave 2 | G in octave 3 | C in octave 4 | G in octave 3} Half,C4-minor-ninth chord,2.0,96.0
Chord {B-flat in octave 2 | G-sharp in octave 3 | B in octave 3 | D in octave 4 | F in octave 4 | B-flat in octave 1 | F in octave 3 | B in octave 3 | F in octave 3} Dotted Quarter,G#3-flat-ninth pentachord,1.5,98.0
Chord {E-flat in octave 2 | B-flat in octave 2 | G in octave 3 | C in octave 4 | F in octave 4 | B-flat in octave 4 | E-flat in octave 2} Whole tied to Eighth (4 1/2 total QL),C4-major pentatonic,4.5,99.5
Chord {A in octave 2 | G in octave 3 | C in octave 4 | E in octave 4 | B in octave 4 | A in octave 1 | B in octave 3 | G in octave 4 | B in octave 3} Half,A2-minor-ninth chord,2.0,104.0
Chord {D in octave 3 | C in octave 4 | E-flat in octave 4 | A in octave 4 | D in octave 2 | A in octave 3 | F-sharp in octave 4 | A in octave 3} Dotted Quarter,D3-flat-ninth pentachord,1.5,106.0
Chord {G in octave 2 | D in octave 3 | B in octave 3 | E in octave 4 | A in octave 4 | D in octave 5 | G in octave 1} Whole tied to Eighth (4 1/2 total QL),E4-major pentatonic,4.5,107.5
Chord {C-sharp in octave 3 | E in octave 3 | B in octave 3 | E-flat in octave 4 | G-sharp in octave 4 | E-flat in octave 5 | C-sharp in octave 2 | E-flat in octave 4 | F-sharp in octave 4 | E-flat in octave 4} Half,C#3-C all combinatorial (P6, I3, RI9),2.0,112.0
Chord {E in octave 3 | B-flat in octave 3 | E-flat in octave 4 | G in octave 4 | E-flat in octave 5 | F-sharp in octave 2 | C-sharp in octave 4 | F-sharp in octave 4 | C-sharp in octave 4} Dotted Quarter,C#4-combinatorial I (I1),1.5,114.0
Chord {B-flat in octave 3 | E-flat in octave 4 | G-sharp in octave 4 | C-sharp in octave 5 | F-sharp in octave 5 | B in octave 1} Whole tied to Eighth (4 1/2 total QL),C#5-C all combinatorial (P6, I3, RI9),4.5,115.5
Chord {G in octave 4 | F in octave 3 | G in octave 5 | E-flat in octave 4 | G-sharp in octave 3 | C in octave 5 | F in octave 2 | G in octave 4 | B-flat in octave 4 | G in octave 4} Half,C5-C all combinatorial (P6, I3, RI9),2.0,120.0
Chord {G in octave 4 | B in octave 4 | D in octave 4 | G-sharp in octave 3 | G in octave 5 | B-flat in octave 1 | G in octave 4 | B-flat in octave 4 | G in octave 4} Dotted Quarter,G4-major-minor-diminished pentachord,1.5,122.0
Chord {F in octave 5 | C in octave 5 | D in octave 4 | B-flat in octave 5 | G in octave 4 | E-flat in octave 2} Whole tied to Eighth (4 1/2 total QL),C5-C all combinatorial (P6, I3, RI9),4.5,123.5
Chord {B in octave 3 | F-sharp in octave 5 | E-flat in octave 5 | E in octave 4 | G-sharp in octave 4 | C-sharp in octave 2 | B in octave 4} Dotted Quarter,C#2-C all combinatorial (P6, I3, RI9),1.5,128.0
Chord {B-flat in octave 3 | G-sharp in octave 4 | E-flat in octave 5 | F-sharp in octave 5 | E in octave 4 | B-flat in octave 4 | F-sharp in octave 4 | B-flat in octave 3 | F-sharp in octave 4} Eighth,E-5-phrygian pentachord,0.5,129.5
Chord {B-flat in octave 3 | E-flat in octave 4 | G-sharp in octave 4 | C-sharp in octave 5 | F-sharp in octave 5} Half,C#5-major pentatonic,2.0,132.0
Chord {D in octave 3 | F-sharp in octave 3 | C in octave 4 | E in octave 4 | B in octave 4 | D in octave 5} Half,B4-phrygian pentachord,2.0,134.0
Chord {G in octave 2 | D in octave 3 | B in octave 3 | F-sharp in octave 4 | B in octave 4} Half,G2-major seventh chord,2.0,136.0
Chord {D in octave 3 | B-flat in octave 2 | G-sharp in octave 3 | C in octave 4 | G in octave 4} Dotted Quarter,G#3-phrygian pentachord,1.5,138.0
Chord {E-flat in octave 2 | B-flat in octave 2 | G in octave 3 | C in octave 4 | F in octave 4 | B-flat in octave 4} Whole tied to Eighth (4 1/2 total QL),C4-major pentatonic,4.5,139.5
Chord {A in octave 2 | G in octave 3 | C in octave 4 | E in octave 4 | B in octave 4} Dotted Quarter,A2-minor-ninth chord,1.5,144.0
Chord {D in octave 3 | F-sharp in octave 3 | C in octave 4 | E-flat in octave 4 | A in octave 4} Half tied to Eighth (2 1/2 total QL),D3-flat-ninth pentachord,2.5,145.5
Chord {G in octave 2 | D in octave 3 | B in octave 3 | E in octave 4 | A in octave 4 | D in octave 5} Half,E4-major pentatonic,2.0,148.0
Chord {B-flat in octave 2 | D in octave 3 | G-sharp in octave 3 | C in octave 4 | G in octave 4 | B-flat in octave 4} Half,G#3-phrygian pentachord,2.0,150.0
Chord {E-flat in octave 2 | B-flat in octave 2 | G in octave 3 | D in octave 4 | G in octave 4} Half,E-2-major seventh chord,2.0,152.0
Chord {F-sharp in octave 2 | E in octave 3 | G in octave 3} Dotted Quarter,E3-minor trichord,1.5,154.0
Chord {B in octave 1 | F-sharp in octave 2 | E-flat in octave 3 | G-sharp in octave 3 | C-sharp in octave 4 | F-sharp in octave 4} Whole tied to Eighth (4 1/2 total QL),C#4-major pentatonic,4.5,155.5
Chord {F in octave 2 | G-sharp in octave 3 | C in octave 4 | E-flat in octave 4 | G in octave 4} Half,C4-minor-ninth chord,2.0,160.0
Chord {B-flat in octave 2 | G-sharp in octave 3 | B in octave 3 | D in octave 4 | F in octave 4} Dotted Quarter,G#3-flat-ninth pentachord,1.5,162.0
Chord {E-flat in octave 2 | B-flat in octave 2 | G in octave 3 | C in octave 4 | F in octave 4 | B-flat in octave 4} Whole tied to Eighth (4 1/2 total QL),C4-major pentatonic,4.5,163.5
Chord {A in octave 2 | G in octave 3 | C in octave 4 | E in octave 4 | B in octave 4} Half,A2-minor-ninth chord,2.0,168.0
Chord {D in octave 3 | C in octave 4 | E-flat in octave 4 | A in octave 4} Dotted Quarter,A4-perfect-fourth diminished tetrachord,1.5,170.0
Chord {G in octave 2 | D in octave 3 | B in octave 3 | E in octave 4 | A in octave 4 | D in octave 5} Whole tied to Eighth (4 1/2 total QL),E4-major pentatonic,4.5,171.5
Chord {C-sharp in octave 3 | E in octave 3 | B in octave 3 | E-flat in octave 4 | G-sharp in octave 4 | E-flat in octave 5} Half,C#3-minor-ninth chord,2.0,176.0
Chord {E in octave 3 | B-flat in octave 3 | E-flat in octave 4 | G in octave 4 | E-flat in octave 5} Dotted Quarter,E3-major-diminished tetrachord,1.5,178.0
Chord {B-flat in octave 3 | E-flat in octave 4 | G-sharp in octave 4 | C-sharp in octave 5 | F-sharp in octave 5} Whole tied to Eighth (4 1/2 total QL),C#5-major pentatonic,4.5,179.5
Chord {G in octave 4 | F in octave 3 | G in octave 5 | E-flat in octave 4 | G-sharp in octave 3 | C in octave 5} Half,C5-minor-ninth chord,2.0,184.0
Chord {G in octave 4 | B in octave 4 | D in octave 4 | G-sharp in octave 3 | G in octave 5} Dotted Quarter,G4-major-diminished tetrachord,1.5,186.0
Chord {F in octave 5 | C in octave 5 | D in octave 4 | B-flat in octave 5 | G in octave 4} Whole tied to Eighth (4 1/2 total QL),G4-major pentatonic,4.5,187.5
Chord {B in octave 3 | F-sharp in octave 5 | E-flat in octave 5 | E in octave 4 | G-sharp in octave 4} Dotted Quarter,E-5-major-ninth chord,1.5,192.0
Chord {B-flat in octave 3 | G-sharp in octave 4 | E-flat in octave 5 | F-sharp in octave 5 | E in octave 4} Eighth,E-5-phrygian pentachord,0.5,193.5
Chord {B-flat in octave 3 | E-flat in octave 4 | G-sharp in octave 4 | C-sharp in octave 5 | F-sharp in octave 5} Half,C#5-major pentatonic,2.0,196.0
Chord {D in octave 3 | F-sharp in octave 3 | C in octave 4 | E in octave 4 | B in octave 4 | D in octave 5} Half,B4-phrygian pentachord,2.0,198.0
Chord {G in octave 2 | D in octave 3 | B in octave 3 | F-sharp in octave 4 | B in octave 4} Half,G2-major seventh chord,2.0,200.0
Chord {D in octave 3 | B-flat in octave 2 | G-sharp in octave 3 | C in octave 4 | G in octave 4} Dotted Quarter,G#3-phrygian pentachord,1.5,202.0
Chord {E-flat in octave 2 | B-flat in octave 2 | G in octave 3 | C in octave 4 | F in octave 4 | B-flat in octave 4} Whole tied to Eighth (4 1/2 total QL),C4-major pentatonic,4.5,203.5
Chord {A in octave 2 | G in octave 3 | C in octave 4 | E in octave 4 | B in octave 4} Dotted Quarter,A2-minor-ninth chord,1.5,208.0
Chord {D in octave 3 | F-sharp in octave 3 | C in octave 4 | E-flat in octave 4 | A in octave 4} Half tied to Eighth (2 1/2 total QL),D3-flat-ninth pentachord,2.5,209.5
Chord {G in octave 2 | D in octave 3 | B in octave 3 | E in octave 4 | A in octave 4 | D in octave 5} Half,E4-major pentatonic,2.0,212.0
Chord {B-flat in octave 2 | D in octave 3 | G-sharp in octave 3 | C in octave 4 | G in octave 4 | B-flat in octave 4} Half,G#3-phrygian pentachord,2.0,214.0
Chord {E-flat in octave 2 | B-flat in octave 2 | G in octave 3 | D in octave 4 | G in octave 4} Half,E-2-major seventh chord,2.0,216.0
Chord {F-sharp in octave 2 | E in octave 3 | G in octave 3} Dotted Quarter,E3-minor trichord,1.5,218.0
Chord {B in octave 1 | F-sharp in octave 2 | E-flat in octave 3 | G-sharp in octave 3 | C-sharp in octave 4 | F-sharp in octave 4} Whole tied to Eighth (4 1/2 total QL),C#4-major pentatonic,4.5,219.5
Chord {F in octave 2 | G-sharp in octave 3 | C in octave 4 | E-flat in octave 4 | G in octave 4} Half,C4-minor-ninth chord,2.0,224.0
Chord {B-flat in octave 2 | G-sharp in octave 3 | B in octave 3 | D in octave 4 | F in octave 4} Dotted Quarter,G#3-flat-ninth pentachord,1.5,226.0
Chord {E-flat in octave 2 | B-flat in octave 2 | G in octave 3 | C in octave 4 | F in octave 4 | B-flat in octave 4} Whole tied to Eighth (4 1/2 total QL),C4-major pentatonic,4.5,227.5
Chord {A in octave 2 | G in octave 3 | C in octave 4 | E in octave 4 | B in octave 4} Half,A2-minor-ninth chord,2.0,232.0
Chord {D in octave 3 | C in octave 4 | E-flat in octave 4 | A in octave 4} Dotted Quarter,A4-perfect-fourth diminished tetrachord,1.5,234.0
Chord {G in octave 2 | D in octave 3 | B in octave 3 | E in octave 4 | A in octave 4 | D in octave 5} Whole tied to Eighth (4 1/2 total QL),E4-major pentatonic,4.5,235.5
Chord {C-sharp in octave 3 | E in octave 3 | B in octave 3 | E-flat in octave 4 | G-sharp in octave 4 | E-flat in octave 5} Half,C#3-minor-ninth chord,2.0,240.0
Chord {E in octave 3 | B-flat in octave 3 | E-flat in octave 4 | G in octave 4 | E-flat in octave 5} Dotted Quarter,E3-major-diminished tetrachord,1.5,242.0
Chord {B-flat in octave 3 | E-flat in octave 4 | G-sharp in octave 4 | C-sharp in octave 5 | F-sharp in octave 5} Whole tied to Eighth (4 1/2 total QL),C#5-major pentatonic,4.5,243.5
Chord {G in octave 4 | F in octave 3 | G in octave 5 | E-flat in octave 4 | G-sharp in octave 3 | C in octave 5} Half,C5-minor-ninth chord,2.0,248.0
Chord {G in octave 4 | B in octave 4 | D in octave 4 | G-sharp in octave 3 | G in octave 5} Dotted Quarter,G4-major-diminished tetrachord,1.5,250.0
Chord {F in octave 5 | C in octave 5 | D in octave 4 | B-flat in octave 5 | G in octave 4} Whole tied to Eighth (4 1/2 total QL),G4-major pentatonic,4.5,251.5
Chord {B in octave 3 | F-sharp in octave 5 | E-flat in octave 5 | E in octave 4 | G-sharp in octave 4} Dotted Quarter,E-5-major-ninth chord,1.5,256.0
Chord {B-flat in octave 3 | G-sharp in octave 4 | E-flat in octave 5 | F-sharp in octave 5 | E in octave 4} Eighth,E-5-phrygian pentachord,0.5,257.5
Chord {B-flat in octave 3 | E-flat in octave 4 | G-sharp in octave 4 | C-sharp in octave 5 | F-sharp in octave 5} Half,C#5-major pentatonic,2.0,260.0
Chord {D in octave 3 | F-sharp in octave 3 | C in octave 4 | E in octave 4 | B in octave 4 | D in octave 5} Half,B4-phrygian pentachord,2.0,262.0
Chord {G in octave 2 | D in octave 3 | B in octave 3 | F-sharp in octave 4 | B in octave 4} Half,G2-major seventh chord,2.0,264.0
Chord {D in octave 3 | B-flat in octave 2 | G-sharp in octave 3 | C in octave 4 | G in octave 4} Dotted Quarter,G#3-phrygian pentachord,1.5,266.0
Chord {E-flat in octave 2 | B-flat in octave 2 | G in octave 3 | C in octave 4 | F in octave 4 | B-flat in octave 4} Whole tied to Eighth (4 1/2 total QL),C4-major pentatonic,4.5,267.5
Chord {A in octave 2 | G in octave 3 | C in octave 4 | E in octave 4 | B in octave 4} Dotted Quarter,A2-minor-ninth chord,1.5,272.0
Chord {D in octave 3 | F-sharp in octave 3 | C in octave 4 | E-flat in octave 4 | A in octave 4} Half tied to Eighth (2 1/2 total QL),D3-flat-ninth pentachord,2.5,273.5
Chord {G in octave 2 | D in octave 3 | B in octave 3 | E in octave 4 | A in octave 4 | D in octave 5} Half,E4-major pentatonic,2.0,276.0
Chord {B-flat in octave 2 | D in octave 3 | G-sharp in octave 3 | C in octave 4 | G in octave 4 | B-flat in octave 4} Half,G#3-phrygian pentachord,2.0,278.0
Chord {E-flat in octave 2 | B-flat in octave 2 | G in octave 3 | D in octave 4 | G in octave 4} Half,E-2-major seventh chord,2.0,280.0
Chord {F-sharp in octave 2 | E in octave 3 | G in octave 3} Dotted Quarter,E3-minor trichord,1.5,282.0
Chord {B in octave 1 | F-sharp in octave 2 | E-flat in octave 3 | G-sharp in octave 3 | C-sharp in octave 4 | F-sharp in octave 4} Whole tied to Eighth (4 1/2 total QL),C#4-major pentatonic,4.5,283.5
Chord {F in octave 2 | G-sharp in octave 3 | C in octave 4 | E-flat in octave 4 | G in octave 4} Half,C4-minor-ninth chord,2.0,288.0
