304.0
4/4
FullName,CommonName,Len,Offset
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,8.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,10.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,35/3
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,12.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,14.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,15.75
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,16.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,18.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,19.75
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,20.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,22.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,23.75
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,24.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,26.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,27.75
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,28.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,30.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,31.75
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,32.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,34.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,35.75
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,36.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,38.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,39.75
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,40.0
