308.0
4/4
FullName,CommonName,Len,Offset
Chord {B in octave 3 | F in octave 4 | B-flat in octave 4 | E-flat in octave 5} Half,E-5-minor-second quartal tetrachord,2.0,13.75
Chord {B-flat in octave 3 | F in octave 4 | G-sharp in octave 4 | C-sharp in octave 5} Quarter,G#4-minor seventh chord,1.0,16.75
Chord {A in octave 3 | E-flat in octave 4 | F in octave 4 | B in octave 4} Quarter,F4-Messiaen's truncated mode 6,1.0,18.75
Chord {C-sharp in octave 4 | G in octave 4 | B-flat in octave 4 | F in octave 5} 16th,G4-half-diminished seventh chord,0.25,19.75
Chord {B in octave 2 | F in octave 3 | B-flat in octave 4} Half tied to 16th (2 1/4 total QL),B2-tritone-fourth,2.25,21.75
Chord {G in octave 3 | C-sharp in octave 4 | B-flat in octave 4 | C in octave 5} Half,C#4-perfect-fourth diminished tetrachord,2.0,24.0
Chord {E-flat in octave 3 | A in octave 3 | C in octave 5} Half,A3-diminished triad,2.0,26.0
Chord {G-sharp in octave 3 | C in octave 4 | C-sharp in octave 4 | F in octave 4 | B-flat in octave 5} Half Tuplet of 6/5ths (1 2/3 QL),G#3-minor-ninth chord,5/3,28.0
Chord {C in octave 4 | F-sharp in octave 4 | B-flat in octave 4 | B-flat in octave 5} Half,B-4-incomplete half-diminished seventh chord,2.0,29.75
Chord {B-flat in octave 3 | F in octave 4 | G in octave 5} Half,G5-incomplete minor-seventh chord,2.0,31.75
Chord {B-flat in octave 3 | E in octave 4 | G in octave 4 | C in octave 5} Quarter tied to 16th (1 1/4 total QL),C5-dominant seventh chord,1.25,34.75
Chord {C in octave 4 | F-sharp in octave 4 | A in octave 4 | D in octave 5} Quarter tied to 16th (1 1/4 total QL),D5-dominant seventh chord,1.25,36.75
Chord {B in octave 3 | F in octave 4 | A in octave 4 | E in octave 5 | G in octave 5} Half Tuplet of 6/5ths (1 2/3 QL),E5-phrygian pentachord,5/3,38.0
Chord {B in octave 2 | F in octave 3 | G-sharp in octave 4} Half,G#4-diminished triad,2.0,39.75
Chord {B-flat in octave 3 | C-sharp in octave 4 | F in octave 4 | G-sharp in octave 4} Quarter tied to 16th (1 1/4 total QL),G#4-minor seventh chord,1.25,42.75
Chord {D in octave 4 | G-sharp in octave 4 | B-flat in octave 5} Half,G#4-incomplete dominant-seventh chord,2.0,44.0
Chord {B in octave 3 | F in octave 4} Half,B3-tritone,2.0,46.0
Chord {B-flat in octave 3 | E in octave 4 | A in octave 4 | D in octave 5} Half,B-3-minor-second quartal tetrachord,2.0,48.0
Chord {C-sharp in octave 3 | G in octave 3 | B-flat in octave 4} Half,C#3-diminished triad,2.0,50.0
Chord {E-flat in octave 3 | A in octave 3 | C in octave 5} Half,A3-diminished triad,2.0,52.0
Chord {B in octave 2 | F in octave 3 | B-flat in octave 4} Half,B2-tritone-fourth,2.0,54.0
Chord {B-flat in octave 3 | F in octave 4 | G-sharp in octave 5} Half,G#5-incomplete dominant-seventh chord,2.0,56.0
Chord {A in octave 3 | B in octave 3 | E-flat in octave 4 | F-sharp in octave 4 | B in octave 5} Half Tuplet of 6/5ths (1 2/3 QL),F#4-dominant seventh chord,5/3,58.0
Chord {A in octave 3 | D in octave 4 | E-flat in octave 4 | G in octave 4} 16th,E-4-minor-second quartal tetrachord,0.25,59.75
Chord {B in octave 3 | F in octave 4 | B-flat in octave 4 | E-flat in octave 5} Half,E-5-minor-second quartal tetrachord,2.0,61.75
